,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
5-Phosphoribose 1-diphosphate biosynthesis,0.0,2.0,0.0,-0.12952673,0.07398506
ABC transporters in lipid homeostasis,8.376593e-06,2.0,8.376593e-06,-0.11570594,0.08396979
ADP signalling through P2Y purinoceptor 1,1.2091742e-07,2.0,1.2091742e-07,-0.12932722,0.074129194
ADP signalling through P2Y purinoceptor 12,2.563015e-09,2.0,2.563015e-09,-0.1295225,0.0739881
AKT phosphorylates targets in the cytosol,1.4627473e-06,2.0,1.4627473e-06,-0.1271133,0.07572862
AKT phosphorylates targets in the nucleus,2.6364952e-09,2.0,2.6364952e-09,-0.12952238,0.07398819
AKT-mediated inactivation of FOXO1A,2.8233682e-09,2.0,2.8233682e-09,-0.12952207,0.07398842
ALKBH2 mediated reversal of alkylation damage,4.37943e-09,2.0,4.37943e-09,-0.1295195,0.07399027
ALKBH3 mediated reversal of alkylation damage,2.4335194e-13,2.0,2.4335194e-13,-0.12952673,0.07398506
AMER1 mutants destabilize the destruction complex,6.345308e-08,3.0,6.345308e-08,-0.12942204,-0.48582676
AMPK inhibits chREBP transcriptional activation activity,5.521592e-06,2.0,5.521592e-06,-0.120416485,0.08056668
APC/C-mediated degradation of cell cycle proteins,8.0833377e-07,5.0,8.0833377e-07,-0.12819304,-1.6047137
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,0.00054959423,2.0,0.00054959423,0.77726525,0.7290905
ARL13B-mediated ciliary trafficking of INPP5E,0.0,2.0,0.0,-0.12952673,0.07398506
ATF4 activates genes,0.0,2.0,0.0,-0.12952673,0.07398506
ATF6 (ATF6-alpha) activates chaperone genes,0.0,2.0,0.0,-0.12952673,0.07398506
ATP sensitive Potassium channels,5.5569967e-12,2.0,5.5569967e-12,-0.12952672,0.07398506
AUF1 (hnRNP D0) binds and destabilizes mRNA,6.6962876e-08,2.0,6.6962876e-08,-0.12941624,0.074064866
"AXIN mutants destabilize the destruction complex, activating WNT signaling",1.1982901e-10,3.0,1.1982901e-10,-0.12952654,-0.48590222
Abacavir metabolism,2.2134547e-12,2.0,2.2134547e-12,-0.12952673,0.07398506
Abacavir transmembrane transport,4.5572413e-09,2.0,4.5572413e-09,-0.12951921,0.07399049
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,0.0,2.0,0.0,-0.12952673,0.07398506
Acetylation,0.0,2.0,0.0,-0.12952673,0.07398506
Acetylcholine Neurotransmitter Release Cycle,6.124919e-17,2.0,6.124919e-17,-0.12952673,0.07398506
Acetylcholine binding and downstream events,1.0332482e-09,2.0,1.0332482e-09,-0.12952502,0.073986284
Acetylcholine regulates insulin secretion,9.639239e-09,2.0,9.639239e-09,-0.12951082,0.073996544
Acrosome Reaction,0.0,2.0,0.0,-0.12952673,0.07398506
Activated NOTCH1 Transmits Signal to the Nucleus,7.802041e-05,2.0,7.802041e-05,-0.00079852465,0.16698383
Activation and oligomerization of BAK protein,0.0,2.0,0.0,-0.12952673,0.07398506
Activation of ATR in response to replication stress,7.3869187e-06,2.0,7.3869187e-06,-0.117338836,0.082790114
Activation of BH3-only proteins,1.4076376e-06,6.0,1.4076376e-06,-0.12720422,-2.1638865
Activation of C3 and C5,0.0,2.0,0.0,-0.12952673,0.07398506
Activation of Matrix Metalloproteinases,9.153144e-07,2.0,9.153144e-07,-0.12801652,0.07507609
Activation of NMDA receptor and postsynaptic events,1.4711988e-07,3.0,1.4711988e-07,-0.129284,-0.48572698
Activation of PPARGC1A (PGC-1alpha) by phosphorylation,1.6461863e-09,2.0,1.6461863e-09,-0.12952402,0.07398701
Activation of RAC1,0.004834832,2.0,0.004834832,7.8476076,5.8370085
Activation of SMO,4.3371406e-10,2.0,4.3371406e-10,-0.129526,0.07398558
Activation of anterior HOX genes in hindbrain development during early embryogenesis,0.00010748728,2.0,0.00010748728,0.04781975,0.20210776
Activation of kainate receptors upon glutamate binding,3.4831145e-11,3.0,3.4831145e-11,-0.12952667,-0.4859023
Activation of the pre-replicative complex,5.017615e-10,2.0,5.017615e-10,-0.1295259,0.07398566
"Activation, myristolyation of BID and translocation to mitochondria",0.0,2.0,0.0,-0.12952673,0.07398506
"Activation, translocation and oligomerization of BAX",5.950574e-06,2.0,5.950574e-06,-0.119708695,0.08107802
Adherens junctions interactions,1.4396329e-12,2.0,1.4396329e-12,-0.12952673,0.07398506
Adrenaline signalling through Alpha-2 adrenergic receptor,0.0,2.0,0.0,-0.12952673,0.07398506
"Adrenaline,noradrenaline inhibits insulin secretion",8.016275e-08,2.0,8.016275e-08,-0.12939447,0.0740806
Advanced glycosylation endproduct receptor signaling,3.4300513e-07,2.0,3.4300513e-07,-0.1289608,0.07439391
Aflatoxin activation and detoxification,3.975036e-08,2.0,3.975036e-08,-0.12946115,0.07403243
Agmatine biosynthesis,0.0,2.0,0.0,-0.12952673,0.07398506
Amine Oxidase reactions,0.0,3.0,0.0,-0.12952673,-0.48590237
Amino Acid conjugation,0.0,2.0,0.0,-0.12952673,0.07398506
Amino acid transport across the plasma membrane,2.6984987e-08,2.0,2.6984987e-08,-0.12948221,0.07401722
Amplification of signal from the kinetochores,5.0103943e-09,2.0,5.0103943e-09,-0.12951846,0.07399103
Amyloid fiber formation,4.131931e-05,2.0,4.131931e-05,-0.061352767,0.12323684
Anchoring fibril formation,0.0,2.0,0.0,-0.12952673,0.07398506
Anchoring of the basal body to the plasma membrane,9.1964625e-07,2.0,9.1964625e-07,-0.12800938,0.07508126
Antagonism of Activin by Follistatin,0.0,2.0,0.0,-0.12952673,0.07398506
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",4.392601e-06,2.0,4.392601e-06,-0.12227925,0.07922095
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,1.9106908e-06,2.0,1.9106908e-06,-0.12637423,0.07626256
Antigen processing-Cross presentation,0.00071436365,5.0,0.00071436365,1.0491233,-0.75416994
Antigen processing: Ubiquitination & Proteasome degradation,1.6107037e-07,2.0,1.6107037e-07,-0.12926097,0.07417705
Antiviral mechanism by IFN-stimulated genes,1.2127963e-05,2.0,1.2127963e-05,-0.10951645,0.08844135
Apoptosis induced DNA fragmentation,1.4439694e-08,2.0,1.4439694e-08,-0.1295029,0.074002266
Apoptotic cleavage of cellular proteins,2.4944366e-06,4.0,2.4944366e-06,-0.12541108,-1.0428164
