,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.00015855383,2.0,0.00015855383,-0.024590515,0.21960461
PIWI-interacting RNA (piRNA) biogenesis,1.0127084e-07,2.0,1.0127084e-07,-0.18621397,0.10271679
Intra-Golgi and retrograde Golgi-to-ER traffic,0.00018008526,4.0,0.00018008526,-0.0026281977,-0.105167724
Nucleotide salvage,2.7588683e-07,3.0,2.7588683e-07,-0.18603586,-0.06748225
Phase 4 - resting membrane potential,6.845018e-07,2.0,6.845018e-07,-0.18561907,0.10314704
tRNA Aminoacylation,3.4868407e-07,3.0,3.4868407e-07,-0.18596162,-0.06742856
Assembly of collagen fibrils and other multimeric structures,2.8429723e-08,3.0,2.8429723e-08,-0.18628827,-0.067664795
RNA Polymerase III Chain Elongation,1.08001444e-07,2.0,1.08001444e-07,-0.1862071,0.102721766
HIV Infection,0.00046004177,3.0,0.00046004177,0.2829307,0.27167937
MGMT-mediated DNA damage reversal,1.052187e-06,2.0,1.052187e-06,-0.18524402,0.103418276
RIPK1-mediated regulated necrosis,1.3189492e-08,2.0,1.3189492e-08,-0.18630382,0.10265181
mRNA decay by 3' to 5' exoribonuclease,1.3090002e-08,2.0,1.3090002e-08,-0.18630391,0.10265175
Eukaryotic Translation Elongation,8.545425e-08,2.0,8.545425e-08,-0.18623011,0.10270513
Mitotic Spindle Checkpoint,5.3235776e-09,3.0,5.3235776e-09,-0.18631184,-0.06768184
Plasma lipoprotein assembly,4.7120495e-05,4.0,4.7120495e-05,-0.13825381,-0.20325363
Metabolism of fat-soluble vitamins,1.2827518e-05,4.0,1.2827518e-05,-0.17323306,-0.228551
Receptor-type tyrosine-protein phosphatases,2.7556964e-06,2.0,2.7556964e-06,-0.18350643,0.10467492
Defective Mismatch Repair Associated With MSH3,1.1961499e-06,2.0,1.1961499e-06,-0.18509717,0.10352447
Receptor Mediated Mitophagy,0.0,2.0,0.0,-0.18631727,0.10264208
Thrombin signalling through proteinase activated receptors (PARs),2.2277754e-05,2.0,2.2277754e-05,-0.1635937,0.11907602
Signaling by TGF-beta Receptor Complex in Cancer,1.202026e-06,5.0,1.202026e-06,-0.18509118,-0.4074548
Electric Transmission Across Gap Junctions,6.006281e-07,2.0,6.006281e-07,-0.18570462,0.10308517
Nucleobase biosynthesis,5.7559908e-11,3.0,5.7559908e-11,-0.1863172,-0.06768573
Post-translational modification: synthesis of GPI-anchored proteins,3.7577156e-06,4.0,3.7577156e-06,-0.18248436,-0.23524164
Small interfering RNA (siRNA) biogenesis,0.0,2.0,0.0,-0.18631727,0.10264208
