,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
Signaling by NODAL,7.2288734e-05,2.0,7.2288734e-05,-0.23579408,0.4385207
ABC-family proteins mediated transport,8.376553e-06,3.0,8.376553e-06,-0.27392957,0.099822246
Translation,0.010823304,7.0,0.010823304,6.179183,4.1116242
Fibronectin matrix formation,0.0,2.0,0.0,-0.27892774,0.40347782
Post-translational protein modification,0.00012435831,13.0,0.00012435831,-0.20472491,-2.921116
Meiosis,1.9823872e-07,4.0,1.9823872e-07,-0.27880946,-0.21185853
Processing of Capped Intronless Pre-mRNA,1.4752352e-07,4.0,1.4752352e-07,-0.2788397,-0.2118831
Death Receptor Signalling,0.0028330588,5.0,0.0028330588,1.411518,0.85368866
Elastic fibre formation,0.0004448877,2.0,0.0004448877,-0.013469605,0.61914253
Metabolism of porphyrins,9.542034e-06,3.0,9.542034e-06,-0.27323413,0.10038724
Transcriptional regulation of pluripotent stem cells,8.10394e-11,3.0,8.10394e-11,-0.27892768,0.09576166
DNA Damage Bypass,1.7462387e-05,3.0,1.7462387e-05,-0.2685082,0.1042267
Signaling by Rho GTPases,0.00029378905,3.0,0.00029378905,-0.10362801,0.23817939
Deadenylation-dependent mRNA decay,5.8692403e-06,4.0,5.8692403e-06,-0.27542564,-0.20910943
Response to metal ions,0.0,3.0,0.0,-0.27892774,0.095761605
Integrin cell surface interactions,3.734754e-08,2.0,3.734754e-08,-0.27890545,0.4034959
RNA Polymerase III Transcription,1.7362e-05,5.0,1.7362e-05,-0.26856807,-0.5112543
Membrane Trafficking,0.0014708928,9.0,0.0014708928,0.59873295,-1.0375025
Ion channel transport,1.8045739e-07,3.0,1.8045739e-07,-0.27882007,0.09584908
Transmission across Electrical Synapses ,6.0061495e-07,2.0,6.0061495e-07,-0.27856937,0.40376896
Metabolism of nucleotides,2.166166e-05,5.0,2.166166e-05,-0.26600254,-0.50917006
Signaling by Receptor Tyrosine Kinases,0.00087774487,13.0,0.00087774487,0.24481007,-2.555903
Cell junction organization,2.2912918e-06,4.0,2.2912918e-06,-0.27756056,-0.21084389
Signaling by Nuclear Receptors,3.9337433e-06,3.0,3.9337433e-06,-0.27658054,0.09766853
M/G1 Transition,2.2899296e-09,2.0,2.2899296e-09,-0.27892637,0.40347892
Mitochondrial biogenesis,3.984242e-08,4.0,3.984242e-08,-0.27890396,-0.2119353
Activation of HOX genes during differentiation,0.00010748288,2.0,0.00010748288,-0.21479423,0.4555815
Peroxisomal protein import,9.905721e-05,2.0,9.905721e-05,-0.2198217,0.45149705
Disorders of transmembrane transporters,2.1542774e-06,3.0,2.1542774e-06,-0.2776423,0.09680592
Transcriptional regulation of white adipocyte differentiation,7.90338e-05,2.0,7.90338e-05,-0.2317694,0.44179043
Regulated Necrosis,1.3063486e-08,2.0,1.3063486e-08,-0.27891994,0.40348414
Potassium Channels,1.8639003e-08,6.0,1.8639003e-08,-0.27891663,-0.82737803
Abacavir transport and metabolism,4.6392232e-09,3.0,4.6392232e-09,-0.27892497,0.095763855
Keratinization,0.0012876651,2.0,0.0012876651,0.4894036,1.027689
