,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
5-Phosphoribose 1-diphosphate biosynthesis,0.0,2.0,0.0,-0.12182087,0.33700648
A tetrasaccharide linker sequence is required for GAG synthesis,2.6636617e-05,14.0,2.6636617e-05,-0.07224714,-0.13471611
ABC transporters in lipid homeostasis,8.376591e-06,11.0,8.376591e-06,-0.10623109,-0.03292521
ADP signalling through P2Y purinoceptor 1,1.2091732e-07,18.0,1.2091732e-07,-0.12159582,-0.34119976
ADP signalling through P2Y purinoceptor 12,2.562706e-09,16.0,2.562706e-09,-0.1218161,-0.2565676
AKT phosphorylates targets in the cytosol,1.4627466e-06,14.0,1.4627466e-06,-0.11909854,-0.16973932
AKT phosphorylates targets in the nucleus,2.6364744e-09,9.0,2.6364744e-09,-0.121815965,0.040221296
AKT-mediated inactivation of FOXO1A,2.8180676e-09,5.0,2.8180676e-09,-0.12181562,0.20981514
ALKBH2 mediated reversal of alkylation damage,4.3794643e-09,2.0,4.3794643e-09,-0.121812716,0.33701256
ALKBH3 mediated reversal of alkylation damage,8.5969955e-14,4.0,8.5969955e-14,-0.12182087,0.25220966
AMPK inhibits chREBP transcriptional activation activity,5.5215946e-06,6.0,5.5215946e-06,-0.111544564,0.17509477
APC truncation mutants are not K63 polyubiquitinated,2.5738356e-09,2.0,2.5738356e-09,-0.12181607,0.33701006
APC truncation mutants have impaired AXIN binding,7.2267414e-07,10.0,7.2267414e-07,-0.12047588,-0.001175339
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,4.949213e-07,41.0,4.949213e-07,-0.12089977,-1.3158426
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,0.0005495943,6.0,0.0005495943,0.90103555,0.93203723
APOBEC3G mediated resistance to HIV-1 infection,1.0777343e-10,4.0,1.0777343e-10,-0.121820666,0.25220978
ARL13B-mediated ciliary trafficking of INPP5E,1.751355e-14,3.0,1.751355e-14,-0.12182087,0.2946081
ATF4 activates genes,0.0,3.0,0.0,-0.12182087,0.2946081
ATF6 (ATF6-alpha) activates chaperone genes,1.07284265e-13,5.0,1.07284265e-13,-0.12182087,0.20981124
ATP sensitive Potassium channels,5.576911e-12,3.0,5.576911e-12,-0.12182085,0.2946081
AUF1 (hnRNP D0) binds and destabilizes mRNA,6.695864e-08,32.0,6.695864e-08,-0.12169624,-0.9348525
AURKA Activation by TPX2,7.171357e-05,47.0,7.171357e-05,0.011646107,-1.4711499
AXIN missense mutants destabilize the destruction complex,1.1856034e-10,10.0,1.1856034e-10,-0.12182065,-0.002180603
Abacavir metabolism,1.9601575e-12,3.0,1.9601575e-12,-0.12182087,0.2946081
Abacavir transmembrane transport,4.5570703e-09,2.0,4.5570703e-09,-0.12181239,0.3370128
Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,0.0,2.0,0.0,-0.12182087,0.33700648
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,4.373983e-12,2.0,4.373983e-12,-0.12182085,0.33700648
Acetylation,0.0,1.0,0.0,-0.12182087,0.37940484
Acetylcholine Neurotransmitter Release Cycle,6.833511e-17,11.0,6.833511e-17,-0.12182087,-0.044579163
Acetylcholine regulates insulin secretion,9.6394395e-09,7.0,9.6394395e-09,-0.121802926,0.12502785
Acrosome Reaction,0.0,1.0,0.0,-0.12182087,0.37940484
Activated NOTCH1 Transmits Signal to the Nucleus,7.802079e-05,21.0,7.802079e-05,0.023384552,-0.36001652
Activated NTRK2 signals through CDK5,0.0008757795,6.0,0.0008757795,1.5081027,1.385843
Activated NTRK2 signals through FRS2 and FRS3,9.721311e-09,8.0,9.721311e-09,-0.12180278,0.08262956
Activated NTRK2 signals through FYN,6.378069e-06,6.0,6.378069e-06,-0.109950565,0.17628632
Activated NTRK2 signals through PI3K,3.1380918e-05,5.0,3.1380918e-05,-0.06341747,0.25347
Activated NTRK2 signals through PLCG1,0.0,3.0,0.0,-0.12182087,0.2946081
Activated NTRK2 signals through RAS,8.381626e-08,6.0,8.381626e-08,-0.12166487,0.16752943
Activated NTRK3 signals through PI3K,8.740338e-06,7.0,8.740338e-06,-0.10555412,0.13717446
Activated NTRK3 signals through PLCG1,1.1606963e-08,4.0,1.1606963e-08,-0.12179927,0.25222582
Activated NTRK3 signals through RAS,1.2607389e-05,7.0,1.2607389e-05,-0.098357104,0.1425545
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,5.443497e-06,15.0,5.443497e-06,-0.11168991,-0.2065995
Activation and oligomerization of BAK protein,0.0,3.0,0.0,-0.12182087,0.2946081
Activation of AMPA receptors,1.977575e-12,3.0,1.977575e-12,-0.12182087,0.2946081
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,5.4657503e-06,43.0,5.4657503e-06,-0.11164849,-1.3937238
Activation of ATR in response to replication stress,7.3869196e-06,27.0,7.3869196e-06,-0.10807298,-0.71267647
Activation of BAD and translocation to mitochondria ,1.0171716e-06,12.0,1.0171716e-06,-0.119927794,-0.08556242
Activation of BIM and translocation to mitochondria ,4.000759e-07,3.0,4.000759e-07,-0.12107628,0.29516467
Activation of BMF and translocation to mitochondria,8.0305207e-10,3.0,8.0305207e-10,-0.12181938,0.2946092
Activation of C3 and C5,0.0,1.0,0.0,-0.12182087,0.37940484
Activation of DNA fragmentation factor,1.4439681e-08,7.0,1.4439681e-08,-0.121793985,0.12503454
Activation of G protein gated Potassium channels,1.5726004e-08,15.0,1.5726004e-08,-0.1217916,-0.21415089
Activation of Matrix Metalloproteinases,9.153095e-07,13.0,9.153095e-07,-0.120117374,-0.12810256
Activation of NF-kappaB in B cells,7.177476e-08,46.0,7.177476e-08,-0.12168728,-1.5284234
Activation of NOXA and translocation to mitochondria,1.9619533e-09,4.0,1.9619533e-09,-0.12181721,0.25221238
Activation of Nicotinic Acetylcholine Receptors,1.0332474e-09,10.0,1.0332474e-09,-0.121818945,-0.0021793267
Activation of PPARGC1A (PGC-1alpha) by phosphorylation,1.6462345e-09,8.0,1.6462345e-09,-0.121817805,0.082618326
Activation of PUMA and translocation to mitochondria,1.2375327e-08,6.0,1.2375327e-08,-0.12179783,0.16743006
Activation of RAC1,0.004834832,7.0,0.004834832,8.876342,6.8514867
Activation of RAS in B cells,6.619647e-09,5.0,6.619647e-09,-0.121808544,0.20982045
Activation of SMO,4.337298e-10,7.0,4.337298e-10,-0.121820055,0.12501505
Activation of TRKA receptors,0.0,4.0,0.0,-0.12182087,0.25220966
