,fanin,fanout,degree
R-HSA-114452,5.0,1.0,6.0
R-HSA-174577,1.0,1.0,2.0
R-HSA-2197563,1.0,1.0,2.0
R-HSA-1855167,1.0,1.0,2.0
R-HSA-6791226,1.0,1.0,2.0
R-HSA-418886,1.0,1.0,2.0
R-HSA-3000170,1.0,1.0,2.0
R-HSA-5673001,4.0,1.0,5.0
R-HSA-1855191,1.0,1.0,2.0
R-HSA-3134975,1.0,1.0,2.0
R-HSA-5579032,1.0,1.0,2.0
R-HSA-8981607,1.0,1.0,2.0
R-HSA-6802948,1.0,1.0,2.0
R-HSA-8964041,1.0,1.0,2.0
R-HSA-73780,1.0,1.0,2.0
R-HSA-5340573,1.0,1.0,2.0
R-HSA-499943,1.0,1.0,2.0
R-HSA-3656225,1.0,1.0,2.0
R-HSA-5339717,1.0,1.0,2.0
R-HSA-392517,1.0,1.0,2.0
R-HSA-456926,1.0,1.0,2.0
R-HSA-6783984,1.0,1.0,2.0
R-HSA-5661231,1.0,1.0,2.0
R-HSA-5358493,1.0,1.0,2.0
R-HSA-70688,1.0,1.0,2.0
R-HSA-2730905,1.0,1.0,2.0
R-HSA-6807004,1.0,1.0,2.0
R-HSA-199418,1.0,1.0,2.0
R-HSA-727802,1.0,1.0,2.0
R-HSA-5632968,1.0,1.0,2.0
R-HSA-5619095,1.0,1.0,2.0
R-HSA-69186,2.0,1.0,3.0
R-HSA-210746,1.0,1.0,2.0
R-HSA-5637812,1.0,1.0,2.0
R-HSA-5684045,1.0,1.0,2.0
R-HSA-5690714,1.0,1.0,2.0
R-HSA-5576892,1.0,1.0,2.0
R-HSA-4085023,1.0,1.0,2.0
R-HSA-5579024,1.0,1.0,2.0
R-HSA-5602415,1.0,1.0,2.0
R-HSA-5603027,1.0,1.0,2.0
R-HSA-5655862,1.0,1.0,2.0
R-HSA-5339716,1.0,1.0,2.0
R-HSA-512988,2.0,1.0,3.0
R-HSA-5626467,1.0,1.0,2.0
R-HSA-168176,0.0,1.0,1.0
R-HSA-5578775,1.0,1.0,2.0
R-HSA-5655253,1.0,1.0,2.0
R-HSA-5579012,1.0,1.0,2.0
R-HSA-75896,1.0,1.0,2.0
R-HSA-181429,1.0,1.0,2.0
R-HSA-1461973,2.0,1.0,3.0
R-HSA-1237112,1.0,2.0,3.0
R-HSA-5579020,1.0,1.0,2.0
R-HSA-5619062,1.0,1.0,2.0
R-HSA-5624958,1.0,1.0,2.0
R-HSA-450385,1.0,1.0,2.0
R-HSA-5578997,1.0,1.0,2.0
R-HSA-5625970,1.0,1.0,2.0
R-HSA-163765,1.0,1.0,2.0
R-HSA-8949613,1.0,1.0,2.0
R-HSA-446652,6.0,1.0,7.0
R-HSA-451927,5.0,1.0,6.0
R-HSA-5578768,1.0,1.0,2.0
R-HSA-193639,2.0,1.0,3.0
R-HSA-5683177,1.0,1.0,2.0
R-HSA-446193,0.0,1.0,1.0
R-HSA-6807878,1.0,1.0,2.0
R-HSA-5579000,1.0,1.0,2.0
R-HSA-2871809,1.0,1.0,2.0
R-HSA-112122,1.0,1.0,2.0
R-HSA-162909,7.0,1.0,8.0
R-HSA-6803544,1.0,1.0,2.0
R-HSA-2559580,1.0,1.0,2.0
R-HSA-5620922,1.0,1.0,2.0
R-HSA-71240,1.0,1.0,2.0
R-HSA-1296061,1.0,1.0,2.0
R-HSA-351143,1.0,1.0,2.0
R-HSA-3000157,1.0,1.0,2.0
R-HSA-432142,1.0,1.0,2.0
R-HSA-2871796,1.0,1.0,2.0
R-HSA-205017,1.0,1.0,2.0
R-HSA-5619101,1.0,1.0,2.0
R-HSA-5619098,1.0,1.0,2.0
R-HSA-4717374,1.0,1.0,2.0
R-HSA-5619097,1.0,1.0,2.0
R-HSA-2978092,1.0,1.0,2.0
R-HSA-72187,1.0,1.0,2.0
R-HSA-8873719,1.0,1.0,2.0
R-HSA-3700989,5.0,1.0,6.0
R-HSA-3000497,1.0,1.0,2.0
R-HSA-8849472,1.0,1.0,2.0
R-HSA-204998,3.0,1.0,4.0
R-HSA-5693567,3.0,1.0,4.0
R-HSA-2408517,1.0,1.0,2.0
R-HSA-4720475,1.0,1.0,2.0
R-HSA-5340588,1.0,1.0,2.0
R-HSA-426486,1.0,1.0,2.0
R-HSA-437239,1.0,1.0,2.0
R-HSA-8866376,1.0,1.0,2.0
R-HSA-73779,1.0,1.0,2.0
R-HSA-983168,1.0,1.0,2.0
R-HSA-5689877,1.0,1.0,2.0
R-HSA-5627123,1.0,1.0,2.0
R-HSA-2408552,1.0,1.0,2.0
R-HSA-5660489,1.0,1.0,2.0
R-HSA-6802949,1.0,1.0,2.0
R-HSA-5602410,1.0,1.0,2.0
R-HSA-194313,1.0,1.0,2.0
R-HSA-5619113,1.0,1.0,2.0
R-HSA-3656253,1.0,1.0,2.0
R-HSA-3595174,1.0,1.0,2.0
R-HSA-5357905,1.0,1.0,2.0
R-HSA-8848584,1.0,1.0,2.0
R-HSA-1169410,1.0,1.0,2.0
R-HSA-6811440,1.0,1.0,2.0
R-HSA-977443,3.0,1.0,4.0
R-HSA-5423646,1.0,1.0,2.0
R-HSA-9013507,1.0,1.0,2.0
R-HSA-174143,4.0,1.0,5.0
R-HSA-350562,1.0,1.0,2.0
R-HSA-75157,1.0,1.0,2.0
R-HSA-1614558,1.0,1.0,2.0
R-HSA-8849471,1.0,1.0,2.0
R-HSA-5619111,1.0,1.0,2.0
R-HSA-5685939,1.0,1.0,2.0
R-HSA-192456,1.0,1.0,2.0
R-HSA-8849175,1.0,1.0,2.0
R-HSA-5579021,1.0,1.0,2.0
R-HSA-5619104,1.0,1.0,2.0
R-HSA-1483206,18.0,1.0,19.0
R-HSA-1247673,1.0,1.0,2.0
R-HSA-5620916,1.0,1.0,2.0
R-HSA-4549356,1.0,1.0,2.0
R-HSA-156587,1.0,1.0,2.0
R-HSA-9036866,1.0,1.0,2.0
R-HSA-8878159,9.0,1.0,10.0
R-HSA-5689880,1.0,1.0,2.0
R-HSA-917729,1.0,1.0,2.0
R-HSA-3656243,1.0,1.0,2.0
R-HSA-877300,1.0,1.0,2.0
R-HSA-5357786,1.0,1.0,2.0
R-HSA-201451,1.0,1.0,2.0
R-HSA-9006115,9.0,1.0,10.0
R-HSA-196741,1.0,1.0,2.0
R-HSA-1299308,1.0,1.0,2.0
R-HSA-5619050,1.0,1.0,2.0
R-HSA-110314,1.0,1.0,2.0
R-HSA-110373,2.0,1.0,3.0
R-HSA-6802955,1.0,1.0,2.0
R-HSA-194840,1.0,1.0,2.0
R-HSA-4793950,1.0,1.0,2.0
R-HSA-5654738,4.0,1.0,5.0
R-HSA-111457,1.0,1.0,2.0
R-HSA-1369062,1.0,1.0,2.0
R-HSA-74217,1.0,1.0,2.0
R-HSA-380994,1.0,1.0,2.0
R-HSA-168164,6.0,1.0,7.0
R-HSA-5682113,1.0,1.0,2.0
R-HSA-8854214,1.0,1.0,2.0
R-HSA-5656364,1.0,1.0,2.0
R-HSA-71288,1.0,1.0,2.0
R-HSA-379726,1.0,1.0,2.0
R-HSA-2559582,1.0,1.0,2.0
R-HSA-5619063,1.0,1.0,2.0
R-HSA-1266695,1.0,1.0,2.0
R-HSA-5579004,1.0,1.0,2.0
R-HSA-447038,1.0,1.0,2.0
R-HSA-444411,1.0,1.0,2.0
R-HSA-162699,1.0,1.0,2.0
R-HSA-189085,1.0,1.0,2.0
R-HSA-5632681,1.0,1.0,2.0
R-HSA-3238698,1.0,1.0,2.0
R-HSA-5620924,1.0,1.0,2.0
R-HSA-70921,1.0,1.0,2.0
R-HSA-210455,1.0,1.0,2.0
R-HSA-111997,1.0,1.0,2.0
R-HSA-8876725,1.0,1.0,2.0
R-HSA-6802946,1.0,1.0,2.0
R-HSA-389977,1.0,1.0,2.0
R-HSA-176187,1.0,1.0,2.0
R-HSA-429958,1.0,1.0,2.0
R-HSA-1433559,1.0,1.0,2.0
R-HSA-1299344,1.0,1.0,2.0
R-HSA-5654736,4.0,1.0,5.0
R-HSA-3134963,1.0,1.0,2.0
R-HSA-1369007,1.0,1.0,2.0
R-HSA-4755609,1.0,1.0,2.0
R-HSA-77387,1.0,1.0,2.0
R-HSA-5659735,1.0,1.0,2.0
R-HSA-446343,1.0,1.0,2.0
