,fanin,fanout,degree
R-HSA-110362,6.0,1.0,7.0
R-HSA-5651801,14.0,1.0,15.0
R-HSA-73930,1.0,1.0,2.0
R-HSA-111461,5.0,1.0,6.0
R-HSA-264870,10.0,1.0,11.0
R-HSA-351906,3.0,1.0,4.0
R-HSA-352238,2.0,1.0,3.0
R-HSA-111469,5.0,1.0,6.0
R-HSA-111885,40.0,1.0,41.0
R-HSA-111933,8.0,1.0,9.0
R-HSA-112399,21.0,1.0,22.0
R-HSA-110056,2.0,1.0,3.0
R-HSA-112411,2.0,1.0,3.0
R-HSA-113510,14.0,1.0,15.0
R-HSA-111446,2.0,1.0,3.0
R-HSA-111447,9.0,1.0,10.0
R-HSA-111448,3.0,1.0,4.0
R-HSA-139910,3.0,1.0,4.0
R-HSA-139915,5.0,1.0,6.0
R-HSA-1169091,45.0,1.0,46.0
R-HSA-1169092,4.0,1.0,5.0
R-HSA-2025928,6.0,1.0,7.0
R-HSA-1169408,54.0,1.0,55.0
R-HSA-1222387,0.0,1.0,1.0
R-HSA-1222449,0.0,1.0,1.0
R-HSA-1222538,0.0,1.0,1.0
R-HSA-1222541,0.0,1.0,1.0
R-HSA-1234158,6.0,1.0,7.0
R-HSA-1234162,2.0,1.0,3.0
R-HSA-1234176,36.0,1.0,37.0
R-HSA-1236973,3.0,1.0,4.0
R-HSA-1236974,44.0,1.0,45.0
R-HSA-1236977,6.0,1.0,7.0
R-HSA-1236978,27.0,1.0,28.0
R-HSA-1296041,9.0,1.0,10.0
R-HSA-141333,0.0,1.0,1.0
R-HSA-141334,0.0,1.0,1.0
R-HSA-211227,7.0,1.0,8.0
R-HSA-3371378,8.0,1.0,9.0
R-HSA-69416,7.0,1.0,8.0
R-HSA-141430,13.0,1.0,14.0
R-HSA-141444,51.0,1.0,52.0
R-HSA-1461957,4.0,1.0,5.0
R-HSA-1462054,1.0,1.0,2.0
R-HSA-1482788,8.0,1.0,9.0
R-HSA-1482798,5.0,1.0,6.0
R-HSA-1482801,3.0,1.0,4.0
R-HSA-1482839,7.0,1.0,8.0
R-HSA-1482883,3.0,1.0,4.0
R-HSA-1482922,3.0,1.0,4.0
R-HSA-1482925,3.0,1.0,4.0
R-HSA-1483076,1.0,1.0,2.0
R-HSA-1483101,0.0,1.0,1.0
R-HSA-1483115,3.0,1.0,4.0
R-HSA-1483148,6.0,1.0,7.0
R-HSA-1483152,1.0,1.0,2.0
R-HSA-1483166,14.0,1.0,15.0
R-HSA-1483171,0.0,1.0,1.0
R-HSA-1483191,15.0,1.0,16.0
R-HSA-1483196,1.0,2.0,3.0
R-HSA-1483213,8.0,1.0,9.0
R-HSA-1483226,2.0,1.0,3.0
R-HSA-1483248,5.0,1.0,6.0
R-HSA-1660499,38.0,1.0,39.0
R-HSA-1660502,0.0,1.0,1.0
R-HSA-1660508,0.0,1.0,1.0
R-HSA-1660510,0.0,1.0,1.0
R-HSA-1660514,11.0,1.0,12.0
R-HSA-1660516,13.0,1.0,14.0
R-HSA-1660517,8.0,1.0,9.0
R-HSA-1660524,0.0,1.0,1.0
R-HSA-1660537,0.0,1.0,1.0
R-HSA-6814848,3.0,1.0,4.0
R-HSA-8847453,3.0,1.0,4.0
R-HSA-1362277,10.0,1.0,11.0
R-HSA-1362300,5.0,1.0,6.0
R-HSA-159424,1.0,1.0,2.0
R-HSA-173599,0.0,1.0,1.0
