,,coef
SLC1A4,gene_expression,0.0014459483
ZNF514,gene_expression,0.0
NMI,gene_expression,0.0
PPFIA1,gene_expression,0.00011754931
RPL17,gene_expression,1.0180676e-06
COQ10B,gene_expression,0.0
RNF7,gene_expression,0.00028628763
DARS2,gene_expression,1.6659343e-06
DPH6,gene_expression,2.2526931e-08
ANKRD23,gene_expression,0.0
ZPR1,gene_expression,0.0
CUTC,gene_expression,4.782887e-06
MRTO4,gene_expression,0.0
PECR,gene_expression,4.6237e-06
ANAPC10,gene_expression,0.0002100041
MED26,gene_expression,1.3442295e-09
CXCR4,gene_expression,6.124045e-05
SMPDL3A,gene_expression,0.0
CBL,gene_expression,4.7280126e-05
SEZ6,gene_expression,0.0
MINK1,gene_expression,7.467368e-06
TERF1,gene_expression,1.6636026e-06
SLC9B1,gene_expression,0.0
PLCB2,gene_expression,3.066218e-05
ACADS,gene_expression,7.1735385e-06
SDCBP,gene_expression,6.10549e-05
ASGR1,gene_expression,0.0
SLC5A3,gene_expression,3.5447687e-05
COL5A1,gene_expression,8.791957e-08
PRKAR1A,gene_expression,6.9340764e-05
TSEN15,gene_expression,6.6325296e-09
MRPS14,gene_expression,7.711824e-08
PPIL3,gene_expression,1.3842244e-07
ATAT1,gene_expression,0.0
RPAP2,gene_expression,2.4773044e-07
UQCRHL,gene_expression,0.0
DERL2,gene_expression,5.6486016e-07
ADK,gene_expression,2.3468683e-05
RPS27L,gene_expression,1.5249975e-06
CCDC126,gene_expression,0.0
SLC9A3R1,gene_expression,0.0
AKAP11,gene_expression,0.0
FAAH2,gene_expression,0.0
MORF4L2,gene_expression,9.726421e-09
MYCBP2,gene_expression,0.0
GATB,gene_expression,0.0
CDK10,gene_expression,0.0
TAPBPL,gene_expression,0.0
TRIT1,gene_expression,6.688575e-09
ZNF100,gene_expression,0.0
SLC30A9,gene_expression,0.0
CAP1,gene_expression,0.00021131338
MEGF9,gene_expression,0.0
COX16,gene_expression,0.0
SENP6,gene_expression,0.0
VAPB,gene_expression,6.604934e-07
SGCB,gene_expression,0.0
MDM1,gene_expression,0.0
MRPL1,gene_expression,6.916337e-08
FAM120B,gene_expression,1.3600732e-09
FAM83F,gene_expression,0.0
SULT1A1,gene_expression,0.0
UPK3B,gene_expression,0.0
IRF9,gene_expression,0.0
PTPRU,gene_expression,0.0
CTH,gene_expression,1.9248768e-05
TP63,gene_expression,1.2368164e-06
TNFRSF13C,gene_expression,2.4366414e-06
TMEM186,gene_expression,0.0
GLCE,gene_expression,8.828687e-07
GLI3,gene_expression,3.13685e-05
ATN1,gene_expression,5.3989115e-05
POLD2,gene_expression,1.9106887e-05
RAB37,gene_expression,4.6880928e-06
TRAF5,gene_expression,0.0
WDR24,gene_expression,0.0
WDR46,gene_expression,2.0892273e-06
DNAH6,gene_expression,0.0
SEC31B,gene_expression,0.0
LMAN1,gene_expression,1.0532211e-07
GLCCI1,gene_expression,0.0
EXOSC3,gene_expression,7.2830835e-06
MIA3,gene_expression,2.5743418e-06
MTRF1,gene_expression,0.0
PALD1,gene_expression,0.0
PHF20L1,gene_expression,0.0
YWHAE,gene_expression,0.00012328687
NR1H3,gene_expression,4.9324776e-06
MYPOP,gene_expression,0.0
LAMP1,gene_expression,2.8864883e-05
ZNF585A,gene_expression,0.0
PLD3,gene_expression,2.1464823e-06
TMEM202,gene_expression,0.0
FBXL13,gene_expression,0.00011082558
SMCHD1,gene_expression,0.0
