,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
5-Phosphoribose 1-diphosphate biosynthesis,4.3328427e-08,2.0,4.3328427e-08,-0.17240243,0.2841994
A tetrasaccharide linker sequence is required for GAG synthesis,2.6048167e-05,8.0,2.6048167e-05,-0.10920741,0.050849315
ABC transporters in lipid homeostasis,3.7793274e-05,9.0,3.7793274e-05,-0.080665335,0.025855647
ADP signalling through P2Y purinoceptor 1,5.024546e-06,14.0,5.024546e-06,-0.16029745,-0.27069473
ADP signalling through P2Y purinoceptor 12,4.6464927e-05,13.0,4.6464927e-05,-0.059592128,-0.14596064
AKT phosphorylates targets in the cytosol,3.0899293e-05,13.0,3.0899293e-05,-0.09741857,-0.17515136
AKT phosphorylates targets in the nucleus,0.00027694798,8.0,0.00027694798,0.5005105,0.52136976
AKT-mediated inactivation of FOXO1A,1.1686604e-06,4.0,1.1686604e-06,-0.16966774,0.19227046
ALKBH2 mediated reversal of alkylation damage,2.6609239e-06,2.0,2.6609239e-06,-0.16604133,0.28910828
ALKBH3 mediated reversal of alkylation damage,4.676844e-07,3.0,4.676844e-07,-0.17137119,0.23797554
AMPK inhibits chREBP transcriptional activation activity,1.3550001e-05,6.0,1.3550001e-05,-0.13957952,0.121450335
APC truncation mutants are not K63 polyubiquitinated,0.0,1.0,0.0,-0.17250772,0.33113775
APC truncation mutants have impaired AXIN binding,3.125271e-07,10.0,3.125271e-07,-0.17174825,-0.09145283
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,1.5607659e-06,42.0,1.5607659e-06,-0.16871487,-1.5937401
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,4.2035932e-08,6.0,4.2035932e-08,-0.17240557,0.09611842
APOBEC3G mediated resistance to HIV-1 infection,2.009485e-08,4.0,2.009485e-08,-0.17245889,0.19011654
ARL13B-mediated ciliary trafficking of INPP5E,2.6165268e-11,3.0,2.6165268e-11,-0.17250764,0.23709854
ATF4 activates genes,1.6329955e-07,2.0,1.6329955e-07,-0.17211087,0.28442436
ATF6 (ATF6-alpha) activates chaperone genes,8.83274e-08,6.0,8.83274e-08,-0.17229307,0.096205235
ATP sensitive Potassium channels,2.3740972e-08,2.0,2.3740972e-08,-0.17245002,0.28416267
AUF1 (hnRNP D0) binds and destabilizes mRNA,2.65862e-06,32.0,2.65862e-06,-0.16604693,-1.1214849
AURKA Activation by TPX2,3.755802e-08,48.0,3.755802e-08,-0.17241645,-1.8787143
AXIN missense mutants destabilize the destruction complex,9.353588e-08,10.0,9.353588e-08,-0.17228042,-0.091863506
Abacavir metabolism,3.360432e-05,3.0,3.360432e-05,-0.09084502,0.30011773
