,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
Signaling by TGF-beta family members,9.291677e-06,4.0,9.291677e-06,-0.15348592,-0.12688778
Signaling by GPCR,6.8041372e-06,3.0,6.8041372e-06,-0.15365824,0.22777183
rRNA processing,0.0003014707,3.0,0.0003014707,-0.13324538,0.2468944
Nucleotide Excision Repair,7.1862723e-06,3.0,7.1862723e-06,-0.15363176,0.22779664
Signaling by Non-Receptor Tyrosine Kinases,1.9169318e-05,2.0,1.9169318e-05,-0.15280165,0.58339536
Protein folding,0.00021779654,3.0,0.00021779654,-0.13904186,0.24146433
Signaling by NOTCH,0.00018032154,6.0,0.00018032154,-0.14163792,-0.82543075
Deadenylation-dependent mRNA decay,0.0037522463,4.0,0.0037522463,0.105805196,0.116013415
Cytosolic iron-sulfur cluster assembly,1.748779e-07,2.0,1.748779e-07,-0.15411748,0.5821627
Cell junction organization,1.9998508e-06,4.0,1.9998508e-06,-0.15399106,-0.12736098
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.00019948978,2.0,0.00019948978,-0.14031005,0.59509736
mRNA Capping,2.5180922e-05,2.0,2.5180922e-05,-0.1523852,0.5837854
RNA Polymerase III Transcription,9.638343e-06,5.0,9.638343e-06,-0.1534619,-0.4816863
Transmission across Chemical Synapses,7.644049e-05,6.0,7.644049e-05,-0.14883423,-0.83217216
Potassium Channels,2.5024058e-06,6.0,2.5024058e-06,-0.15395623,-0.8369704
DNA Double-Strand Break Repair,8.696745e-05,4.0,8.696745e-05,-0.14810498,-0.12184697
RORA activates gene expression,6.8301853e-09,2.0,6.8301853e-09,-0.15412913,0.5821518
Innate Immune System,0.16363344,14.0,0.16363344,11.181487,6.943385
Factors involved in megakaryocyte development and platelet production,4.5252142e-07,2.0,4.5252142e-07,-0.15409824,0.5821807
Infectious disease,6.8019625e-07,6.0,6.8019625e-07,-0.15408248,-0.83708864
"Plasma lipoprotein assembly, remodeling, and clearance",4.2459684e-05,4.0,4.2459684e-05,-0.15118822,-0.12473532
ECM proteoglycans,0.000102846665,2.0,0.000102846665,-0.14700495,0.58882564
Response to metal ions,2.8528016e-08,3.0,2.8528016e-08,-0.15412761,0.22733213
Ion channel transport,0.0002329206,3.0,0.0002329206,-0.13799416,0.24244578
Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA,0.00015549129,2.0,0.00015549129,-0.14335802,0.59224206
Processing of Capped Intronless Pre-mRNA,2.1216778e-07,4.0,2.1216778e-07,-0.1541149,-0.127477
Fertilization,1.0354739e-07,6.0,1.0354739e-07,-0.15412241,-0.8371261
Abacavir transport and metabolism,2.4229305e-06,3.0,2.4229305e-06,-0.15396175,0.2274875
Biological oxidations,0.00025918212,4.0,0.00025918212,-0.13617489,-0.110670984
NR1D1 (REV-ERBA) represses gene expression,5.2238622e-08,2.0,5.2238622e-08,-0.15412599,0.5821547
Digestion,3.1576492e-06,3.0,3.1576492e-06,-0.15391085,0.22753519
The citric acid (TCA) cycle and respiratory electron transport,3.2251814e-06,3.0,3.2251814e-06,-0.15390617,0.22753958
mTOR signalling,9.567135e-06,4.0,9.567135e-06,-0.15346684,-0.1268699
Signaling by WNT,0.0017014461,5.0,0.0017014461,-0.03626285,-0.37189546
Fanconi Anemia Pathway,0.00021895386,2.0,0.00021895386,-0.13896169,0.5963605
Integrin signaling,1.076807e-05,2.0,1.076807e-05,-0.15338363,0.58285016
Metabolism of porphyrins,2.1911937e-05,3.0,2.1911937e-05,-0.15261166,0.22875226
tRNA processing,3.9266633e-05,5.0,3.9266633e-05,-0.15140942,-0.47976357
Apoptosis,0.0010640785,5.0,0.0010640785,-0.08041614,-0.4132578
Axon guidance,0.043396667,9.0,0.043396667,2.8521507,0.91465586
Nephrin family interactions,1.667334e-06,2.0,1.667334e-06,-0.1540141,0.58225954
SLC-mediated transmembrane transport,0.0002485944,5.0,0.0002485944,-0.13690835,-0.4661791
Epigenetic regulation of gene expression,0.0002873016,6.0,0.0002873016,-0.13422693,-0.8184882
Laminin interactions,2.265273e-07,2.0,2.265273e-07,-0.1541139,0.5821661
Diseases of glycosylation,0.00012562852,5.0,0.00012562852,-0.14542675,-0.4741591
Death Receptor Signalling,7.993927e-05,5.0,7.993927e-05,-0.14859185,-0.4771241
Reversible hydration of carbon dioxide,2.0185696e-05,2.0,2.0185696e-05,-0.15273124,0.5834613
Formation of Fibrin Clot (Clotting Cascade),6.0086142e-05,4.0,6.0086142e-05,-0.14996716,-0.123591445
Peroxisomal protein import,6.442061e-07,2.0,6.442061e-07,-0.15408497,0.58219314
Transcriptional regulation of white adipocyte differentiation,1.4285295e-05,2.0,1.4285295e-05,-0.15314,0.5830784
Collagen formation,6.3263046e-06,3.0,6.3263046e-06,-0.15369135,0.22774081
Protein repair,4.974333e-07,2.0,4.974333e-07,-0.15409514,0.5821836
Metabolism of lipids,0.00032490832,12.0,0.00032490832,-0.13162175,-2.9449742
Neurodegenerative Diseases,7.449418e-08,2.0,7.449418e-08,-0.15412444,0.5821562
Metabolism of nitric oxide,5.9646824e-05,2.0,5.9646824e-05,-0.14999759,0.58602214
Diseases of signal transduction,0.00060967566,10.0,0.00060967566,-0.11189465,-2.2168517
Peptide hormone metabolism,2.8765233e-05,6.0,2.8765233e-05,-0.15213689,-0.83526605
Integration of energy metabolism,1.5030054e-05,8.0,1.5030054e-05,-0.15308839,-1.5457995
Regulation of mRNA stability by proteins that bind AU-rich elements,3.925889e-07,6.0,3.925889e-07,-0.1541024,-0.8371073
M/G1 Transition,0.00047129966,2.0,0.00047129966,-0.12148058,0.6127366
Translation,0.00031354182,7.0,0.00031354182,-0.13240916,-1.1716064
LGI-ADAM interactions,1.3255038e-08,2.0,1.3255038e-08,-0.15412867,0.5821522
Inositol phosphate metabolism,2.513231e-05,13.0,2.513231e-05,-0.15238857,-3.3192492
Cilium Assembly,7.4243464e-05,4.0,7.4243464e-05,-0.14898643,-0.1226727
Activation of HOX genes during differentiation,1.8090946e-05,2.0,1.8090946e-05,-0.15287636,0.5833253
Signaling by Leptin,1.9086793e-08,2.0,1.9086793e-08,-0.15412827,0.5821526
Transcriptional regulation of pluripotent stem cells,5.4730588e-08,3.0,5.4730588e-08,-0.15412581,0.22733381
Base Excision Repair,0.00017400928,3.0,0.00017400928,-0.1420752,0.23862274
Meiosis,2.5023144e-05,4.0,2.5023144e-05,-0.15239613,-0.12586688
ABC-family proteins mediated transport,2.4864676e-05,3.0,2.4864676e-05,-0.15240711,0.22894388
Chromatin modifying enzymes,2.4342726e-05,6.0,2.4342726e-05,-0.15244327,-0.8355531
Myogenesis,6.2829116e-07,2.0,6.2829116e-07,-0.15408608,0.58219206
Degradation of the extracellular matrix,6.6181155e-06,3.0,6.6181155e-06,-0.15367112,0.22775978
Non-integrin membrane-ECM interactions,6.593524e-05,2.0,6.593524e-05,-0.14956196,0.58643025
Signaling by NODAL,0.0,2.0,0.0,-0.1541296,0.5821513
Pink/Parkin Mediated Mitophagy,0.0007209224,2.0,0.0007209224,-0.10418809,0.628936
Cytokine Signaling in Immune system,0.0071739,6.0,0.0071739,0.34283838,-0.37157843
Processing of Capped Intron-Containing Pre-mRNA,0.00036630902,4.0,0.00036630902,-0.12875374,-0.10371893
Synthesis of DNA,1.5720165e-06,4.0,1.5720165e-06,-0.1540207,-0.12738875
Protein-protein interactions at synapses,3.6093603e-05,4.0,3.6093603e-05,-0.15162922,-0.12514845
Receptor Mediated Mitophagy,2.8359668e-06,2.0,2.8359668e-06,-0.15393314,0.58233535
Invadopodia formation,0.0,2.0,0.0,-0.1541296,0.5821513
Surfactant metabolism,6.45438e-05,2.0,6.45438e-05,-0.14965837,0.58633995
Metabolism of carbohydrates,0.00027213804,10.0,0.00027213804,-0.13527738,-2.2387564
RNA Polymerase I Transcription,5.975314e-05,4.0,5.975314e-05,-0.14999023,-0.12361305
Metabolism of non-coding RNA,3.041438e-05,2.0,3.041438e-05,-0.15202264,0.5841251
Metabolism of nucleotides,1.3268613e-06,5.0,1.3268613e-06,-0.15403767,-0.4822257
Metabolism of amino acids and derivatives,7.850929e-05,12.0,7.850929e-05,-0.14869091,-2.9609642
Keratinization,5.6253164e-05,2.0,5.6253164e-05,-0.1502327,0.58580196
Regulation of beta-cell development,3.7229147e-06,5.0,3.7229147e-06,-0.15387169,-0.48207018
Cell surface interactions at the vascular wall,2.0994487e-06,4.0,2.0994487e-06,-0.15398416,-0.12735452
Gene Silencing by RNA,8.811736e-05,6.0,8.811736e-05,-0.14802532,-0.8314144
Platelet Adhesion to exposed collagen,9.969199e-06,2.0,9.969199e-06,-0.15343899,0.5827983
Signaling by Nuclear Receptors,4.2780764e-05,3.0,4.2780764e-05,-0.15116598,0.23010656
Signaling by Rho GTPases,0.00013722364,3.0,0.00013722364,-0.1446235,0.23623548
Intracellular signaling by second messengers,2.686456e-05,3.0,2.686456e-05,-0.15226857,0.22907366
Mitochondrial biogenesis,6.603592e-05,4.0,6.603592e-05,-0.149555,-0.12320533
Chromosome Maintenance,2.88631e-05,3.0,2.88631e-05,-0.15213013,0.22920336
DNA Damage Bypass,0.003505419,3.0,0.003505419,0.088706374,0.45481646
Platelet homeostasis,1.5673198e-06,5.0,1.5673198e-06,-0.15402101,-0.48221004
O2/CO2 exchange in erythrocytes,1.50412025e-05,3.0,1.50412025e-05,-0.15308763,0.22830637
Mitochondrial protein import,0.0012395207,2.0,0.0012395207,-0.06826248,0.66259074
Pyrophosphate hydrolysis,3.015776e-08,2.0,3.015776e-08,-0.1541275,0.5821533
Transmission across Electrical Synapses ,5.892967e-07,2.0,5.892967e-07,-0.15408877,0.5821896
mRNA Editing,5.4552797e-06,3.0,5.4552797e-06,-0.15375169,0.22768429
Cardiac conduction,0.000121110024,8.0,0.000121110024,-0.14573976,-1.5389154
Metabolism of vitamins and cofactors,0.0021197693,4.0,0.0021197693,-0.0072837435,0.01007289
Miscellaneous transport and binding events,3.934608e-06,2.0,3.934608e-06,-0.15385702,0.5824067
Nonsense-Mediated Decay (NMD),5.9230697e-06,3.0,5.9230697e-06,-0.15371929,0.22771464
RNA Polymerase II Transcription,0.00013707372,9.0,0.00013707372,-0.14463389,-1.8927004
Intestinal absorption,0.0,3.0,0.0,-0.1541296,0.22733027
Fibronectin matrix formation,0.0,2.0,0.0,-0.1541296,0.5821513
Signaling by Receptor Tyrosine Kinases,0.003322305,13.0,0.003322305,0.07602125,-3.1052773
Smooth Muscle Contraction,2.0462601e-05,2.0,2.0462601e-05,-0.15271206,0.5834793
Dissolution of Fibrin Clot,0.0,2.0,0.0,-0.1541296,0.5821513
Diseases of Immune System,7.5407747e-06,2.0,7.5407747e-06,-0.15360722,0.58264065
Transcription from mitochondrial promoters,1.0690532e-06,3.0,1.0690532e-06,-0.15405554,0.22739965
"BMAL1:CLOCK,NPAS2 activates circadian gene expression",3.0976933e-06,2.0,3.0976933e-06,-0.15391502,0.58235234
Striated Muscle Contraction,0.00019313174,2.0,0.00019313174,-0.1407505,0.5946847
Mitochondrial calcium ion transport,2.2085773e-05,2.0,2.2085773e-05,-0.1525996,0.58358467
Elastic fibre formation,1.0530688e-06,2.0,1.0530688e-06,-0.15405664,0.58221966
Iron uptake and transport,0.0,2.0,0.0,-0.1541296,0.5821513
Mitochondrial iron-sulfur cluster biogenesis,7.5351572e-06,2.0,7.5351572e-06,-0.1536076,0.58264035
Macroautophagy,2.183433e-05,2.0,2.183433e-05,-0.15261702,0.5835683
Aquaporin-mediated transport,0.0012134772,4.0,0.0012134772,-0.07006663,-0.048741464
Signal regulatory protein family interactions,0.00046870863,2.0,0.00046870863,-0.12166007,0.61256844
Intracellular oxygen transport,0.0,2.0,0.0,-0.1541296,0.5821513
"Platelet activation, signaling and aggregation",0.00016054747,8.0,0.00016054747,-0.14300776,-1.5363561
Mismatch Repair,6.7257597e-06,3.0,6.7257597e-06,-0.15366367,0.22776675
Unfolded Protein Response (UPR),2.979679e-05,5.0,2.979679e-05,-0.15206544,-0.4803781
Signaling by Hedgehog,0.00039773312,4.0,0.00039773312,-0.12657686,-0.101679645
DNA Damage Reversal,7.6108755e-09,3.0,7.6108755e-09,-0.15412906,0.22733077
Adaptive Immune System,0.028735422,9.0,0.028735422,1.8365009,-0.036794193
