,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
Nucleobase biosynthesis,1.4255988e-07,3.0,1.4255988e-07,-0.10391198,-0.008061619
Digestion of dietary carbohydrate,7.555683e-09,2.0,7.555683e-09,-0.10392876,0.16158305
CREB3 factors activate genes,9.1972794e-08,2.0,9.1972794e-08,-0.10391827,0.1615906
Signaling by TGF-beta Receptor Complex in Cancer,2.9855737e-06,5.0,2.9855737e-06,-0.103558615,-0.34712058
Effects of PIP2 hydrolysis,8.155379e-08,2.0,8.155379e-08,-0.103919566,0.16158968
rRNA processing in the mitochondrion,3.381488e-06,2.0,3.381488e-06,-0.103509404,0.16188514
Amino acid synthesis and interconversion (transamination),3.979668e-06,2.0,3.979668e-06,-0.103435054,0.1619387
RET signaling,0.043135908,2.0,0.043135908,5.257544,4.023781
Thrombin signalling through proteinase activated receptors (PARs),5.7950064e-07,2.0,5.7950064e-07,-0.103857666,0.16163427
Abacavir transmembrane transport,0.0,2.0,0.0,-0.1039297,0.16158238
Choline catabolism,8.9280384e-08,2.0,8.9280384e-08,-0.1039186,0.16159037
Galactose catabolism,0.0002779358,2.0,0.0002779358,-0.069384344,0.18646751
Biosynthesis of specialized proresolving mediators (SPMs),1.0157103e-06,6.0,1.0157103e-06,-0.10380345,-0.51695377
RNA Pol II CTD phosphorylation and interaction with CE,0.00011542992,2.0,0.00011542992,-0.089582615,0.17191747
Scavenging by Class B Receptors,4.2398174e-06,2.0,4.2398174e-06,-0.10340272,0.16196199
Defective Mismatch Repair Associated With MSH6,1.7515799e-08,2.0,1.7515799e-08,-0.10392752,0.16158395
Transport of glycerol from adipocytes to the liver by Aquaporins,0.0,2.0,0.0,-0.1039297,0.16158238
MGMT-mediated DNA damage reversal,3.9587757e-08,2.0,3.9587757e-08,-0.10392478,0.16158593
SUMOylation,0.004378778,3.0,0.004378778,0.44031996,0.38398203
tRNA modification in the nucleus and cytosol,1.7512893e-07,2.0,1.7512893e-07,-0.10390793,0.16159806
Defective Mismatch Repair Associated With MSH3,4.766259e-09,2.0,4.766259e-09,-0.1039291,0.16158281
PERK regulates gene expression,3.650865e-07,2.0,3.650865e-07,-0.103884324,0.16161506
Signaling by BMP,4.6676805e-06,2.0,4.6676805e-06,-0.103349544,0.1620003
ABC transporters in lipid homeostasis,3.853227e-05,2.0,3.853227e-05,-0.09914043,0.16503239
Post-transcriptional silencing by small RNAs,6.049752e-08,2.0,6.049752e-08,-0.10392218,0.16158779
GPVI-mediated activation cascade,6.6053326e-05,2.0,6.6053326e-05,-0.095719755,0.1674965
Diseases associated with surfactant metabolism,2.5433255e-07,8.0,2.5433255e-07,-0.10389809,-0.85633546
Interconversion of nucleotide di- and triphosphates,4.1402274e-07,2.0,4.1402274e-07,-0.10387824,0.16161945
NCAM signaling for neurite out-growth,2.294e-07,2.0,2.294e-07,-0.103901185,0.16160293
Deadenylation of mRNA,9.288043e-05,2.0,9.288043e-05,-0.092385344,0.16989848
TYSND1 cleaves peroxisomal proteins,6.39278e-07,2.0,6.39278e-07,-0.10385024,0.16163962
Processing of SMDT1,2.2075756e-05,2.0,2.2075756e-05,-0.10118584,0.16355895
Wax biosynthesis,2.5600724e-07,2.0,2.5600724e-07,-0.10389788,0.1616053
RIPK1-mediated regulated necrosis,0.0007290634,2.0,0.0007290634,-0.013312518,0.2268595
Platelet Adhesion to exposed collagen,9.969204e-06,2.0,9.969204e-06,-0.1026906,0.16247497
"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",6.770101e-08,2.0,6.770101e-08,-0.10392129,0.16158843
Fatty acid metabolism,0.00014930932,7.0,0.00014930932,-0.08537166,-0.6733329
Surfactant metabolism,6.453934e-05,2.0,6.453934e-05,-0.09590794,0.16736095
Fibronectin matrix formation,0.0,2.0,0.0,-0.1039297,0.16158238
ER to Golgi Anterograde Transport,6.7732776e-07,4.0,6.7732776e-07,-0.103845514,-0.1776705
