,,root
TBL1XR1,gene_expression,0.061665706
RBFA,gene_expression,-0.01082749
ZNF354A,gene_expression,-0.006565696
ALG1,gene_expression,0.012626999
KLHDC1,gene_expression,-0.0072148866
ANP32A,gene_expression,0.010147564
CETN2,gene_expression,0.14993043
FAR1,gene_expression,0.011670752
SLC35E1,gene_expression,-0.035947956
DOCK9,gene_expression,0.02205547
IDO2,gene_expression,-0.008695666
SLC35B1,gene_expression,-0.011541327
TAGLN2,gene_expression,-0.028859146
HAPLN1,gene_expression,0.018387819
LYL1,gene_expression,0.012041595
DNAJC2,gene_expression,-0.00860773
CBS,gene_expression,0.01078668
GFOD1,gene_expression,0.0030822237
PARN,gene_expression,0.0076476443
PTPRO,gene_expression,-0.0020478014
RB1CC1,gene_expression,-0.010613357
U2AF1L4,gene_expression,0.15765822
IPO11,gene_expression,0.003888729
RPL26,gene_expression,0.0076557165
WDR83OS,gene_expression,0.009813192
EXTL3,gene_expression,0.03800949
FBXO33,gene_expression,-0.010362965
ALDH16A1,gene_expression,0.16547036
DCAF5,gene_expression,0.0083566345
RPS6KA4,gene_expression,-0.009463665
ASAP2,gene_expression,-0.008441254
MOAP1,gene_expression,-0.005661857
LPP,gene_expression,0.011220828
ADAM19,gene_expression,0.009096048
CAMTA2,gene_expression,0.007546426
RSRC2,gene_expression,0.10820164
MTRF1L,gene_expression,-0.017150534
GPR65,gene_expression,-0.008268451
RAB43,gene_expression,0.004047237
ZSWIM4,gene_expression,0.004460151
CDC23,gene_expression,0.04096027
FCGRT,gene_expression,0.00630907
NFATC4,gene_expression,-0.02725142
CTSH,gene_expression,0.0135329375
ARHGAP25,gene_expression,-0.030641591
RUVBL1,gene_expression,0.11892104
PATE3,gene_expression,-0.01644112
ZNF362,gene_expression,-0.00715904
ANKFY1,gene_expression,0.0536111
RPS12,gene_expression,-0.010170802
BUD13,gene_expression,-0.008856924
AXIN2,gene_expression,0.012084214
ZNF281,gene_expression,0.007696379
BEX1,gene_expression,-0.038765036
CTU2,gene_expression,0.021108802
PTTG1IP,gene_expression,0.0059381486
TMEM177,gene_expression,0.005771231
EFR3A,gene_expression,-0.009198667
POLE2,gene_expression,0.011262039
MDN1,gene_expression,-0.007769904
PSIP1,gene_expression,0.008275268
PDIA5,gene_expression,-0.008456722
OSGEP,gene_expression,0.0008370689
LEPR,gene_expression,-0.017636813
PPP1R12A,gene_expression,-0.03377926
XPOT,gene_expression,-0.07445447
PRPF19,gene_expression,-0.011372356
ALPI,gene_expression,-0.0057338714
TECPR1,gene_expression,0.0107689295
TRIM23,gene_expression,0.006716619
TRAPPC3,gene_expression,-0.0077971173
MSRA,gene_expression,0.012980958
TMCO1,gene_expression,0.0070613925
STRADB,gene_expression,0.008467628
SUPT16H,gene_expression,0.038562898
YWHAE,gene_expression,0.0075267954
UBQLN1,gene_expression,0.0057709883
KIF3B,gene_expression,0.028197797
ZFAND6,gene_expression,-0.021514498
ALDH9A1,gene_expression,0.008782434
AKAP11,gene_expression,0.019151561
COMMD1,gene_expression,0.010436725
SFXN3,gene_expression,-0.0076102475
DHX30,gene_expression,0.013448254
PIGH,gene_expression,0.006970176
TPK1,gene_expression,-0.015964407
FCRL2,gene_expression,0.007997957
EIF4E3,gene_expression,0.010141061
MAP3K6,gene_expression,0.009957866
CFAP58,gene_expression,-0.058647268
POLR3B,gene_expression,-0.017444469
ZNF480,gene_expression,-0.031067895
TMEM64,gene_expression,-0.08522055
VDAC3,gene_expression,-0.061487056
MPHOSPH8,gene_expression,0.009471668
GYS1,gene_expression,-0.004651252
PRDM16,gene_expression,0.0054305075
ATG4C,gene_expression,0.019974161
PDCD2L,gene_expression,-0.0038316112
MRPL44,gene_expression,-0.0101099685
GAS2L1,gene_expression,-0.045872655
RPL5,gene_expression,-0.019699883
FTO,gene_expression,0.0066210963
TNNI2,gene_expression,0.016492711
SHISA5,gene_expression,-0.008935338
MDC1,gene_expression,-0.023625737
COX7C,gene_expression,-0.00019874185
IL17RB,gene_expression,-0.038530767
HDAC2,gene_expression,0.026779218
TRAF7,gene_expression,0.013145556
MYL12B,gene_expression,0.02206517
OR4K13,gene_expression,-0.008600748
CHRNE,gene_expression,0.024268717
RFXAP,gene_expression,0.00829831
MET,gene_expression,0.0060859453
POMP,gene_expression,0.07124618
PLA2G12A,gene_expression,0.0038826193
FTSJ1,gene_expression,0.00828527
IMP4,gene_expression,-0.007099834
ZNF484,gene_expression,0.023924042
ZKSCAN2,gene_expression,0.02120929
PACS2,gene_expression,0.00938678
RAB10,gene_expression,-0.21198744
IMMT,gene_expression,0.011011944
PLS1,gene_expression,-0.010289779
FAM50B,gene_expression,-0.009412213
PHKG2,gene_expression,-0.010810564
GPR156,gene_expression,-0.002596975
WDR53,gene_expression,0.013052365
CCDC151,gene_expression,-0.037543554
ENDOD1,gene_expression,-0.007540706
TAL1,gene_expression,-0.009718198
HMGN4,gene_expression,0.07175453
MAPKAPK5,gene_expression,-0.011602222
ORMDL2,gene_expression,-0.11559752
MITF,gene_expression,0.01132725
TRIM11,gene_expression,0.05561568
TOPORS,gene_expression,-0.01572707
UBE2M,gene_expression,-0.008286987
SLC25A51,gene_expression,0.005664123
SLC39A11,gene_expression,0.009424088
EXO5,gene_expression,-0.0124919545
MGME1,gene_expression,-0.010423839
ANKRD39,gene_expression,0.002853564
UBIAD1,gene_expression,-0.00612209
B2M,gene_expression,-0.003350509
CALU,gene_expression,0.008049346
METTL18,gene_expression,-0.007109432
CENPC,gene_expression,-0.029198056
PDCD2,gene_expression,0.00020664875
OGFOD3,gene_expression,0.0082657505
GPCPD1,gene_expression,-0.06249533
PCBD2,gene_expression,0.013490595
LITAF,gene_expression,-0.009176341
ELF1,gene_expression,-0.06319058
IL21R,gene_expression,0.038927455
MLH3,gene_expression,0.010640501
PIK3R1,gene_expression,-0.084149174
PPIF,gene_expression,0.008159628
NCBP1,gene_expression,-0.008672085
SAGE1,gene_expression,0.011536671
ANKRA2,gene_expression,0.00889482
NETO1,gene_expression,-0.008621164
PTER,gene_expression,-0.0069633527
HARBI1,gene_expression,0.008196721
SPRED1,gene_expression,0.008447938
RGL1,gene_expression,0.00927017
USP5,gene_expression,-0.021992043
OMG,gene_expression,-0.0059079994
KLHL2,gene_expression,0.060020503
KRI1,gene_expression,0.021046456
TMUB2,gene_expression,-0.00066931994
SKI,gene_expression,0.041617323
HNRNPH1,gene_expression,-0.007352849
SCLY,gene_expression,0.0068827816
NEURL1B,gene_expression,0.0015932946
TFCP2,gene_expression,-0.011702466
RDH10,gene_expression,0.009030691
HDHD3,gene_expression,-0.024531094
VPS9D1,gene_expression,-0.010963765
CSTF2,gene_expression,-0.004245138
SPDYE1,gene_expression,0.01604782
COQ5,gene_expression,-0.042397115
EXTL2,gene_expression,-0.0014698898
CBX1,gene_expression,-0.0058734836
SPATA7,gene_expression,0.0024827009
MEF2A,gene_expression,-0.006529475
ARV1,gene_expression,0.0056582233
MORC2,gene_expression,0.006037636
KIDINS220,gene_expression,0.007771087
RHOT1,gene_expression,0.037212405
PSMD12,gene_expression,-0.013178105
NBAS,gene_expression,0.0069584884
CRLS1,gene_expression,0.011495755
FAM107B,gene_expression,0.00028536603
ATP6V1A,gene_expression,0.017341143
PIGC,gene_expression,0.009587294
GPATCH1,gene_expression,-0.0071690367
PIP4K2A,gene_expression,0.02109578
TTC29,gene_expression,-0.022976482
WDR11,gene_expression,0.009087617
MMAA,gene_expression,0.0079911
ACOT8,gene_expression,-0.00071450695
BBS2,gene_expression,0.000872713
SLC38A9,gene_expression,0.07503224
CCDC59,gene_expression,0.005865876
LRRC8D,gene_expression,-0.05420298
DCST1,gene_expression,-0.0068578995
AGPAT2,gene_expression,0.02828097
QRICH1,gene_expression,0.009212886
OR11H1,gene_expression,-0.008804984
ZNF84,gene_expression,0.009038727
CCR4,gene_expression,-0.044461664
AFF1,gene_expression,0.011578598
YIPF3,gene_expression,-0.0007076209
FZD5,gene_expression,0.0046025356
PPP2R3C,gene_expression,0.0029703905
NME7,gene_expression,-0.003392976
DSC1,gene_expression,0.0685427
IKZF1,gene_expression,0.006238048
MR1,gene_expression,0.008387733
TFE3,gene_expression,-0.077503495
HDAC11,gene_expression,-0.009436246
CD55,gene_expression,0.01128851
GJC1,gene_expression,0.071321666
KCNJ8,gene_expression,-0.00696896
CEP68,gene_expression,-0.0048193866
APOA1,gene_expression,-0.014036527
BET1,gene_expression,-0.0089944685
HMGCL,gene_expression,-0.10815074
ATP6V0E1,gene_expression,0.0037204933
ZNF70,gene_expression,-0.0037392017
RPL11,gene_expression,-0.011334323
KBTBD8,gene_expression,0.02898506
DCANP1,gene_expression,0.0017690314
SUSD1,gene_expression,0.0084619885
ULK1,gene_expression,-0.059249908
SEMA3E,gene_expression,-0.045147214
FCRLB,gene_expression,-0.015183263
ZNF35,gene_expression,0.010786249
FFAR2,gene_expression,0.009897951
SLC39A6,gene_expression,-0.028757246
NT5C2,gene_expression,0.010971761
TRIM41,gene_expression,0.006274734
RXRB,gene_expression,0.011850602
HIGD1A,gene_expression,-0.046113916
MYBPC3,gene_expression,-0.010370701
RPL17,gene_expression,-0.012404253
HGD,gene_expression,0.0511886
MRPL34,gene_expression,-0.006932544
SUV39H1,gene_expression,0.0010445698
RAB5B,gene_expression,0.009900372
LRCH4,gene_expression,-0.005471896
ACTR3,gene_expression,0.0077137304
PGM3,gene_expression,-0.0051281266
DHDDS,gene_expression,-0.0066688512
EXOC2,gene_expression,0.0053674574
NSD1,gene_expression,0.0009626374
DHPS,gene_expression,-0.01447703
WDR41,gene_expression,0.008326421
NT5DC2,gene_expression,-0.01387519
DNAJB12,gene_expression,-5.778432e-05
PHACTR2,gene_expression,0.010497507
ARHGEF9,gene_expression,0.010536062
ASCC2,gene_expression,-0.067255065
EIF4ENIF1,gene_expression,0.0073995297
PHF20,gene_expression,0.0012182492
ZMYM1,gene_expression,-0.00967407
APH1B,gene_expression,0.009039711
IFNGR1,gene_expression,-0.009295295
TPCN2,gene_expression,0.0057998803
RNF214,gene_expression,-0.02299082
DBP,gene_expression,-0.010499768
ZNF260,gene_expression,-0.009853799
CACTIN,gene_expression,-0.011660019
STK25,gene_expression,0.013254307
HYKK,gene_expression,0.008346056
HCN3,gene_expression,0.014306692
IL1R1,gene_expression,-0.01681
GP1BA,gene_expression,-0.008323825
ABCE1,gene_expression,0.011888497
IL27RA,gene_expression,8.334689e-05
CBFB,gene_expression,-0.009961241
DDX10,gene_expression,0.09744015
EPHA2,gene_expression,0.008392567
HIPK2,gene_expression,0.078927174
TSR3,gene_expression,-0.0035348576
TMEM79,gene_expression,-0.010898644
