,,coef
ARL5B,gene_expression,0.0
UBE2D2,gene_expression,8.8051595e-05
PLCXD1,gene_expression,0.0
IKZF5,gene_expression,0.0
PRKAB1,gene_expression,3.6960566e-05
CT47A1,gene_expression,0.0
CETN2,gene_expression,3.3068358e-05
DCTN6,gene_expression,0.00011378473
DNM1L,gene_expression,0.0
COMMD3,gene_expression,5.486195e-05
TP53I3,gene_expression,1.0643255e-07
CCNYL1,gene_expression,0.0
STT3A,gene_expression,0.0
PEG3,gene_expression,0.0
TYSND1,gene_expression,5.2179195e-07
TP53BP2,gene_expression,1.7450247e-06
MLLT11,gene_expression,0.0
HADHA,gene_expression,0.00010259084
OCIAD1,gene_expression,0.0
MPP7,gene_expression,0.0
RNASEH2C,gene_expression,0.0
CCDC88C,gene_expression,2.6623186e-09
GFM2,gene_expression,5.6747517e-06
TCHP,gene_expression,0.0
TOB2,gene_expression,0.0
DIABLO,gene_expression,3.1128905e-06
JUN,gene_expression,1.052883e-06
RNF113A,gene_expression,0.0
PHLDB1,gene_expression,0.0
GIT2,gene_expression,0.0
TOR1A,gene_expression,2.7411443e-05
NRSN2,gene_expression,0.0
YOD1,gene_expression,0.00018796345
GOLGA7B,gene_expression,0.0
DMXL2,gene_expression,0.0
RAVER1,gene_expression,0.0
BOLA1,gene_expression,0.0
RELL2,gene_expression,0.0
ERG,gene_expression,0.0
NACC1,gene_expression,0.0
POSTN,gene_expression,0.0
GNG5,gene_expression,1.1374051e-05
TMCO1,gene_expression,0.0
HAX1,gene_expression,0.0
ANKRD54,gene_expression,0.0
MRPS28,gene_expression,8.806369e-05
SLC25A28,gene_expression,0.0
EZR,gene_expression,0.0001701847
PSME3,gene_expression,8.360397e-06
AAAS,gene_expression,7.774217e-06
WDR81,gene_expression,0.0
ZBTB33,gene_expression,0.0
EXD2,gene_expression,0.0
CREBL2,gene_expression,0.0
XRCC5,gene_expression,3.7116424e-05
ZHX1,gene_expression,0.0
BNIP3,gene_expression,0.0
TAPBPL,gene_expression,0.0
LEPR,gene_expression,7.3742524e-07
CYLD,gene_expression,2.490284e-06
EPM2A,gene_expression,3.9462503e-08
CARS2,gene_expression,0.00017404766
NCAN,gene_expression,1.3191631e-05
PHOSPHO2,gene_expression,0.0
SAV1,gene_expression,6.5542474e-07
RPL3,gene_expression,4.6158377e-05
MFSD9,gene_expression,0.0
ZNF414,gene_expression,0.0
TRIM13,gene_expression,1.9295883e-06
DERL2,gene_expression,1.0770045e-06
THUMPD2,gene_expression,0.0
VWA7,gene_expression,0.0
USP40,gene_expression,0.0
CABP7,gene_expression,0.0
HAPLN1,gene_expression,8.6363e-07
DTNA,gene_expression,0.0
MAGEL2,gene_expression,0.0
TRMT10C,gene_expression,4.5202534e-05
WNK1,gene_expression,0.0
PLSCR3,gene_expression,0.0
EAF1,gene_expression,6.687911e-06
GHDC,gene_expression,6.9604175e-05
RHOT1,gene_expression,4.3628086e-05
SPSB1,gene_expression,9.092561e-07
CR2,gene_expression,3.5795754e-05
CDCP1,gene_expression,0.0
COPG1,gene_expression,0.00022862
ASAP1,gene_expression,7.511351e-06
CPNE2,gene_expression,0.0
TMC3,gene_expression,0.0
GPBP1L1,gene_expression,0.0
FADD,gene_expression,2.2883016e-05
IRF5,gene_expression,0.0
EPN1,gene_expression,0.00013024757
DCK,gene_expression,2.6092598e-06
SRM,gene_expression,0.0
DPYSL2,gene_expression,0.000198047
