,fanin,fanout,degree
R-HSA-163125,3.0,1.0,4.0
R-HSA-1855183,1.0,1.0,2.0
R-HSA-5362517,1.0,1.0,2.0
R-HSA-71406,3.0,1.0,4.0
R-HSA-1368082,1.0,1.0,2.0
R-HSA-1237044,1.0,1.0,2.0
R-HSA-112313,1.0,1.0,2.0
R-HSA-140834,1.0,1.0,2.0
R-HSA-163200,3.0,1.0,4.0
R-HSA-69481,3.0,1.0,4.0
R-HSA-1296072,1.0,1.0,2.0
R-HSA-8851680,1.0,1.0,2.0
R-HSA-1566977,1.0,1.0,2.0
R-HSA-3000170,1.0,1.0,2.0
R-HSA-453279,3.0,1.0,4.0
R-HSA-75205,1.0,1.0,2.0
R-HSA-8957322,5.0,1.0,6.0
R-HSA-3000178,1.0,1.0,2.0
R-HSA-73863,1.0,1.0,2.0
R-HSA-1855231,1.0,1.0,2.0
R-HSA-166208,1.0,1.0,2.0
R-HSA-140837,1.0,1.0,2.0
R-HSA-3304351,4.0,1.0,5.0
R-HSA-1502540,1.0,1.0,2.0
R-HSA-168254,2.0,1.0,3.0
R-HSA-1433617,1.0,1.0,2.0
R-HSA-1433557,1.0,1.0,2.0
R-HSA-8949613,1.0,1.0,2.0
R-HSA-2408522,7.0,1.0,8.0
R-HSA-5662702,1.0,1.0,2.0
R-HSA-3238698,1.0,1.0,2.0
R-HSA-400508,2.0,1.0,3.0
R-HSA-5676934,1.0,1.0,2.0
R-HSA-210746,1.0,1.0,2.0
R-HSA-975957,1.0,1.0,2.0
R-HSA-425393,10.0,1.0,11.0
R-HSA-73933,4.0,1.0,5.0
R-HSA-212436,10.0,1.0,11.0
R-HSA-210991,1.0,1.0,2.0
R-HSA-75893,4.0,1.0,5.0
R-HSA-6809371,1.0,1.0,2.0
R-HSA-392851,1.0,1.0,2.0
R-HSA-112308,1.0,1.0,2.0
R-HSA-112303,1.0,1.0,2.0
R-HSA-8852135,2.0,1.0,3.0
R-HSA-450513,1.0,1.0,2.0
R-HSA-5221030,1.0,1.0,2.0
R-HSA-426496,1.0,1.0,2.0
R-HSA-879415,1.0,1.0,2.0
R-HSA-977225,1.0,1.0,2.0
R-HSA-749476,1.0,1.0,2.0
R-HSA-2395516,1.0,1.0,2.0
R-HSA-193704,7.0,1.0,8.0
R-HSA-3000484,1.0,1.0,2.0
R-HSA-5693606,2.0,1.0,3.0
R-HSA-936837,1.0,1.0,2.0
R-HSA-112314,5.0,1.0,6.0
R-HSA-166520,4.0,1.0,5.0
R-HSA-5609975,15.0,1.0,16.0
R-HSA-74182,2.0,1.0,3.0
R-HSA-2132295,1.0,1.0,2.0
R-HSA-499943,1.0,1.0,2.0
R-HSA-2129379,1.0,1.0,2.0
R-HSA-2160456,1.0,1.0,2.0
R-HSA-6811442,3.0,1.0,4.0
R-HSA-1300645,1.0,1.0,2.0
R-HSA-75158,1.0,1.0,2.0
R-HSA-5620920,4.0,1.0,5.0
R-HSA-2644603,5.0,1.0,6.0
R-HSA-5545483,1.0,1.0,2.0
R-HSA-163316,1.0,1.0,2.0
R-HSA-5661231,1.0,1.0,2.0
R-HSA-5661270,1.0,1.0,2.0
R-HSA-1442490,1.0,1.0,2.0
R-HSA-2559583,4.0,1.0,5.0
R-HSA-5579029,32.0,1.0,33.0
R-HSA-8868766,1.0,1.0,2.0
R-HSA-5684996,2.0,1.0,3.0
R-HSA-6784531,1.0,1.0,2.0
R-HSA-425366,7.0,1.0,8.0
R-HSA-8934903,1.0,1.0,2.0
R-HSA-76005,2.0,1.0,3.0
R-HSA-3858494,2.0,1.0,3.0
R-HSA-2978092,1.0,1.0,2.0
R-HSA-2022377,1.0,1.0,2.0
R-HSA-1368108,1.0,1.0,2.0
R-HSA-8964572,1.0,1.0,2.0
R-HSA-373760,6.0,1.0,7.0
R-HSA-2161517,1.0,1.0,2.0
R-HSA-446203,3.0,1.0,4.0
R-HSA-381340,1.0,1.0,2.0
R-HSA-209952,1.0,1.0,2.0
R-HSA-388841,3.0,1.0,4.0
R-HSA-8963898,3.0,1.0,4.0
R-HSA-1855167,1.0,1.0,2.0
R-HSA-1475029,1.0,1.0,2.0
R-HSA-2028269,1.0,1.0,2.0
R-HSA-8849175,1.0,1.0,2.0
R-HSA-1643713,3.0,1.0,4.0
R-HSA-674695,1.0,1.0,2.0
R-HSA-73929,2.0,1.0,3.0
R-HSA-68886,4.0,1.0,5.0
R-HSA-189451,1.0,1.0,2.0
R-HSA-1630316,5.0,1.0,6.0
R-HSA-9033500,1.0,1.0,2.0
R-HSA-3000480,1.0,1.0,2.0
R-HSA-5619084,15.0,1.0,16.0
R-HSA-163680,1.0,1.0,2.0
R-HSA-5213460,1.0,1.0,2.0
R-HSA-74752,2.0,1.0,3.0
R-HSA-163841,4.0,1.0,5.0
R-HSA-1592389,1.0,1.0,2.0
R-HSA-422085,1.0,1.0,2.0
R-HSA-1834949,5.0,1.0,6.0
R-HSA-8939211,1.0,1.0,2.0
R-HSA-5632927,1.0,1.0,2.0
R-HSA-191859,1.0,1.0,2.0
R-HSA-5660489,1.0,1.0,2.0
R-HSA-429947,1.0,1.0,2.0
R-HSA-5653890,1.0,1.0,2.0
R-HSA-162906,2.0,1.0,3.0
R-HSA-8956320,2.0,1.0,3.0
R-HSA-163767,1.0,1.0,2.0
R-HSA-422356,4.0,1.0,5.0
R-HSA-1799339,1.0,1.0,2.0
R-HSA-168928,5.0,1.0,6.0
R-HSA-9018678,5.0,1.0,6.0
R-HSA-8964043,5.0,1.0,6.0
R-HSA-5578768,1.0,1.0,2.0
R-HSA-1227986,8.0,1.0,9.0
R-HSA-194840,1.0,1.0,2.0
R-HSA-5578749,1.0,1.0,2.0
R-HSA-9013694,3.0,1.0,4.0
R-HSA-210745,1.0,1.0,2.0
R-HSA-5602358,11.0,1.0,12.0
R-HSA-6794361,1.0,1.0,2.0
R-HSA-6783310,1.0,1.0,2.0
R-HSA-8979227,2.0,1.0,3.0
R-HSA-1369062,1.0,1.0,2.0
R-HSA-5617472,1.0,1.0,2.0
R-HSA-8956319,3.0,1.0,4.0
R-HSA-1296346,6.0,1.0,7.0
R-HSA-199992,1.0,1.0,2.0
R-HSA-5621481,3.0,1.0,4.0
R-HSA-209776,3.0,1.0,4.0
R-HSA-390466,3.0,1.0,4.0
R-HSA-8955332,1.0,1.0,2.0
R-HSA-77595,1.0,1.0,2.0
R-HSA-432040,1.0,1.0,2.0
R-HSA-168643,2.0,1.0,3.0
R-HSA-421270,3.0,1.0,4.0
R-HSA-189085,1.0,1.0,2.0
R-HSA-5652084,2.0,1.0,3.0
R-HSA-5696399,4.0,1.0,5.0
R-HSA-6807505,1.0,1.0,2.0
R-HSA-5576893,1.0,1.0,2.0
R-HSA-982772,1.0,1.0,2.0
R-HSA-3000471,1.0,1.0,2.0
R-HSA-1369007,1.0,1.0,2.0
R-HSA-8853659,1.0,1.0,2.0
R-HSA-5601884,1.0,1.0,2.0
R-HSA-72613,2.0,1.0,3.0
R-HSA-5334118,1.0,1.0,2.0
R-HSA-425397,4.0,1.0,5.0
R-HSA-379724,2.0,1.0,3.0
R-HSA-450385,1.0,1.0,2.0
R-HSA-2892247,1.0,1.0,2.0
R-HSA-3214815,1.0,1.0,2.0
R-HSA-69052,2.0,1.0,3.0
R-HSA-75157,1.0,1.0,2.0
R-HSA-201681,9.0,1.0,10.0
R-HSA-456926,1.0,1.0,2.0
R-HSA-3000157,1.0,1.0,2.0
R-HSA-6798163,1.0,1.0,2.0
R-HSA-3214841,1.0,1.0,2.0
R-HSA-70895,1.0,1.0,2.0
R-HSA-69618,2.0,1.0,3.0
R-HSA-917977,1.0,1.0,2.0
R-HSA-73980,1.0,1.0,2.0
R-HSA-1855204,1.0,1.0,2.0
R-HSA-8856828,1.0,1.0,2.0
R-HSA-75955,2.0,1.0,3.0
R-HSA-8853383,1.0,1.0,2.0
R-HSA-5632987,1.0,1.0,2.0
R-HSA-5668541,3.0,1.0,4.0
R-HSA-3214842,1.0,1.0,2.0
R-HSA-69190,3.0,1.0,4.0
R-HSA-5632968,1.0,1.0,2.0
R-HSA-430116,1.0,1.0,2.0
R-HSA-5250941,2.0,1.0,3.0
R-HSA-418360,2.0,1.0,3.0
R-HSA-381426,1.0,1.0,2.0
R-HSA-201451,1.0,1.0,2.0
R-HSA-983189,1.0,1.0,2.0
R-HSA-5693571,1.0,1.0,2.0
R-HSA-3906995,9.0,1.0,10.0
R-HSA-8982491,2.0,1.0,3.0
R-HSA-170834,3.0,1.0,4.0
R-HSA-392518,3.0,1.0,4.0
R-HSA-5358606,1.0,1.0,2.0
R-HSA-8981607,1.0,1.0,2.0
R-HSA-6803157,3.0,1.0,4.0
R-HSA-373753,1.0,1.0,2.0
R-HSA-2262749,1.0,1.0,2.0
R-HSA-500792,3.0,1.0,4.0
R-HSA-9012852,2.0,1.0,3.0
R-HSA-177929,5.0,1.0,6.0
R-HSA-429958,1.0,1.0,2.0
R-HSA-8873719,1.0,1.0,2.0
R-HSA-5576892,1.0,1.0,2.0
R-HSA-4791275,10.0,1.0,11.0
R-HSA-76046,3.0,1.0,4.0
R-HSA-975956,1.0,1.0,2.0
R-HSA-77588,1.0,1.0,2.0
R-HSA-389661,1.0,1.0,2.0
R-HSA-195258,11.0,1.0,12.0
R-HSA-1296061,1.0,1.0,2.0
R-HSA-2168880,1.0,1.0,2.0
R-HSA-199977,3.0,1.0,4.0
R-HSA-5687128,1.0,1.0,2.0
R-HSA-380972,1.0,1.0,2.0
R-HSA-8852405,1.0,1.0,2.0
R-HSA-8848021,9.0,1.0,10.0
R-HSA-2454202,4.0,1.0,5.0
R-HSA-1445148,1.0,1.0,2.0
R-HSA-5688426,5.0,1.0,6.0
R-HSA-2022090,2.0,1.0,3.0
R-HSA-2892245,1.0,1.0,2.0
R-HSA-6788656,5.0,1.0,6.0
R-HSA-70370,1.0,1.0,2.0
R-HSA-3560782,15.0,1.0,16.0
R-HSA-216083,1.0,1.0,2.0
R-HSA-8941237,1.0,1.0,2.0
R-HSA-450604,1.0,1.0,2.0
R-HSA-1855184,1.0,1.0,2.0
R-HSA-450408,1.0,1.0,2.0
R-HSA-190236,4.0,1.0,5.0
R-HSA-72764,1.0,1.0,2.0
R-HSA-373752,4.0,1.0,5.0
R-HSA-75892,1.0,1.0,2.0
R-HSA-114508,1.0,1.0,2.0
R-HSA-2172127,1.0,1.0,2.0
R-HSA-76042,2.0,1.0,3.0
R-HSA-1489509,1.0,1.0,2.0
R-HSA-1226099,4.0,1.0,5.0
R-HSA-5632928,1.0,1.0,2.0
R-HSA-8963678,1.0,1.0,2.0
R-HSA-210993,1.0,1.0,2.0
R-HSA-5683826,1.0,1.0,2.0
R-HSA-75896,1.0,1.0,2.0
R-HSA-449147,11.0,1.0,12.0
R-HSA-166658,4.0,1.0,5.0
R-HSA-70614,1.0,1.0,2.0
R-HSA-446107,1.0,1.0,2.0
R-HSA-2672351,1.0,1.0,2.0
R-HSA-381070,1.0,1.0,2.0
R-HSA-8876384,2.0,1.0,3.0
R-HSA-264876,1.0,1.0,2.0
R-HSA-1855196,1.0,1.0,2.0
R-HSA-5387390,2.0,1.0,3.0
R-HSA-77075,1.0,1.0,2.0
R-HSA-1368071,1.0,1.0,2.0
R-HSA-1980145,2.0,1.0,3.0
R-HSA-389977,1.0,1.0,2.0
R-HSA-210747,1.0,1.0,2.0
R-HSA-68952,1.0,1.0,2.0
R-HSA-72086,1.0,1.0,2.0
R-HSA-2682334,4.0,1.0,5.0
R-HSA-1912422,3.0,1.0,4.0
R-HSA-109606,7.0,1.0,8.0
R-HSA-450520,1.0,1.0,2.0
R-HSA-156842,1.0,1.0,2.0
R-HSA-5576890,1.0,1.0,2.0
R-HSA-5368287,3.0,1.0,4.0
R-HSA-69002,2.0,1.0,3.0
R-HSA-2564830,1.0,1.0,2.0
R-HSA-453276,1.0,1.0,2.0
R-HSA-198933,1.0,1.0,2.0
R-HSA-3371497,1.0,1.0,2.0
R-HSA-912446,1.0,1.0,2.0
R-HSA-210744,1.0,1.0,2.0
R-HSA-2151201,1.0,1.0,2.0
R-HSA-5250913,2.0,1.0,3.0
R-HSA-202403,4.0,1.0,5.0
R-HSA-194138,3.0,1.0,4.0
R-HSA-112311,2.0,1.0,3.0
R-HSA-428359,1.0,1.0,2.0
R-HSA-392154,1.0,1.0,2.0
R-HSA-192456,1.0,1.0,2.0
R-HSA-5358346,1.0,1.0,2.0
R-HSA-1257604,4.0,1.0,5.0
R-HSA-6806667,3.0,1.0,4.0
R-HSA-446353,2.0,1.0,3.0
R-HSA-76009,1.0,1.0,2.0
R-HSA-1300642,1.0,1.0,2.0
R-HSA-1222556,1.0,1.0,2.0
R-HSA-8981373,1.0,1.0,2.0
R-HSA-1236394,4.0,1.0,5.0
R-HSA-157858,2.0,1.0,3.0
R-HSA-8978868,6.0,1.0,7.0
R-HSA-430039,1.0,1.0,2.0
R-HSA-2474795,2.0,1.0,3.0
R-HSA-3214847,1.0,1.0,2.0
R-HSA-5682910,1.0,1.0,2.0
R-HSA-1855229,1.0,1.0,2.0
R-HSA-1855170,1.0,1.0,2.0
R-HSA-8874211,1.0,1.0,2.0
R-HSA-5423646,1.0,1.0,2.0
R-HSA-376176,8.0,1.0,9.0
R-HSA-1650814,1.0,1.0,2.0
R-HSA-5173105,2.0,1.0,3.0
R-HSA-73777,1.0,1.0,2.0
R-HSA-75153,3.0,1.0,4.0
R-HSA-2151209,1.0,1.0,2.0
R-HSA-71737,1.0,1.0,2.0
R-HSA-3214858,1.0,1.0,2.0
R-HSA-73779,1.0,1.0,2.0
R-HSA-1614635,3.0,1.0,4.0
R-HSA-72187,1.0,1.0,2.0
R-HSA-75064,2.0,1.0,3.0
R-HSA-203927,1.0,1.0,2.0
R-HSA-5576894,1.0,1.0,2.0
R-HSA-6782315,1.0,1.0,2.0
R-HSA-8848584,1.0,1.0,2.0
R-HSA-73854,3.0,1.0,4.0
R-HSA-1855191,1.0,1.0,2.0
R-HSA-6798695,1.0,1.0,2.0
R-HSA-165181,1.0,1.0,2.0
R-HSA-1855156,1.0,1.0,2.0
R-HSA-70326,2.0,1.0,3.0
R-HSA-1300644,1.0,1.0,2.0
R-HSA-2161541,1.0,1.0,2.0
R-HSA-432047,1.0,1.0,2.0
R-HSA-388844,1.0,1.0,2.0
R-HSA-375165,1.0,1.0,2.0
R-HSA-112310,6.0,1.0,7.0
R-HSA-72172,2.0,1.0,3.0
R-HSA-1221632,1.0,1.0,2.0
R-HSA-426486,1.0,1.0,2.0
R-HSA-114604,1.0,1.0,2.0
R-HSA-5687613,7.0,1.0,8.0
R-HSA-774815,1.0,1.0,2.0
R-HSA-210990,1.0,1.0,2.0
R-HSA-432142,1.0,1.0,2.0
R-HSA-1268020,1.0,1.0,2.0
R-HSA-169911,2.0,1.0,3.0
R-HSA-163282,1.0,1.0,2.0
R-HSA-6785470,1.0,1.0,2.0
R-HSA-1170546,1.0,1.0,2.0
R-HSA-983705,3.0,1.0,4.0
R-HSA-156580,6.0,1.0,7.0
R-HSA-5619102,72.0,1.0,73.0
R-HSA-163754,1.0,1.0,2.0
R-HSA-913531,3.0,1.0,4.0
R-HSA-1483257,2.0,1.0,3.0
R-HSA-189200,1.0,1.0,2.0
R-HSA-8876725,1.0,1.0,2.0
R-HSA-110314,1.0,1.0,2.0
R-HSA-69615,2.0,1.0,3.0
R-HSA-72202,2.0,1.0,3.0
R-HSA-351202,6.0,1.0,7.0
R-HSA-6787450,1.0,1.0,2.0
R-HSA-5205685,1.0,1.0,2.0
R-HSA-212300,1.0,1.0,2.0
R-HSA-8949664,1.0,1.0,2.0
R-HSA-5657655,1.0,1.0,2.0
R-HSA-8849932,1.0,1.0,2.0
R-HSA-1980143,2.0,1.0,3.0
R-HSA-2404192,1.0,1.0,2.0
R-HSA-5663084,7.0,1.0,8.0
R-HSA-5632684,3.0,1.0,4.0
R-HSA-9007101,2.0,1.0,3.0
R-HSA-8866376,1.0,1.0,2.0
R-HSA-189483,1.0,1.0,2.0
R-HSA-69242,3.0,1.0,4.0
R-HSA-6781827,3.0,1.0,4.0
R-HSA-1296052,1.0,1.0,2.0
R-HSA-432030,1.0,1.0,2.0
R-HSA-110313,5.0,1.0,6.0
R-HSA-2219528,3.0,1.0,4.0
R-HSA-211945,6.0,1.0,7.0
R-HSA-8868773,2.0,1.0,3.0
R-HSA-8956321,2.0,1.0,3.0
R-HSA-5357769,2.0,1.0,3.0
R-HSA-381033,1.0,1.0,2.0
R-HSA-400206,1.0,1.0,2.0
R-HSA-8951664,1.0,1.0,2.0
R-HSA-354192,2.0,1.0,3.0
R-HSA-5223345,1.0,1.0,2.0
R-HSA-196849,10.0,1.0,11.0
R-HSA-157579,2.0,1.0,3.0
R-HSA-1855215,1.0,1.0,2.0
R-HSA-73943,2.0,1.0,3.0
R-HSA-5576886,1.0,1.0,2.0
R-HSA-375170,1.0,1.0,2.0
R-HSA-186797,1.0,1.0,2.0
R-HSA-195253,2.0,1.0,3.0
R-HSA-3371556,3.0,1.0,4.0
R-HSA-1855192,1.0,1.0,2.0
R-HSA-73856,1.0,1.0,2.0
R-HSA-5578775,1.0,1.0,2.0
R-HSA-392517,1.0,1.0,2.0
R-HSA-6806834,8.0,1.0,9.0
R-HSA-381042,1.0,1.0,2.0
R-HSA-3299685,1.0,1.0,2.0
R-HSA-1300652,1.0,1.0,2.0
R-HSA-8978934,3.0,1.0,4.0
R-HSA-388396,6.0,1.0,7.0
R-HSA-5610787,3.0,1.0,4.0
R-HSA-2029480,3.0,1.0,4.0
R-HSA-2586552,1.0,1.0,2.0
R-HSA-8862803,1.0,1.0,2.0
R-HSA-5620912,1.0,1.0,2.0
R-HSA-5693538,2.0,1.0,3.0
R-HSA-1296065,4.0,1.0,5.0
R-HSA-983169,3.0,1.0,4.0
R-HSA-8963899,4.0,1.0,5.0
R-HSA-1222352,1.0,1.0,2.0
R-HSA-3296482,2.0,1.0,3.0
R-HSA-390522,1.0,1.0,2.0
R-HSA-917729,1.0,1.0,2.0
R-HSA-73780,1.0,1.0,2.0
R-HSA-72200,1.0,1.0,2.0
R-HSA-445355,1.0,1.0,2.0
R-HSA-163359,1.0,1.0,2.0
R-HSA-3781860,16.0,1.0,17.0
R-HSA-5620924,1.0,1.0,2.0
R-HSA-71336,1.0,1.0,2.0
R-HSA-168898,9.0,1.0,10.0
R-HSA-5358565,1.0,1.0,2.0
R-HSA-3000497,1.0,1.0,2.0
R-HSA-163765,1.0,1.0,2.0
R-HSA-428157,2.0,1.0,3.0
R-HSA-8957275,1.0,1.0,2.0
R-HSA-1247673,1.0,1.0,2.0
R-HSA-111367,1.0,1.0,2.0
