,,root
CCDC174,gene_expression,-0.08513451
PEG3,gene_expression,0.004438914
ATXN1,gene_expression,0.08368503
IL12RB2,gene_expression,0.022248553
ACVRL1,gene_expression,-0.049721397
PSD4,gene_expression,-0.009737266
VPS16,gene_expression,-0.06472373
EPHA1,gene_expression,0.09472486
RSAD2,gene_expression,-0.12069516
EXO5,gene_expression,0.015764125
HADH,gene_expression,0.019924223
CEP97,gene_expression,0.032068495
SNX3,gene_expression,-0.08943512
RTBDN,gene_expression,-0.026724895
SMAP2,gene_expression,0.0424932
GALE,gene_expression,0.052825008
MEGF6,gene_expression,0.02325291
ARAF,gene_expression,0.07860768
ZNF768,gene_expression,0.121606454
PARP1,gene_expression,-0.0036995565
ME3,gene_expression,-0.0806826
SWAP70,gene_expression,0.0755428
DPY19L1,gene_expression,-0.07572621
ZNF780B,gene_expression,0.11518135
GLUL,gene_expression,0.04280127
UNC5B,gene_expression,0.008966611
F8,gene_expression,-0.07662986
PRR32,gene_expression,-0.086636625
NDUFA2,gene_expression,-0.048365638
EBPL,gene_expression,-0.16597244
BRPF3,gene_expression,0.07047919
SUZ12,gene_expression,-0.03354765
MTFR1,gene_expression,0.06847618
GGA1,gene_expression,0.073408686
COMMD8,gene_expression,-0.05949194
EPS8L2,gene_expression,0.023558207
SP100,gene_expression,0.0929351
FAM209A,gene_expression,-0.06909645
KREMEN1,gene_expression,0.07042957
RTN4RL1,gene_expression,-0.018160645
TMEM161B,gene_expression,-0.065516256
KDM5C,gene_expression,-0.09496406
PDHA1,gene_expression,0.0051530707
HIRA,gene_expression,0.09748114
RGPD3,gene_expression,0.026728403
IDH3A,gene_expression,-0.06900667
FAM24B,gene_expression,-0.19361198
FAM172A,gene_expression,0.08707422
BOD1,gene_expression,-0.08655263
TMEM59L,gene_expression,-0.06529847
PPIAL4C,gene_expression,0.099239096
RETNLB,gene_expression,0.03999883
PRDM2,gene_expression,0.007860641
SRPK2,gene_expression,0.12914506
MYB,gene_expression,0.10491074
NIT1,gene_expression,-0.06298376
P2RX7,gene_expression,-0.07486369
GTF3C4,gene_expression,0.043886006
FRAT1,gene_expression,-0.085669085
LONRF1,gene_expression,-0.05589401
TGFBI,gene_expression,0.09632667
EIF2B1,gene_expression,0.039747722
RECQL5,gene_expression,0.0015965357
MAD2L1BP,gene_expression,-0.012052212
BEX4,gene_expression,0.0867883
CCP110,gene_expression,-0.08835816
SSH1,gene_expression,-0.0784936
PPDPF,gene_expression,0.028083328
FZD7,gene_expression,-0.083924845
CTSL,gene_expression,-0.040988754
RGR,gene_expression,-0.01789231
PTPRF,gene_expression,0.07069442
ATP6V1B2,gene_expression,-0.008789144
SUMO2,gene_expression,-0.010716188
SMC3,gene_expression,0.08448651
CASP3,gene_expression,0.035709802
ZDHHC12,gene_expression,0.063425034
ZNF280C,gene_expression,0.007750412
PON2,gene_expression,0.06762834
RCOR3,gene_expression,0.004525001
PRICKLE1,gene_expression,0.12741554
SIDT2,gene_expression,-0.09209359
DENND6B,gene_expression,0.10818269
POLR3E,gene_expression,-0.08959017
CCDC121,gene_expression,0.036407158
ZC3H14,gene_expression,-0.054463174
TRAK1,gene_expression,0.06865915
GMIP,gene_expression,-0.002440225
MPV17L2,gene_expression,0.062474094
LAIR1,gene_expression,0.08973678
SLC33A1,gene_expression,-0.017973933
MYPN,gene_expression,0.07366117
GOLPH3,gene_expression,-0.03374303
MEN1,gene_expression,0.08598804
WDR83,gene_expression,0.0901717
ORM1,gene_expression,-0.09831986
CENPO,gene_expression,0.055667713
ZFYVE27,gene_expression,0.062301397
CAV1,gene_expression,-0.09044517
TPM4,gene_expression,0.09494188
RFC4,gene_expression,-0.112261064
ELP5,gene_expression,0.09153483
RAD21,gene_expression,-0.008980708
FAM53A,gene_expression,0.03928367
STAT5A,gene_expression,-0.09849712
KMT2B,gene_expression,0.104521744
SLC25A43,gene_expression,-0.054916684
DSTYK,gene_expression,0.104362205
LRRCC1,gene_expression,-0.047778502
ARHGEF3,gene_expression,-0.03819579
CCDC84,gene_expression,0.08801844
HNRNPM,gene_expression,-0.09901238
INSL5,gene_expression,0.07668002
DDX42,gene_expression,-0.077927105
SIRT5,gene_expression,0.18099816
NFU1,gene_expression,0.0044489927
VPS37B,gene_expression,-0.0656933
ADPRM,gene_expression,0.10199672
CEP95,gene_expression,0.030971862
RPS12,gene_expression,0.028054323
IFIT5,gene_expression,0.051517624
MYC,gene_expression,0.038095187
TP53I13,gene_expression,0.10081959
PPIL3,gene_expression,-0.05395497
USP51,gene_expression,-0.026919354
CROCC,gene_expression,-0.08692306
RAP1GAP2,gene_expression,-0.004432896
ZBED6CL,gene_expression,0.025125489
SHISA4,gene_expression,0.003802808
SMAD9,gene_expression,0.029476138
RIC8A,gene_expression,0.09044414
MCEE,gene_expression,-0.002409813
DYSF,gene_expression,-0.07831719
PLEKHG2,gene_expression,0.021044789
PPIL1,gene_expression,0.1232676
ARID1A,gene_expression,-0.104913004
L2HGDH,gene_expression,0.013531322
KIF1BP,gene_expression,-0.064355455
RMDN3,gene_expression,-0.053273566
CRKL,gene_expression,0.055388436
PRMT6,gene_expression,0.031514045
ZNF564,gene_expression,0.09152901
ZNF791,gene_expression,-0.08008854
THAP2,gene_expression,-0.10676795
ZNF513,gene_expression,-0.013739955
CIITA,gene_expression,-0.07475227
GPAM,gene_expression,0.08182818
RANBP2,gene_expression,0.06497628
NT5DC3,gene_expression,0.04191438
ACP1,gene_expression,0.11776121
RNF41,gene_expression,-0.060813565
NUP35,gene_expression,0.10069938
TIMMDC1,gene_expression,0.13128461
CCDC151,gene_expression,0.112740315
CTTN,gene_expression,0.0045939772
EIF2A,gene_expression,0.14048238
TAZ,gene_expression,-0.101870954
TDG,gene_expression,0.09423305
EIF1B,gene_expression,-0.061526034
PPP1R12C,gene_expression,-0.1010008
IL6R,gene_expression,0.10874925
ABCF1,gene_expression,-0.10080327
ZNF419,gene_expression,-0.086560674
EXOSC8,gene_expression,0.10653673
AASDHPPT,gene_expression,0.060130205
ANGPT1,gene_expression,-0.10019756
ZNF823,gene_expression,0.07933594
THAP8,gene_expression,-0.04464385
RAB18,gene_expression,-0.09679879
WDR75,gene_expression,-0.0051688743
ZNF222,gene_expression,0.02011695
CACUL1,gene_expression,-0.039593093
MTMR12,gene_expression,0.095509745
MPHOSPH8,gene_expression,-0.0467845
ARL13B,gene_expression,0.092267744
ZNF669,gene_expression,0.05946247
CLEC4G,gene_expression,-0.000718821
SERPINF1,gene_expression,0.11782406
PM20D2,gene_expression,-0.021467587
LRRC42,gene_expression,0.06017494
TUBB1,gene_expression,-0.05082402
KLF6,gene_expression,-0.08039323
MAPK7,gene_expression,-0.046928026
CCDC146,gene_expression,-0.023510316
ATG4C,gene_expression,0.09298874
EIF3G,gene_expression,-0.08357258
ARHGEF18,gene_expression,-0.08306394
SNRPB2,gene_expression,0.034058314
TCTA,gene_expression,0.06730855
DESI2,gene_expression,0.1068697
UBE3A,gene_expression,0.08925092
PARS2,gene_expression,0.092478104
SDF2,gene_expression,-0.02841964
DTNBP1,gene_expression,0.06616487
CIR1,gene_expression,0.09424181
ACTR3,gene_expression,-0.07928959
NME6,gene_expression,-0.09684078
NCOA5,gene_expression,0.034944743
SATB1,gene_expression,-0.01465286
SPACA1,gene_expression,-0.07005805
DCK,gene_expression,0.09207428
LZTR1,gene_expression,0.033348307
CEP85,gene_expression,-0.09648847
NDST1,gene_expression,-0.030840902
TTI1,gene_expression,0.07955332
ZNF25,gene_expression,-0.07808487
RBM15,gene_expression,-0.13304277
CCDC124,gene_expression,-0.07628388
SLC4A5,gene_expression,0.0004592861
BCLAF1,gene_expression,-0.042113237
ABHD8,gene_expression,0.005027774
PLD4,gene_expression,-0.12308743
LRRC58,gene_expression,-0.017241688
FBXW9,gene_expression,0.07608268
POLR1B,gene_expression,0.09105686
IK,gene_expression,0.051623285
SUMO1,gene_expression,0.1405996
SEC13,gene_expression,-0.070258126
HES3,gene_expression,-0.09697628
OLIG2,gene_expression,0.074425645
SNX2,gene_expression,0.052839905
CDV3,gene_expression,0.08810706
RHPN2,gene_expression,0.0029397288
HOMEZ,gene_expression,0.08856085
RGPD5,gene_expression,0.04644821
