,,coef
CCDC174,gene_expression,0.0
PEG3,gene_expression,0.0
ATXN1,gene_expression,0.0
IL12RB2,gene_expression,1.1032752e-06
ACVRL1,gene_expression,6.522362e-08
PSD4,gene_expression,0.0
VPS16,gene_expression,0.0
EPHA1,gene_expression,1.5964888e-07
RSAD2,gene_expression,0.0
EXO5,gene_expression,0.0
HADH,gene_expression,2.589995e-07
CEP97,gene_expression,0.0001809754
SNX3,gene_expression,0.00037875303
RTBDN,gene_expression,0.0
SMAP2,gene_expression,0.0
GALE,gene_expression,4.0881037e-06
MEGF6,gene_expression,0.0
ARAF,gene_expression,0.00092906534
ZNF768,gene_expression,0.0
PARP1,gene_expression,5.7792506e-05
ME3,gene_expression,9.376972e-06
SWAP70,gene_expression,0.0
DPY19L1,gene_expression,0.0
ZNF780B,gene_expression,0.0
GLUL,gene_expression,1.9806701e-10
UNC5B,gene_expression,1.1014301e-08
F8,gene_expression,1.1686847e-05
PRR32,gene_expression,0.0
NDUFA2,gene_expression,0.00066765945
EBPL,gene_expression,0.0
BRPF3,gene_expression,1.1789857e-05
SUZ12,gene_expression,0.0007580637
MTFR1,gene_expression,0.0
GGA1,gene_expression,0.0036632367
COMMD8,gene_expression,6.94658e-06
EPS8L2,gene_expression,0.0
SP100,gene_expression,0.00046331558
FAM209A,gene_expression,0.0
KREMEN1,gene_expression,1.7491809e-07
RTN4RL1,gene_expression,0.0
TMEM161B,gene_expression,0.0
KDM5C,gene_expression,1.1619493e-06
PDHA1,gene_expression,7.327085e-06
HIRA,gene_expression,3.541084e-06
RGPD3,gene_expression,0.0
IDH3A,gene_expression,2.0121126e-05
FAM24B,gene_expression,0.0
FAM172A,gene_expression,0.0
BOD1,gene_expression,0.0
TMEM59L,gene_expression,0.0
PPIAL4C,gene_expression,0.0
RETNLB,gene_expression,0.0
PRDM2,gene_expression,0.0
SRPK2,gene_expression,0.0
MYB,gene_expression,4.6527744e-06
NIT1,gene_expression,0.0
P2RX7,gene_expression,7.709899e-07
GTF3C4,gene_expression,3.8868698e-06
FRAT1,gene_expression,0.00025587852
LONRF1,gene_expression,1.4532105e-06
TGFBI,gene_expression,0.0012053521
EIF2B1,gene_expression,4.393408e-06
RECQL5,gene_expression,0.0
MAD2L1BP,gene_expression,0.0
BEX4,gene_expression,0.0
CCP110,gene_expression,0.00026910397
SSH1,gene_expression,0.0
PPDPF,gene_expression,0.0
FZD7,gene_expression,3.3418954e-05
CTSL,gene_expression,5.578065e-05
RGR,gene_expression,1.07367136e-07
PTPRF,gene_expression,3.0793217e-06
ATP6V1B2,gene_expression,0.00022051006
SUMO2,gene_expression,3.546276e-05
SMC3,gene_expression,3.857033e-05
CASP3,gene_expression,4.7968715e-05
ZDHHC12,gene_expression,0.0
ZNF280C,gene_expression,0.0
PON2,gene_expression,1.787478e-08
RCOR3,gene_expression,0.0
PRICKLE1,gene_expression,0.0001587947
SIDT2,gene_expression,0.0
DENND6B,gene_expression,1.7187916e-05
POLR3E,gene_expression,2.930605e-07
CCDC121,gene_expression,0.0
ZC3H14,gene_expression,0.0
TRAK1,gene_expression,2.0394634e-06
GMIP,gene_expression,4.5563937e-07
MPV17L2,gene_expression,0.0
LAIR1,gene_expression,6.6414304e-06
SLC33A1,gene_expression,0.0
MYPN,gene_expression,0.0
GOLPH3,gene_expression,0.0
MEN1,gene_expression,0.0012823783
WDR83,gene_expression,0.0004419704
ORM1,gene_expression,1.015321e-05
CENPO,gene_expression,0.0010655733
ZFYVE27,gene_expression,0.0
CAV1,gene_expression,0.0016415119
TPM4,gene_expression,0.0011171298
RFC4,gene_expression,0.0010479003
ELP5,gene_expression,1.5656117e-06
RAD21,gene_expression,5.5688724e-05
FAM53A,gene_expression,0.0
STAT5A,gene_expression,0.00015730748
KMT2B,gene_expression,4.053995e-05
SLC25A43,gene_expression,0.0
DSTYK,gene_expression,0.0
LRRCC1,gene_expression,0.0
ARHGEF3,gene_expression,2.2694467e-06
CCDC84,gene_expression,0.0
HNRNPM,gene_expression,0.0003510727
INSL5,gene_expression,6.4943792e-06
DDX42,gene_expression,1.7548804e-06
SIRT5,gene_expression,3.8494063e-06
NFU1,gene_expression,0.0
VPS37B,gene_expression,3.1627944e-05
ADPRM,gene_expression,1.7531537e-06
CEP95,gene_expression,0.0
RPS12,gene_expression,0.00043260373
IFIT5,gene_expression,0.0
MYC,gene_expression,0.00020081659
TP53I13,gene_expression,0.0
PPIL3,gene_expression,4.449034e-06
USP51,gene_expression,0.0
CROCC,gene_expression,0.0
RAP1GAP2,gene_expression,2.4037724e-06
ZBED6CL,gene_expression,0.0
SHISA4,gene_expression,0.0
SMAD9,gene_expression,4.616086e-07
RIC8A,gene_expression,0.0
MCEE,gene_expression,1.5784718e-07
DYSF,gene_expression,0.00085961306
PLEKHG2,gene_expression,1.5390644e-06
PPIL1,gene_expression,6.6498687e-06
ARID1A,gene_expression,3.9676775e-07
L2HGDH,gene_expression,6.116505e-06
KIF1BP,gene_expression,0.0
RMDN3,gene_expression,0.0
CRKL,gene_expression,0.0011001568
PRMT6,gene_expression,2.0406333e-07
ZNF564,gene_expression,0.0
ZNF791,gene_expression,0.0
THAP2,gene_expression,0.0
ZNF513,gene_expression,0.0
CIITA,gene_expression,0.0
GPAM,gene_expression,3.2373788e-05
RANBP2,gene_expression,0.0013396258
NT5DC3,gene_expression,0.0
ACP1,gene_expression,0.0
RNF41,gene_expression,7.714776e-05
NUP35,gene_expression,0.0005071737
TIMMDC1,gene_expression,0.00025520398
CCDC151,gene_expression,0.0
CTTN,gene_expression,6.518716e-08
EIF2A,gene_expression,0.0
TAZ,gene_expression,6.432949e-09
TDG,gene_expression,0.0005895707
EIF1B,gene_expression,0.0
PPP1R12C,gene_expression,0.0
IL6R,gene_expression,8.270565e-05
ABCF1,gene_expression,0.0
ZNF419,gene_expression,0.0
EXOSC8,gene_expression,7.387414e-06
AASDHPPT,gene_expression,0.0
ANGPT1,gene_expression,6.054634e-09
ZNF823,gene_expression,0.0
THAP8,gene_expression,0.0
RAB18,gene_expression,7.179834e-05
WDR75,gene_expression,1.1503323e-09
ZNF222,gene_expression,0.0
CACUL1,gene_expression,0.0
MTMR12,gene_expression,2.2075108e-07
MPHOSPH8,gene_expression,0.0
ARL13B,gene_expression,1.3539876e-07
ZNF669,gene_expression,0.0
CLEC4G,gene_expression,3.8746958e-08
SERPINF1,gene_expression,0.0
PM20D2,gene_expression,0.0
LRRC42,gene_expression,0.0
TUBB1,gene_expression,8.213153e-05
KLF6,gene_expression,0.0
