,,root
TBX19,gene_expression,-0.0725273
CDCP1,gene_expression,0.07634767
NMD3,gene_expression,-0.01747988
PLCB1,gene_expression,0.050793216
KCNV2,gene_expression,-0.008155134
SMC2,gene_expression,-0.022360202
SLC4A5,gene_expression,-0.061829355
RAP2B,gene_expression,0.087600194
TRMT61B,gene_expression,0.09387068
CYP4F3,gene_expression,-0.11331005
MEF2D,gene_expression,-0.0067462157
H2AFV,gene_expression,-0.033933457
TRABD,gene_expression,0.015493192
RBM43,gene_expression,0.045353364
SAMD4B,gene_expression,0.012655624
FCGRT,gene_expression,0.019244444
SPOP,gene_expression,0.0047475174
FHIT,gene_expression,-0.0072610993
BCL11B,gene_expression,-0.05543939
ZNF84,gene_expression,-0.05502398
DTWD2,gene_expression,-0.06309326
TRAPPC1,gene_expression,0.019003918
IDE,gene_expression,0.08685064
THAP11,gene_expression,0.066549584
DSTN,gene_expression,0.084895454
PRICKLE1,gene_expression,0.07863062
ATRIP,gene_expression,-0.022950795
IL12RB2,gene_expression,0.09679148
CCDC24,gene_expression,0.0696034
UPF2,gene_expression,0.072916836
DALRD3,gene_expression,0.0041993298
SUN2,gene_expression,0.0017283687
TXNL4B,gene_expression,0.006205297
MBIP,gene_expression,-0.065626785
SECISBP2L,gene_expression,0.007360415
ZNF324B,gene_expression,0.01263882
CAMK2B,gene_expression,0.062494077
AZU1,gene_expression,-0.07111085
SKIL,gene_expression,0.013429029
DMAP1,gene_expression,-0.001984814
LRIG2,gene_expression,0.0789522
PPP2R1A,gene_expression,-0.032450557
ZNF281,gene_expression,-0.11483028
RNASEK,gene_expression,0.004625
MOGAT3,gene_expression,-0.075658344
EID2,gene_expression,0.065516986
SOX30,gene_expression,0.0023454488
ESCO1,gene_expression,0.053078473
HARBI1,gene_expression,-0.020131975
KATNBL1,gene_expression,-0.007337783
HGD,gene_expression,-0.034309186
VPS54,gene_expression,0.07257373
CABP7,gene_expression,0.058057472
TTC14,gene_expression,-0.06459013
BLCAP,gene_expression,0.0697754
ABL1,gene_expression,0.027963666
VEZF1,gene_expression,-0.00512131
ITGA6,gene_expression,-0.046881802
BCAT1,gene_expression,-0.0821666
EIF5A,gene_expression,-0.018345688
ERCC2,gene_expression,0.0036836728
DPH6,gene_expression,-0.053653456
ATG13,gene_expression,0.014991576
ABHD14A,gene_expression,0.07386477
DIP2A,gene_expression,0.0887999
RNMT,gene_expression,0.07381751
XBP1,gene_expression,0.100799054
FARSB,gene_expression,-0.11343149
SATB1,gene_expression,0.13342977
SETD6,gene_expression,0.0006091793
CCDC84,gene_expression,0.08222445
TMEM174,gene_expression,0.11061735
NKIRAS1,gene_expression,0.025728295
SPIRE1,gene_expression,-0.0877395
RABL3,gene_expression,0.099761195
APH1B,gene_expression,-0.06789592
GEN1,gene_expression,0.019409051
LGALS3,gene_expression,0.010105973
TUBGCP6,gene_expression,-0.09213509
ZNF350,gene_expression,0.09070304
EXOSC10,gene_expression,0.14630647
UBQLN1,gene_expression,-0.019499516
EMB,gene_expression,0.100525856
MLH1,gene_expression,0.050833233
WDR75,gene_expression,-0.03824749
ZNF415,gene_expression,-0.0026049584
CELA3B,gene_expression,0.010678889
ERMP1,gene_expression,0.0862254
CDK5R1,gene_expression,-0.02661035
GCSH,gene_expression,0.064574
PCYOX1L,gene_expression,0.036505103
BEND5,gene_expression,0.08378868
TSNAX,gene_expression,-0.0029579892
TUFT1,gene_expression,0.06126951
GIMAP5,gene_expression,0.12608078
GEMIN2,gene_expression,0.08215959
DEFB116,gene_expression,0.036935393
JAM3,gene_expression,-0.074106514
CEP57,gene_expression,-0.012577292
UCHL1,gene_expression,0.019303909
VPS53,gene_expression,-0.093827695
ZBTB9,gene_expression,0.053608507
MARCKSL1,gene_expression,-0.05753479
RRP15,gene_expression,0.08529894
PLOD3,gene_expression,0.044185326
FAM210A,gene_expression,0.07166841
FLVCR2,gene_expression,-0.05243128
ACVR2A,gene_expression,-0.07422837
FRMD4B,gene_expression,0.016539719
CAMKMT,gene_expression,0.09432404
MTX2,gene_expression,-0.08114561
PPP1R9B,gene_expression,-0.0011726327
ZNF181,gene_expression,0.07425932
PFN1,gene_expression,0.02559736
RPL15,gene_expression,-0.09409742
PPM1K,gene_expression,-0.003429568
SCP2,gene_expression,-0.00094895187
PABPC4,gene_expression,-0.089606136
ANKMY1,gene_expression,-0.0091401385
COMMD6,gene_expression,-0.06501392
POLR2B,gene_expression,0.0004181287
PSEN2,gene_expression,-0.049889278
SMARCE1,gene_expression,0.09025494
RAF1,gene_expression,0.04292815
RBM12,gene_expression,-0.08521147
PALD1,gene_expression,0.022184474
KDM8,gene_expression,-0.06200688
ARGLU1,gene_expression,0.0020916457
ZNF425,gene_expression,0.014184096
SEPSECS,gene_expression,-0.022262726
