,,coef
TBX19,gene_expression,0.0
CDCP1,gene_expression,0.0
NMD3,gene_expression,0.0
PLCB1,gene_expression,1.5373943e-06
KCNV2,gene_expression,2.013526e-09
SMC2,gene_expression,2.1793758e-05
SLC4A5,gene_expression,5.2685306e-07
RAP2B,gene_expression,8.811885e-06
TRMT61B,gene_expression,2.0617985e-05
CYP4F3,gene_expression,1.6004307e-05
MEF2D,gene_expression,9.3072383e-10
H2AFV,gene_expression,8.148834e-05
TRABD,gene_expression,0.0
RBM43,gene_expression,0.0
SAMD4B,gene_expression,0.0
FCGRT,gene_expression,0.0
SPOP,gene_expression,0.0
FHIT,gene_expression,0.0
BCL11B,gene_expression,0.0
ZNF84,gene_expression,0.0
DTWD2,gene_expression,0.0
TRAPPC1,gene_expression,0.00016875529
IDE,gene_expression,0.00056560716
THAP11,gene_expression,0.0
DSTN,gene_expression,0.0
PRICKLE1,gene_expression,2.757297e-08
ATRIP,gene_expression,8.530775e-06
IL12RB2,gene_expression,3.8349938e-07
CCDC24,gene_expression,0.0
UPF2,gene_expression,1.9366862e-06
DALRD3,gene_expression,0.0
SUN2,gene_expression,1.7057935e-05
TXNL4B,gene_expression,0.0
MBIP,gene_expression,5.3901404e-06
SECISBP2L,gene_expression,0.0
ZNF324B,gene_expression,0.0
CAMK2B,gene_expression,3.2168603e-06
AZU1,gene_expression,4.0661114e-05
SKIL,gene_expression,1.2440915e-07
DMAP1,gene_expression,4.3298876e-08
LRIG2,gene_expression,0.0
PPP2R1A,gene_expression,0.0007450063
ZNF281,gene_expression,0.0
RNASEK,gene_expression,0.0
MOGAT3,gene_expression,1.2036153e-06
EID2,gene_expression,0.0
SOX30,gene_expression,0.0
ESCO1,gene_expression,9.617954e-08
HARBI1,gene_expression,0.0
KATNBL1,gene_expression,0.0
HGD,gene_expression,8.132877e-07
VPS54,gene_expression,1.77384e-05
CABP7,gene_expression,0.0
TTC14,gene_expression,0.0
BLCAP,gene_expression,0.0
ABL1,gene_expression,1.83855e-05
VEZF1,gene_expression,0.0
ITGA6,gene_expression,1.0392019e-05
BCAT1,gene_expression,0.0
EIF5A,gene_expression,6.662395e-08
ERCC2,gene_expression,2.9552345e-06
DPH6,gene_expression,2.4506497e-07
ATG13,gene_expression,1.3165873e-08
ABHD14A,gene_expression,0.0
DIP2A,gene_expression,0.0
RNMT,gene_expression,3.6966212e-05
XBP1,gene_expression,1.8093724e-05
FARSB,gene_expression,1.2435416e-05
SATB1,gene_expression,0.0004322636
SETD6,gene_expression,8.5933834e-08
CCDC84,gene_expression,0.0
TMEM174,gene_expression,0.0
NKIRAS1,gene_expression,0.0
SPIRE1,gene_expression,0.0
RABL3,gene_expression,0.0
APH1B,gene_expression,2.6715757e-05
GEN1,gene_expression,8.23371e-07
LGALS3,gene_expression,8.359683e-05
TUBGCP6,gene_expression,0.00029226765
ZNF350,gene_expression,8.280031e-05
EXOSC10,gene_expression,6.0922895e-07
UBQLN1,gene_expression,8.061498e-09
EMB,gene_expression,6.898198e-11
MLH1,gene_expression,1.35941e-05
WDR75,gene_expression,1.7034552e-06
ZNF415,gene_expression,0.0
CELA3B,gene_expression,0.0
ERMP1,gene_expression,0.0
CDK5R1,gene_expression,1.0417917e-05
GCSH,gene_expression,2.354857e-08
PCYOX1L,gene_expression,7.939214e-08
BEND5,gene_expression,0.0
TSNAX,gene_expression,1.1317356e-09
TUFT1,gene_expression,0.0
GIMAP5,gene_expression,0.0
GEMIN2,gene_expression,2.7837202e-06
DEFB116,gene_expression,2.840822e-08
JAM3,gene_expression,9.428411e-07
CEP57,gene_expression,3.213062e-05
UCHL1,gene_expression,2.668693e-05
VPS53,gene_expression,5.503805e-06
ZBTB9,gene_expression,0.0
MARCKSL1,gene_expression,0.0
RRP15,gene_expression,0.0
PLOD3,gene_expression,0.0
FAM210A,gene_expression,0.0
FLVCR2,gene_expression,0.0
ACVR2A,gene_expression,3.984194e-07
FRMD4B,gene_expression,0.0
CAMKMT,gene_expression,3.100258e-08
MTX2,gene_expression,4.3436674e-05
PPP1R9B,gene_expression,0.0
ZNF181,gene_expression,0.0
PFN1,gene_expression,1.9127795e-06
RPL15,gene_expression,9.979946e-05
PPM1K,gene_expression,0.0
SCP2,gene_expression,3.029337e-11
PABPC4,gene_expression,0.0
ANKMY1,gene_expression,0.0
COMMD6,gene_expression,1.1508133e-05
POLR2B,gene_expression,3.1195196e-07
PSEN2,gene_expression,1.2731593e-05
SMARCE1,gene_expression,3.258211e-08
RAF1,gene_expression,0.000110605564
RBM12,gene_expression,0.0
PALD1,gene_expression,0.0
KDM8,gene_expression,9.482205e-06
ARGLU1,gene_expression,0.0
ZNF425,gene_expression,0.0
SEPSECS,gene_expression,3.7479195e-10
FANCG,gene_expression,2.9373814e-05
MCM7,gene_expression,2.2781185e-05
CREB3,gene_expression,6.4704153e-09
MEGF9,gene_expression,0.0
RRAS2,gene_expression,0.0
GABARAPL1,gene_expression,8.453155e-07
BLOC1S5,gene_expression,0.0
GAMT,gene_expression,6.4909873e-06
IVD,gene_expression,0.0
C1RL,gene_expression,0.0
MED7,gene_expression,3.9965408e-07
CDK20,gene_expression,0.0
SH3YL1,gene_expression,0.0
DTWD1,gene_expression,0.0
SFT2D2,gene_expression,0.0
RPLP0,gene_expression,3.0303325e-05
PLSCR4,gene_expression,0.0
SLC20A1,gene_expression,0.0
CSTB,gene_expression,9.061643e-05
ZNF518A,gene_expression,0.0
RNF167,gene_expression,0.0
SMAD4,gene_expression,0.0073465654
NR2C2,gene_expression,5.5007167e-08
WLS,gene_expression,2.4572522e-08
TMEM14C,gene_expression,0.0
CDKL1,gene_expression,0.0
ARF4,gene_expression,6.379992e-05
DCTN4,gene_expression,7.102372e-07
CCNY,gene_expression,0.0
SYDE2,gene_expression,1.2813922e-09
ARHGAP25,gene_expression,7.5399624e-11
COBL,gene_expression,0.0
CEP170,gene_expression,0.0
PTPRU,gene_expression,0.0
DCPS,gene_expression,0.0014244897
TOMM34,gene_expression,0.0
PTK6,gene_expression,3.34272e-07
PPP2R2D,gene_expression,5.960921e-10
MTRF1L,gene_expression,2.026129e-11
PEX14,gene_expression,6.5469607e-07
TRAPPC12,gene_expression,1.44155035e-08
RTKN2,gene_expression,0.0
PRR4,gene_expression,0.0
RGPD5,gene_expression,0.0
HRAS,gene_expression,4.787387e-05
DDIT4L,gene_expression,0.0
NOP9,gene_expression,0.0
LPCAT3,gene_expression,6.082278e-08
MAP1LC3B,gene_expression,7.258442e-05
SEPHS2,gene_expression,6.6625755e-10
ANKRD16,gene_expression,0.0
ZBTB18,gene_expression,0.0
LRRC28,gene_expression,0.0
ZNF182,gene_expression,0.0
TIAM2,gene_expression,2.7914643e-06
ITGB1BP1,gene_expression,0.0
