,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
Signaling by WNT,0.0013807683,5.0,0.0013807683,0.3328761,-0.022657024
Intracellular oxygen transport,2.5878894e-08,2.0,2.5878894e-08,-0.4825524,0.23837088
Signal regulatory protein family interactions,0.008950879,2.0,0.008950879,4.8035755,4.538772
Reversible hydration of carbon dioxide,2.0478907e-05,2.0,2.0478907e-05,-0.4704734,0.24819747
Cell junction organization,0.0011849306,4.0,0.0011849306,0.21721973,0.19138688
Peptide hormone metabolism,0.00047668882,6.0,0.00047668882,-0.20104839,-0.7651517
Synthesis of DNA,0.0125236185,4.0,0.0125236185,6.9135375,5.6390142
Signaling by Hippo,0.0009790385,2.0,0.0009790385,0.09562556,0.70873356
Activation of HOX genes during differentiation,3.3311993e-05,2.0,3.3311993e-05,-0.46289453,0.25436306
Platelet homeostasis,0.0001546261,5.0,0.0001546261,-0.39124978,-0.61175215
Mitochondrial biogenesis,3.8765003e-05,4.0,3.8765003e-05,-0.45967415,-0.35928378
"Cell Cycle, Mitotic",0.002961329,6.0,0.002961329,1.2663118,0.42858365
Striated Muscle Contraction,3.2981134e-05,2.0,3.2981134e-05,-0.46308994,0.2542041
Smooth Muscle Contraction,1.2819517e-05,2.0,1.2819517e-05,-0.47499683,0.24451753
Pyrophosphate hydrolysis,2.1847349e-05,2.0,2.1847349e-05,-0.46966523,0.24885494
Cell surface interactions at the vascular wall,9.8529745e-05,4.0,9.8529745e-05,-0.42437875,-0.33057004
mTOR signalling,6.270165e-05,4.0,6.270165e-05,-0.44553784,-0.3477835
Signaling by Rho GTPases,0.0005867783,3.0,0.0005867783,-0.13603258,0.21214035
SLC-mediated transmembrane transport,0.0002063611,5.0,0.0002063611,-0.3606965,-0.5868962
Response to metal ions,9.1391685e-06,3.0,9.1391685e-06,-0.47717035,-0.06538404
Protein folding,0.0005539531,3.0,0.0005539531,-0.15541822,0.19636963
The citric acid (TCA) cycle and respiratory electron transport,0.001484989,3.0,0.001484989,0.39442596,0.64368206
Metabolism of amino acids and derivatives,0.0028218403,12.0,0.0028218403,1.1839336,-1.487233
Metabolism of carbohydrates,0.0024889163,10.0,0.0024889163,0.98731786,-1.0309185
Collagen formation,2.3561564e-05,3.0,2.3561564e-05,-0.46865287,-0.05845485
Signaling by Nuclear Receptors,5.3147673e-05,3.0,5.3147673e-05,-0.45118016,-0.044240344
RNA Polymerase I Transcription,0.00013405111,4.0,0.00013405111,-0.4034008,-0.31350395
Degradation of the extracellular matrix,6.725359e-06,3.0,6.725359e-06,-0.47859588,-0.06654374
Neurodegenerative Diseases,0.00016489017,2.0,0.00016489017,-0.38518807,0.31757927
Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA,0.00025808671,2.0,0.00025808671,-0.3301488,0.36235517
Fanconi Anemia Pathway,2.3532586e-05,2.0,2.3532586e-05,-0.46866998,0.24966459
Membrane Trafficking,0.0005665978,9.0,0.0005665978,-0.1479506,-1.6463553
Aquaporin-mediated transport,1.986292e-05,4.0,1.986292e-05,-0.4708372,-0.3683652
Macroautophagy,0.00014024401,2.0,0.00014024401,-0.39974344,0.30573812
Myogenesis,1.711488e-05,2.0,1.711488e-05,-0.47246012,0.24658121
Iron uptake and transport,0.00041443593,2.0,0.00041443593,-0.23781323,0.4374725
Ion channel transport,0.002609482,3.0,0.002609482,1.0585207,1.1839403
Mismatch Repair,2.1805203e-05,3.0,2.1805203e-05,-0.46969014,-0.059298694
Invadopodia formation,5.712829e-06,2.0,5.712829e-06,-0.47919384,0.24110317
Peroxisomal protein import,5.5637717e-08,2.0,5.5637717e-08,-0.48253483,0.23838519
Chromosome Maintenance,0.00029199614,3.0,0.00029199614,-0.3101228,0.070513465
Innate Immune System,0.0030735852,14.0,0.0030735852,1.3326073,-1.98255
Cardiac conduction,0.00011118595,8.0,0.00011118595,-0.41690433,-1.5570227
Metabolism of non-coding RNA,9.8928904e-05,2.0,9.8928904e-05,-0.424143,0.28588846
ECM proteoglycans,0.0001857638,2.0,0.0001857638,-0.3728607,0.32760793
Deadenylation-dependent mRNA decay,0.00011825564,4.0,0.00011825564,-0.41272917,-0.3210928
Potassium Channels,3.949722e-05,6.0,3.949722e-05,-0.45924172,-0.97519857
LGI-ADAM interactions,1.3197026e-08,2.0,1.3197026e-08,-0.4825599,0.2383648
Integrin signaling,7.3901156e-06,2.0,7.3901156e-06,-0.4782033,0.241909
Transmission across Electrical Synapses ,1.1979985e-06,2.0,1.1979985e-06,-0.48186022,0.238934
Formation of Fibrin Clot (Clotting Cascade),2.6022792e-06,4.0,2.6022792e-06,-0.48103085,-0.376658
Metabolism of porphyrins,2.658649e-06,3.0,2.658649e-06,-0.4809976,-0.0684976
Nucleotide Excision Repair,0.002311177,3.0,0.002311177,0.88234997,1.0406209
Epigenetic regulation of gene expression,0.00039006362,6.0,0.00039006362,-0.25220683,-0.80677044
Metabolism of vitamins and cofactors,0.0003055828,4.0,0.0003055828,-0.3020989,-0.23109223
Diseases of Immune System,2.184236e-06,2.0,2.184236e-06,-0.48127773,0.23940787
Transcription from mitochondrial promoters,0.0,3.0,0.0,-0.4825677,-0.06977492
Metabolism of lipids,4.3150863e-05,12.0,4.3150863e-05,-0.457084,-2.8222435
Processing of Capped Intron-Containing Pre-mRNA,0.00019999588,4.0,0.00019999588,-0.36445564,-0.28182104
Intestinal absorption,0.0,3.0,0.0,-0.4825677,-0.06977492
Meiosis,0.00026826304,4.0,0.00026826304,-0.3241389,-0.24902235
Cell Cycle Checkpoints,0.00058462075,4.0,0.00058462075,-0.13730675,-0.09702957
Transmission across Chemical Synapses,0.0010962428,6.0,0.0010962428,0.16484317,-0.4674895
Signaling by Receptor Tyrosine Kinases,0.0006616987,13.0,0.0006616987,-0.09178664,-2.8331978
Mitochondrial calcium ion transport,2.9876725e-05,2.0,2.9876725e-05,-0.46492332,0.2527126
Digestion,1.772837e-07,3.0,1.772837e-07,-0.482463,-0.06968974
Intracellular signaling by second messengers,1.6538999e-06,3.0,1.6538999e-06,-0.48159096,-0.068980314
Receptor Mediated Mitophagy,0.004246178,2.0,0.004246178,2.0251083,2.2784173
Diseases of signal transduction,0.002488004,10.0,0.002488004,0.9867791,-1.0313567
Metabolism of nitric oxide,0.0005256494,2.0,0.0005256494,-0.17213361,0.49090454
Mitochondrial iron-sulfur cluster biogenesis,2.483298e-06,2.0,2.483298e-06,-0.48110113,0.23955154
Dissolution of Fibrin Clot,4.5818166e-07,2.0,4.5818166e-07,-0.4822971,0.23857859
DNA Damage Reversal,2.4746814e-05,3.0,2.4746814e-05,-0.4679529,-0.05788541
Cytokine Signaling in Immune system,0.0005493072,6.0,0.0005493072,-0.15816195,-0.73026246
mRNA Capping,0.00075317087,2.0,0.00075317087,-0.03776568,0.6002163
Diseases of metabolism,8.1702165e-05,7.0,8.1702165e-05,-0.43431666,-1.2630548
Transcriptional regulation of white adipocyte differentiation,8.266002e-05,2.0,8.266002e-05,-0.433751,0.2780721
Mitochondrial protein import,5.397902e-07,2.0,5.397902e-07,-0.4822489,0.2386178
Laminin interactions,0.000114431874,2.0,0.000114431874,-0.41498736,0.2933368
Regulation of mRNA stability by proteins that bind AU-rich elements,0.005691592,6.0,0.005691592,2.87873,1.7403276
Non-integrin membrane-ECM interactions,1.7554967e-06,2.0,1.7554967e-06,-0.48153096,0.23920186
Inositol phosphate metabolism,0.00047490146,13.0,0.00047490146,-0.20210394,-2.9229436
DNA Double-Strand Break Repair,0.00045022235,4.0,0.00045022235,-0.21667875,-0.16160074
Processing of Capped Intronless Pre-mRNA,0.00016715501,4.0,0.00016715501,-0.38385054,-0.29759932
Diseases of glycosylation,0.0013947035,5.0,0.0013947035,0.34110588,-0.015961874
Integration of energy metabolism,5.013e-05,8.0,5.013e-05,-0.45296228,-1.5863568
MAPK family signaling cascades,5.403219e-07,3.0,5.403219e-07,-0.48224857,-0.0695153
Transcriptional regulation of pluripotent stem cells,3.6060897e-05,3.0,3.6060897e-05,-0.4612711,-0.05244959
Signaling by GPCR,4.095777e-05,3.0,4.095777e-05,-0.45837918,-0.050096933
NR1D1 (REV-ERBA) represses gene expression,1.4557189e-06,2.0,1.4557189e-06,-0.481708,0.23905784
Post-translational protein modification,0.00015758054,13.0,0.00015758054,-0.38950497,-3.0753994
mRNA Editing,4.725281e-06,3.0,4.725281e-06,-0.47977707,-0.06750467
Cellular responses to stress,0.0031683599,6.0,0.0031683599,1.3885785,0.52805084
rRNA processing,1.3425995e-06,3.0,1.3425995e-06,-0.48177478,-0.069129854
Axon guidance,0.0023593218,9.0,0.0023593218,0.91078293,-0.78504825
Protein-protein interactions at synapses,8.4032334e-05,4.0,8.4032334e-05,-0.43294054,-0.3375353
M/G1 Transition,0.00012413345,2.0,0.00012413345,-0.40925792,0.29799783
Translation,0.0034374252,7.0,0.0034374252,1.5474812,0.34918886
Integrin cell surface interactions,2.285236e-05,2.0,2.285236e-05,-0.46907172,0.24933778
Regulation of beta-cell development,0.00021835715,5.0,0.00021835715,-0.35361198,-0.58113277
Factors involved in megakaryocyte development and platelet production,3.143056e-05,2.0,3.143056e-05,-0.46400568,0.25345913
Cilium Assembly,0.0032639112,4.0,0.0032639112,1.4450086,1.1902249
Signaling by TGF-beta family members,1.5303434e-05,4.0,1.5303434e-05,-0.4735299,-0.3705558
Signaling by Leptin,0.0001935241,2.0,0.0001935241,-0.36827767,0.33133632
Abacavir transport and metabolism,2.3487088e-05,3.0,2.3487088e-05,-0.46869686,-0.058490634
DNA Damage Bypass,0.0008017157,3.0,0.0008017157,-0.009096433,0.31540617
Platelet Adhesion to exposed collagen,1.0489803e-05,2.0,1.0489803e-05,-0.47637272,0.24339822
Regulated Necrosis,1.5980724e-07,2.0,1.5980724e-07,-0.48247334,0.23843521
Elastic fibre formation,0.00076980074,2.0,0.00076980074,-0.027944537,0.6082061
ABC-family proteins mediated transport,7.393486e-05,3.0,7.393486e-05,-0.4389038,-0.034253217
Nonsense-Mediated Decay (NMD),0.0027582496,3.0,0.0027582496,1.1463788,1.2554151
Gene Silencing by RNA,0.000421541,6.0,0.000421541,-0.23361717,-0.79164726
Signaling by NOTCH,9.602453e-05,6.0,9.602453e-05,-0.42585826,-0.94804025
Signaling by NODAL,1.3452608e-05,2.0,1.3452608e-05,-0.47462296,0.24482168
Apoptosis,0.0013618777,5.0,0.0013618777,0.32171983,-0.031732928
"BMAL1:CLOCK,NPAS2 activates circadian gene expression",4.8627658e-06,2.0,4.8627658e-06,-0.4796959,0.24069473
Cytosolic iron-sulfur cluster assembly,0.00052441424,2.0,0.00052441424,-0.17286307,0.49031115
RNA Polymerase III Transcription,0.00029779618,5.0,0.00029779618,-0.30669743,-0.5429666
Miscellaneous transport and binding events,1.71892e-05,2.0,1.71892e-05,-0.47241625,0.2466169
RORA activates gene expression,2.7715558e-05,2.0,2.7715558e-05,-0.46619964,0.2516743
Pink/Parkin Mediated Mitophagy,0.0005982471,2.0,0.0005982471,-0.1292594,0.52578384
Signaling by Non-Receptor Tyrosine Kinases,0.0003177225,2.0,0.0003177225,-0.29492953,0.39100695
Biological oxidations,2.0360383e-05,4.0,2.0360383e-05,-0.4705434,-0.36812618
Signaling by Hedgehog,0.0051773237,4.0,0.0051773237,2.5750175,2.1095161
Amyloid fiber formation,0.0001324232,2.0,0.0001324232,-0.4043622,0.30198064
Binding and Uptake of Ligands by Scavenger Receptors,0.0010665385,6.0,0.0010665385,0.14730063,-0.48176077
Diseases of Mismatch Repair (MMR),0.0008000147,6.0,0.0008000147,-0.010100998,-0.60981107
Protein repair,0.00070319755,2.0,0.00070319755,-0.06727855,0.57620686
Death Receptor Signalling,0.0056949886,5.0,0.0056949886,2.8807359,2.0500927
Infectious disease,8.6768785e-05,6.0,8.6768785e-05,-0.43132445,-0.9524872
Base Excision Repair,0.00082699466,3.0,0.00082699466,0.0058326186,0.32755136
"Platelet activation, signaling and aggregation",0.0021754038,8.0,0.0021754038,0.802166,-0.5652776
Fertilization,2.4845413e-05,6.0,2.4845413e-05,-0.46789467,-0.98223805
tRNA processing,0.0004615907,5.0,0.0004615907,-0.20996492,-0.4642722
Chromatin modifying enzymes,0.00022456156,6.0,0.00022456156,-0.3499478,-0.88628525
Fibronectin matrix formation,1.1388411e-06,2.0,1.1388411e-06,-0.48189515,0.23890558
