,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
5-Phosphoribose 1-diphosphate biosynthesis,0.00017460772,2.0,0.00017460772,-0.019355027,0.15167716
ABC transporters in lipid homeostasis,6.8421374e-05,2.0,6.8421374e-05,-0.17770442,0.039125536
ADP signalling through P2Y purinoceptor 1,3.693418e-05,2.0,3.693418e-05,-0.22465941,0.0057508787
ADP signalling through P2Y purinoceptor 12,0.00013848863,2.0,0.00013848863,-0.07321728,0.11339293
AKT phosphorylates targets in the cytosol,1.0419447e-08,2.0,1.0419447e-08,-0.27972162,-0.033386257
AKT phosphorylates targets in the nucleus,4.566441e-09,2.0,4.566441e-09,-0.27973035,-0.033392455
AKT-mediated inactivation of FOXO1A,0.00021841085,2.0,0.00021841085,0.045965977,0.19810604
ALKBH2 mediated reversal of alkylation damage,1.6825657e-06,2.0,1.6825657e-06,-0.27722806,-0.031613875
ALKBH3 mediated reversal of alkylation damage,2.6430649e-05,2.0,2.6430649e-05,-0.24032271,-0.005382298
AMER1 mutants destabilize the destruction complex,4.797567e-06,3.0,4.797567e-06,-0.27258283,-0.57844025
AMPK inhibits chREBP transcriptional activation activity,0.002042332,2.0,0.002042332,2.7658713,2.131361
APC/C-mediated degradation of cell cycle proteins,0.0012058801,5.0,0.0012058801,1.5185202,-0.4056158
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,0.0011804514,2.0,0.0011804514,1.4805999,1.2178154
ARL13B-mediated ciliary trafficking of INPP5E,2.7141565e-05,2.0,2.7141565e-05,-0.23926255,-0.0046287617
ATF4 activates genes,8.856114e-05,2.0,8.856114e-05,-0.1476712,0.060472563
ATF6 (ATF6-alpha) activates chaperone genes,3.0579118e-05,2.0,3.0579118e-05,-0.23413633,-0.0009851431
ATP sensitive Potassium channels,0.0,2.0,0.0,-0.27973714,-0.03339731
AUF1 (hnRNP D0) binds and destabilizes mRNA,0.005338722,2.0,0.005338722,7.681582,5.625351
"AXIN mutants destabilize the destruction complex, activating WNT signaling",1.6440945e-05,3.0,1.6440945e-05,-0.25521976,-0.56609887
