,,coef
TMEM86B,gene_expression,1.2622073e-05
DLAT,gene_expression,8.1905245e-07
MLLT11,gene_expression,0.0
EXOC2,gene_expression,3.4239179e-06
PHB,gene_expression,1.8242367e-06
CBS,gene_expression,7.0309824e-07
ATP9B,gene_expression,1.2655883e-05
ERI2,gene_expression,0.0
STAU1,gene_expression,0.0
SGSM3,gene_expression,0.0
ANKS1B,gene_expression,0.0
RBBP4,gene_expression,0.0011169274
NBEA,gene_expression,0.0
FLNA,gene_expression,4.3045577e-07
HEY1,gene_expression,5.313529e-06
RAB3C,gene_expression,0.0002739889
PEX19,gene_expression,3.7120121e-06
PDHB,gene_expression,5.4811386e-07
CLPP,gene_expression,0.0
NSD1,gene_expression,2.1827846e-06
ABCB7,gene_expression,3.8897684e-05
NEU1,gene_expression,2.1297083e-07
STAB1,gene_expression,5.281503e-06
MDFIC,gene_expression,0.0
ZNF649,gene_expression,0.0
BAK1,gene_expression,9.9898315e-08
MAVS,gene_expression,3.9354836e-05
MDH1,gene_expression,4.6450074e-05
TMEM42,gene_expression,0.0
URB2,gene_expression,0.0
FARP1,gene_expression,0.0
LRP3,gene_expression,0.0
KLF6,gene_expression,0.0
AKT1S1,gene_expression,1.37189e-08
ARID5B,gene_expression,7.088378e-08
FCRL2,gene_expression,0.0
PPP2R2D,gene_expression,9.367318e-09
OAT,gene_expression,0.0
TRIM26,gene_expression,0.0
TRAF4,gene_expression,0.0
SLC39A9,gene_expression,0.0
PPM1L,gene_expression,1.6403504e-06
LRFN4,gene_expression,2.0128026e-07
CNIH1,gene_expression,3.2904302e-06
VAMP4,gene_expression,3.2398593e-06
APH1B,gene_expression,9.8028625e-09
HIC1,gene_expression,1.2439909e-10
ACAD10,gene_expression,0.0
OBSCN,gene_expression,5.6236455e-09
XKR6,gene_expression,0.0
MAP4K2,gene_expression,0.0
NOMO2,gene_expression,0.0
ZSCAN16,gene_expression,0.0
SGTB,gene_expression,0.0
CHCHD4,gene_expression,1.4605541e-05
BLOC1S6,gene_expression,5.4645433e-08
FOXP1,gene_expression,0.0
LEPROTL1,gene_expression,0.0
WDR89,gene_expression,0.0
MRPL2,gene_expression,2.6720036e-07
STXBP1,gene_expression,2.7146942e-05
MXD4,gene_expression,0.0
CDCP1,gene_expression,0.0
NLE1,gene_expression,0.0
PMS2,gene_expression,6.2926156e-06
KIF5A,gene_expression,1.2508503e-06
OGFRL1,gene_expression,0.0
STX17,gene_expression,2.370492e-06
IFT27,gene_expression,1.6696833e-06
TMEM97,gene_expression,0.0
LLGL1,gene_expression,0.0
STT3B,gene_expression,0.0
WDR19,gene_expression,4.5793453e-07
TMCO1,gene_expression,0.0
KCTD20,gene_expression,0.0
DNAJC18,gene_expression,0.0
TMEFF1,gene_expression,0.0
VEGFC,gene_expression,2.7994192e-06
HSPD1,gene_expression,3.791482e-05
CHM,gene_expression,2.3047918e-05
OSTC,gene_expression,0.0
PES1,gene_expression,2.5704983e-05
PLS3,gene_expression,0.0
GPRC5B,gene_expression,0.0
RNASEK,gene_expression,0.0
TTC33,gene_expression,0.0
COPS4,gene_expression,1.4037731e-05
LDLRAP1,gene_expression,1.9943748e-06
HADHA,gene_expression,2.1868493e-05
PKNOX1,gene_expression,7.5742564e-06
DYRK1A,gene_expression,0.0
IPP,gene_expression,0.0
PUS3,gene_expression,0.0
SWAP70,gene_expression,0.0
SLC25A51,gene_expression,0.0
PCBD2,gene_expression,0.0
YPEL2,gene_expression,0.0
RNPS1,gene_expression,7.045067e-05
DEF8,gene_expression,0.0
MOB1B,gene_expression,1.0830021e-11
COMMD6,gene_expression,6.714713e-06
MED14,gene_expression,6.1997894e-06
UQCRH,gene_expression,0.0
SNN,gene_expression,0.0
CPT1A,gene_expression,1.426254e-09
CRTC1,gene_expression,0.0
PILRB,gene_expression,3.846849e-06
DHPS,gene_expression,6.884363e-09
ZNF232,gene_expression,0.0
ZNF181,gene_expression,0.0
PRKACA,gene_expression,3.8045408e-05
SPIB,gene_expression,0.0
LAMA5,gene_expression,2.0650075e-06
PPP2R2A,gene_expression,5.7722053e-07
CDKN2AIP,gene_expression,0.0
NME6,gene_expression,0.0
SMIM7,gene_expression,0.0
NACC2,gene_expression,0.0
ELP3,gene_expression,4.935549e-05
SPAG7,gene_expression,0.0
ZNF35,gene_expression,0.0
MORC3,gene_expression,0.0
ALKBH1,gene_expression,0.0
LY6G5C,gene_expression,0.0
RAE1,gene_expression,8.237834e-05
PRMT7,gene_expression,8.995299e-07
VPS25,gene_expression,9.48479e-06
ELL3,gene_expression,2.0750151e-06
FSTL3,gene_expression,1.1834164e-05
CELSR2,gene_expression,0.0
