,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
Asparagine N-linked glycosylation,0.005057155,4.0,0.005057155,-0.2563709,-0.28814805
RNA Polymerase I Chain Elongation,3.179277e-05,2.0,3.179277e-05,-0.30371615,0.017597014
tRNA processing in the mitochondrion,1.1823356e-07,2.0,1.1823356e-07,-0.30401453,0.017381672
Endosomal Sorting Complex Required For Transport (ESCRT),0.0005296575,2.0,0.0005296575,-0.29902562,0.020981977
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,0.0060759704,2.0,0.0060759704,-0.2467724,0.058690988
Signaling by Interleukins,0.0008415441,12.0,0.0008415441,-0.29608727,-1.6764585
Signaling by NOTCH1,0.025663763,3.0,0.025663763,-0.06223082,0.021911046
Signaling by the B Cell Receptor (BCR),0.0014662931,4.0,0.0014662931,-0.29020134,-0.31256208
Signaling by FGFR in disease,0.0147907315,5.0,0.0147907315,-0.16466841,-0.39192617
Sphingolipid metabolism,0.08434151,3.0,0.08434151,0.49058717,0.42085725
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),0.0014661709,2.0,0.0014661709,-0.2902025,0.027349262
RNA Polymerase II Transcription Elongation,0.52604455,3.0,0.52604455,4.651984,3.4239678
Erythrocytes take up carbon dioxide and release oxygen,0.0007802478,2.0,0.0007802478,-0.29666477,0.022685707
Insulin processing,0.10788508,2.0,0.10788508,0.7123971,0.7508846
Platelet Aggregation (Plug Formation),0.0005505945,2.0,0.0005505945,-0.2988284,0.021124305
Latent infection of Homo sapiens with Mycobacterium tuberculosis,0.0,2.0,0.0,-0.30401567,0.017380854
Rap1 signalling,0.015033201,2.0,0.015033201,-0.16238406,0.11959062
HIV Infection,0.00066024374,3.0,0.00066024374,-0.29779533,-0.14808626
Scavenging by Class H Receptors,0.056516476,2.0,0.056516476,0.22844045,0.40163273
MHC class II antigen presentation,0.011807641,2.0,0.011807641,-0.19277288,0.097660236
Post-translational modification: synthesis of GPI-anchored proteins,0.00037486124,4.0,0.00037486124,-0.300484,-0.31998265
Activation of Matrix Metalloproteinases,0.0009033228,2.0,0.0009033228,-0.29550523,0.023522494
Stimuli-sensing channels,0.023277484,2.0,0.023277484,-0.084712565,0.17564297
Mitochondrial transcription termination,0.005666846,2.0,0.005666846,-0.25062686,0.055909384
Intracellular oxygen transport,1.7444004e-09,2.0,1.7444004e-09,-0.30401567,0.017380854
Metabolism of steroids,0.38657948,6.0,0.38657948,3.3380482,1.9658855
Antimicrobial peptides,0.0016041757,4.0,0.0016041757,-0.2889023,-0.31162465
Interaction With The Zona Pellucida,0.00037164337,2.0,0.00037164337,-0.30051434,0.01990763
Synthesis of IPs in the nucleus,0.0035898355,2.0,0.0035898355,-0.27019492,0.041787922
Cytosolic iron-sulfur cluster assembly,0.005998332,2.0,0.005998332,-0.24750386,0.058163125
NR1D1 (REV-ERBA) represses gene expression,9.6670234e-08,2.0,9.6670234e-08,-0.30401474,0.017381521
"Transport of vitamins, nucleosides, and related molecules",0.002272555,5.0,0.002272555,-0.28260535,-0.47703645
Plasmalogen biosynthesis,0.03973166,2.0,0.03973166,0.070306405,0.28751385
