,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
Signaling by GPCR,0.35826883,3.0,0.35826883,2.543792,2.7786217
SLC-mediated transmembrane transport,0.0034516326,5.0,0.0034516326,-0.44087815,-0.7574519
Nonsense-Mediated Decay (NMD),0.016104057,3.0,0.016104057,-0.33444783,0.05891694
Diseases of glycosylation,0.051755007,5.0,0.051755007,-0.034557275,-0.37351134
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.0029399805,2.0,0.0029399805,-0.4451821,0.31218234
Regulated Necrosis,0.0005089938,2.0,0.0005089938,-0.46563122,0.29285958
Intracellular signaling by second messengers,0.31153786,3.0,0.31153786,2.150698,2.4071794
Nucleotide Excision Repair,0.114169836,3.0,0.114169836,0.4904671,0.838395
Epigenetic regulation of gene expression,0.036457058,6.0,0.036457058,-0.16324137,-0.8530078
Signaling by Non-Receptor Tyrosine Kinases,0.006225311,2.0,0.006225311,-0.4175464,0.33829585
Receptor Mediated Mitophagy,0.009269021,2.0,0.009269021,-0.39194316,0.36248884
Protein-protein interactions at synapses,0.0020643068,4.0,0.0020643068,-0.45254815,-0.4105787
Signaling by TGF-beta family members,0.041896157,4.0,0.041896157,-0.11748847,-0.09397431
Mitochondrial iron-sulfur cluster biogenesis,0.008655477,2.0,0.008655477,-0.3971042,0.35761207
Mitochondrial calcium ion transport,0.06988765,2.0,0.06988765,0.117971875,0.84431744
"Cell Cycle, Mitotic",0.060373623,6.0,0.060373623,0.03794125,-0.6629064
Cytosolic iron-sulfur cluster assembly,0.005998336,2.0,0.005998336,-0.41945568,0.33649173
ABC-family proteins mediated transport,0.001181851,3.0,0.001181851,-0.45997122,-0.059692547
Cell surface interactions at the vascular wall,0.07482926,4.0,0.07482926,0.15953994,0.16779523
Metabolism of nitric oxide,0.0038504452,2.0,0.0038504452,-0.43752342,0.31941918
Protein repair,0.03501111,2.0,0.03501111,-0.17540449,0.5671004
Platelet homeostasis,0.07667181,5.0,0.07667181,0.1750392,-0.17545956
DNA Damage Reversal,0.004509406,3.0,0.004509406,-0.43198034,-0.03324342
Disorders of transmembrane transporters,0.068357535,3.0,0.068357535,0.10510074,0.4742549
Cellular responses to stress,0.02420181,6.0,0.02420181,-0.26633072,-0.9504189
Mismatch Repair,0.0001737142,3.0,0.0001737142,-0.46845153,-0.06770576
tRNA processing,0.00014485518,5.0,0.00014485518,-0.4686943,-0.7837359
Apoptosis,0.03178081,5.0,0.03178081,-0.2025773,-0.5322767
Miscellaneous transport and binding events,0.00029832998,2.0,0.00029832998,-0.4674033,0.2911851
Laminin interactions,0.0050498666,2.0,0.0050498666,-0.42743406,0.32895282
mRNA Editing,0.002039141,3.0,0.002039141,-0.45275983,-0.052878365
NR1D1 (REV-ERBA) represses gene expression,9.6651966e-08,2.0,9.6651966e-08,-0.469912,0.28881457
MAPK family signaling cascades,0.17995346,3.0,0.17995346,1.0438292,1.3612776
Gene Silencing by RNA,0.011787576,6.0,0.011787576,-0.37075746,-1.0490938
Signaling by Leptin,0.048024535,2.0,0.048024535,-0.06593746,0.67053795
Metabolism of carbohydrates,0.053734377,10.0,0.053734377,-0.01790711,-2.14728
Pink/Parkin Mediated Mitophagy,0.002481598,2.0,0.002481598,-0.44903794,0.30853888
Peroxisomal protein import,0.01807262,2.0,0.01807262,-0.31788856,0.43246448
Metabolism of amino acids and derivatives,0.28120607,12.0,0.28120607,1.8955513,-1.0550168
Myogenesis,0.019731613,2.0,0.019731613,-0.30393338,0.445651
mTOR signalling,0.001732868,4.0,0.001732868,-0.45533618,-0.41321316
Macroautophagy,0.0031435874,2.0,0.0031435874,-0.4434694,0.3138007
Response to metal ions,0.0042359894,3.0,0.0042359894,-0.43428028,-0.035416674
Aquaporin-mediated transport,0.035811402,4.0,0.035811402,-0.16867255,-0.14233913
Pyrophosphate hydrolysis,0.00061211834,2.0,0.00061211834,-0.46476376,0.29367924
Diseases of metabolism,0.048582617,7.0,0.048582617,-0.061242957,-1.114528
Activation of HOX genes during differentiation,0.013968851,2.0,0.013968851,-0.35240886,0.39984557
Post-translational protein modification,0.0057759103,13.0,0.0057759103,-0.4213267,-3.60218
DNA Double-Strand Break Repair,0.040564287,4.0,0.040564287,-0.12869197,-0.1045607
Biological oxidations,0.009998995,4.0,0.009998995,-0.38580272,-0.34750965
Axon guidance,0.00606333,9.0,0.00606333,-0.41890895,-2.1682942
Diseases of Immune System,6.3761036e-08,2.0,6.3761036e-08,-0.46991226,0.28881434
RORA activates gene expression,5.4231263e-05,2.0,5.4231263e-05,-0.46945658,0.28924492
LGI-ADAM interactions,0.0001074895,2.0,0.0001074895,-0.4690086,0.28966823
Dissolution of Fibrin Clot,0.0011892959,2.0,0.0011892959,-0.4599086,0.29826698
Transcriptional regulation of pluripotent stem cells,0.0076952637,3.0,0.0076952637,-0.40518135,-0.007920533
Transmission across Chemical Synapses,0.0020221793,6.0,0.0020221793,-0.4529025,-1.1267142
"Plasma lipoprotein assembly, remodeling, and clearance",0.0025639064,4.0,0.0025639064,-0.4483456,-0.40660763
Integrin signaling,0.0016129803,2.0,0.0016129803,-0.45634463,0.30163464
Infectious disease,0.16817327,6.0,0.16817327,0.94473606,0.19394161
Signaling by NOTCH,0.043262273,6.0,0.043262273,-0.10599691,-0.7989164
Non-integrin membrane-ECM interactions,0.0002058298,2.0,0.0002058298,-0.46818137,0.2904499
Metabolism of porphyrins,0.005180823,3.0,0.005180823,-0.42633247,-0.027906641
DNA Damage Bypass,0.061709028,3.0,0.061709028,0.04917448,0.4214091
Degradation of the extracellular matrix,0.007981381,3.0,0.007981381,-0.40277457,-0.005646324
"BMAL1:CLOCK,NPAS2 activates circadian gene expression",0.00083475595,2.0,0.00083475595,-0.46289095,0.2954489
"Platelet activation, signaling and aggregation",0.21451846,8.0,0.21451846,1.334585,-0.15348327
Adaptive Immune System,0.037081078,9.0,0.037081078,-0.15799221,-1.9217488
Binding and Uptake of Ligands by Scavenger Receptors,0.033319768,6.0,0.033319768,-0.1896318,-0.87794465
Intestinal absorption,8.991705e-06,3.0,8.991705e-06,-0.46983716,-0.06901506
Integrin cell surface interactions,0.1664771,2.0,0.1664771,0.9304681,1.6120609
Signaling by Hedgehog,0.018518018,4.0,0.018518018,-0.31414196,-0.279796
Diseases of signal transduction,0.098794945,10.0,0.098794945,0.36113578,-1.7891151
Fertilization,0.0007409491,6.0,0.0007409491,-0.46368003,-1.136898
Iron uptake and transport,0.01677912,2.0,0.01677912,-0.32876933,0.42218304
Metabolism of nucleotides,0.021595618,5.0,0.021595618,-0.2882536,-0.6132339
Cell junction organization,0.013090239,4.0,0.013090239,-0.35979962,-0.32293883
Mitochondrial protein import,0.0006827045,2.0,0.0006827045,-0.46416998,0.29424033
Signaling by Rho GTPases,0.031227145,3.0,0.031227145,-0.20723464,0.17912316
rRNA processing,0.009775133,3.0,0.009775133,-0.38768584,0.008611316
Metabolism of lipids,0.6094645,12.0,0.6094645,4.6568136,1.5541536
Metabolism of vitamins and cofactors,0.19955318,4.0,0.19955318,1.2086992,1.1591661
Cell Cycle Checkpoints,0.043874018,4.0,0.043874018,-0.100851,-0.07825323
Mitochondrial biogenesis,0.00405679,4.0,0.00405679,-0.43578768,-0.39474142
Smooth Muscle Contraction,0.041600306,2.0,0.041600306,-0.11997714,0.6194748
Collagen formation,0.0053092414,3.0,0.0053092414,-0.42525223,-0.026885897
Innate Immune System,0.18021649,14.0,0.18021649,1.0460418,-2.5735354
RNA Polymerase III Transcription,0.0011630557,5.0,0.0011630557,-0.46012935,-0.7756427
Platelet Adhesion to exposed collagen,3.07709e-05,2.0,3.07709e-05,-0.46965396,0.2890584
Cytokine Signaling in Immune system,0.018697314,6.0,0.018697314,-0.31263372,-0.9941715
Cilium Assembly,0.012075601,4.0,0.012075601,-0.3683346,-0.33100367
Death Receptor Signalling,0.031978928,5.0,0.031978928,-0.20091075,-0.530702
Factors involved in megakaryocyte development and platelet production,0.011915116,2.0,0.011915116,-0.36968458,0.3835214
Inositol phosphate metabolism,0.033515666,13.0,0.033515666,-0.18798395,-3.38169
Base Excision Repair,0.018743407,3.0,0.018743407,-0.312246,0.079895884
Surfactant metabolism,0.00019030683,2.0,0.00019030683,-0.46831197,0.29032648
Membrane Trafficking,0.003980731,9.0,0.003980731,-0.43642747,-2.1848476
Protein folding,0.09225119,3.0,0.09225119,0.30609065,0.66417414
Neurodegenerative Diseases,0.083552085,2.0,0.083552085,0.23291507,0.95292944
The citric acid (TCA) cycle and respiratory electron transport,0.11790035,3.0,0.11790035,0.5218476,0.86804706
Digestion,0.010542713,3.0,0.010542713,-0.38122904,0.014712464
Fibronectin matrix formation,0.0,2.0,0.0,-0.4699128,0.28881383
Diseases of Mismatch Repair (MMR),0.0011816183,6.0,0.0011816183,-0.45997322,-1.1333956
O2/CO2 exchange in erythrocytes,0.00084281806,3.0,0.00084281806,-0.46282315,-0.062387392
Striated Muscle Contraction,0.019001449,2.0,0.019001449,-0.3100754,0.4398473
Synthesis of DNA,0.17301081,4.0,0.17301081,0.98542875,0.9481936
Peptide hormone metabolism,0.07880856,6.0,0.07880856,0.19301324,-0.5163759
Deadenylation-dependent mRNA decay,0.6064653,4.0,0.6064653,4.6315837,4.393516
Signaling by Nuclear Receptors,0.020947244,3.0,0.020947244,-0.29370767,0.09741311
Signaling by Hippo,0.042990062,2.0,0.042990062,-0.10828671,0.6305213
Formation of Fibrin Clot (Clotting Cascade),0.024076689,4.0,0.024076689,-0.26738322,-0.23561275
RNA Polymerase I Transcription,0.0112708425,4.0,0.0112708425,-0.37510413,-0.33740035
mRNA Capping,0.0049899104,2.0,0.0049899104,-0.4279384,0.32847625
Abacavir transport and metabolism,0.028961599,3.0,0.028961599,-0.22629207,0.16111541
Transcription from mitochondrial promoters,0.01169406,3.0,0.01169406,-0.3715441,0.023863962
Reversible hydration of carbon dioxide,5.9889328e-05,2.0,5.9889328e-05,-0.46940902,0.28928986
Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA,0.0019120784,2.0,0.0019120784,-0.45382866,0.30401203
Amyloid fiber formation,0.021993622,2.0,0.021993622,-0.28490567,0.46363065
Potassium Channels,0.009802371,6.0,0.009802371,-0.3874567,-1.0648732
Ion channel transport,0.08265989,3.0,0.08265989,0.22541007,0.58793753
Transmission across Electrical Synapses ,0.0028490664,2.0,0.0028490664,-0.44594687,0.3114597
Cardiac conduction,0.06653814,8.0,0.06653814,0.08979627,-1.3297082
Signaling by Receptor Tyrosine Kinases,0.83302647,13.0,0.83302647,6.537383,2.97324
Regulation of mRNA stability by proteins that bind AU-rich elements,0.014012035,6.0,0.014012035,-0.35204563,-1.0314126
Integration of energy metabolism,0.4484347,8.0,0.4484347,3.3022542,1.7058055
Processing of Capped Intron-Containing Pre-mRNA,0.03805952,4.0,0.03805952,-0.14976169,-0.124469884
Fanconi Anemia Pathway,0.00275994,2.0,0.00275994,-0.44669658,0.3107513
Processing of Capped Intronless Pre-mRNA,0.01856515,4.0,0.01856515,-0.3137455,-0.2794214
Unfolded Protein Response (UPR),0.05427269,5.0,0.05427269,-0.013378909,-0.3534995
ECM proteoglycans,0.13902554,2.0,0.13902554,0.6995496,1.3938614
Regulation of beta-cell development,0.00014208483,5.0,0.00014208483,-0.46871758,-0.78375787
Elastic fibre formation,0.006872757,2.0,0.006872757,-0.41210017,0.3434421
Signaling by NODAL,7.601953e-05,2.0,7.601953e-05,-0.46927333,0.28941807
Metabolism of non-coding RNA,0.07939722,2.0,0.07939722,0.19796492,0.9199044
Signal regulatory protein family interactions,7.9809426e-05,2.0,7.9809426e-05,-0.46924144,0.2894482
Translation,0.42066482,7.0,0.42066482,3.0686579,1.8429761
Keratinization,0.00013278953,2.0,0.00013278953,-0.4687958,0.28986928
Nephrin family interactions,0.00025118372,2.0,0.00025118372,-0.46779987,0.29081038
Chromosome Maintenance,0.04934216,3.0,0.04934216,-0.0548538,0.32311076
Invadopodia formation,0.0006216917,2.0,0.0006216917,-0.4646832,0.29375535
Signaling by WNT,0.027530873,5.0,0.027530873,-0.23832713,-0.56605744
M/G1 Transition,0.0007875636,2.0,0.0007875636,-0.46328792,0.2950738
Transcriptional regulation of white adipocyte differentiation,0.012402663,2.0,0.012402663,-0.36558342,0.38739666
Meiosis,0.01635734,4.0,0.01635734,-0.33231726,-0.2969702
Chromatin modifying enzymes,0.038509414,6.0,0.038509414,-0.14597726,-0.8366946
Intracellular oxygen transport,5.1930593e-10,2.0,5.1930593e-10,-0.4699128,0.28881383
RNA Polymerase II Transcription,0.10154733,9.0,0.10154733,0.38428843,-1.4093373
