,,coef
KIF2A,gene_expression,2.2148191e-05
CCDC77,gene_expression,0.0
FAM161A,gene_expression,0.0
NR2F6,gene_expression,8.516874e-07
LPIN1,gene_expression,2.219473e-05
STX12,gene_expression,0.0
RP1,gene_expression,0.0
HLA-DOA,gene_expression,1.83012e-07
ATP6V1H,gene_expression,0.0002374185
SLC25A36,gene_expression,0.0
KLF3,gene_expression,0.0
QSER1,gene_expression,0.0
RIC8A,gene_expression,0.0
NOTUM,gene_expression,0.00020851647
MRFAP1,gene_expression,0.0
RNF13,gene_expression,0.0
ZNF562,gene_expression,0.0
PWP1,gene_expression,0.0
CNIH2,gene_expression,9.268459e-05
LRRC8B,gene_expression,2.845999e-06
NCOA2,gene_expression,2.8899194e-05
NAPB,gene_expression,6.2210594e-05
DENND6B,gene_expression,0.00020379173
PEX2,gene_expression,2.3993369e-05
TMCO1,gene_expression,0.0
PTPRK,gene_expression,0.0
MED12,gene_expression,1.8905185e-07
SERP1,gene_expression,4.5149595e-09
ANXA5,gene_expression,5.065002e-06
SLC30A7,gene_expression,8.084684e-06
PTPN11,gene_expression,9.3224335e-05
FRAT1,gene_expression,5.3026645e-07
COMMD3,gene_expression,5.817945e-06
COQ9,gene_expression,1.7946021e-06
PRF1,gene_expression,0.0
GPATCH4,gene_expression,0.0
FAM174A,gene_expression,0.0
ZNF689,gene_expression,0.0
TRIML1,gene_expression,0.0
SS18,gene_expression,0.0
PDHX,gene_expression,8.701641e-08
RNF11,gene_expression,0.0
KIF5B,gene_expression,6.218051e-06
EPDR1,gene_expression,0.0
EMC1,gene_expression,0.0
SF3B6,gene_expression,1.0512067e-05
PRKCQ,gene_expression,1.6837193e-05
IL15RA,gene_expression,1.7478847e-09
NOS2,gene_expression,1.5047326e-07
MET,gene_expression,0.0008676109
KIAA2013,gene_expression,0.0
HMGXB3,gene_expression,0.0
ARID2,gene_expression,6.302783e-07
THNSL1,gene_expression,0.0
ABHD16A,gene_expression,0.0
SLC15A4,gene_expression,1.343862e-06
SLC35F5,gene_expression,0.0
TIPIN,gene_expression,5.2520818e-08
VRK1,gene_expression,3.2206103e-06
DNAJA4,gene_expression,1.2184881e-08
EXOC3,gene_expression,6.3928024e-07
IRS1,gene_expression,0.00016434393
THOC5,gene_expression,6.4217295e-07
NR2C2AP,gene_expression,2.8083589e-08
PIK3R1,gene_expression,0.00042043062
IPO4,gene_expression,0.0
CD44,gene_expression,2.0280439e-05
ZNF341,gene_expression,0.0
ZNF830,gene_expression,8.779222e-06
IRAK2,gene_expression,2.488827e-06
OCRL,gene_expression,2.917853e-06
LPAR6,gene_expression,1.0892254e-08
GPT2,gene_expression,0.0
ORC3,gene_expression,4.9354716e-05
NQO1,gene_expression,4.212299e-05
HEATR5B,gene_expression,0.0
GALNT4,gene_expression,0.0
ZBTB44,gene_expression,0.0
HMGCL,gene_expression,2.1969202e-09
TJP1,gene_expression,1.7280739e-06
SULT1A1,gene_expression,0.0
RASA2,gene_expression,8.2649444e-07
NBEAL2,gene_expression,5.9606197e-07
AGPAT3,gene_expression,1.1046392e-06
PEX13,gene_expression,6.3729306e-07
RPL15,gene_expression,5.0474873e-06
SRA1,gene_expression,0.0
TAF1B,gene_expression,1.3920875e-06
PHF12,gene_expression,0.0
NGDN,gene_expression,0.0
TXK,gene_expression,1.2569922e-05
ATXN7L3B,gene_expression,0.0
JMJD4,gene_expression,0.0
METTL7A,gene_expression,4.601831e-08
ST7L,gene_expression,0.0
PTCD2,gene_expression,0.0
DNAJA3,gene_expression,0.0
ABCA3,gene_expression,7.271088e-06
RCAN3,gene_expression,0.0
CADM4,gene_expression,0.0
DBNDD2,gene_expression,0.0
RSRC1,gene_expression,0.0
SUMF2,gene_expression,1.2973247e-07
FAM219B,gene_expression,0.0
SLC9A3,gene_expression,1.821115e-06
GPRC5C,gene_expression,0.0
TRAPPC2L,gene_expression,0.0001889122
SNX14,gene_expression,0.0
IRF2BPL,gene_expression,0.0
NUMB,gene_expression,9.106649e-06
DNAH1,gene_expression,0.0
POLH,gene_expression,4.576327e-06
KNSTRN,gene_expression,0.0
MCM4,gene_expression,4.8332386e-06
AOC3,gene_expression,0.0
NSRP1,gene_expression,0.0
HOMEZ,gene_expression,0.0
ARL17A,gene_expression,0.0
POU2AF1,gene_expression,0.0
PAQR3,gene_expression,1.439961e-05
DYSF,gene_expression,1.5880242e-06
ZNF611,gene_expression,0.0
NID1,gene_expression,2.4311066e-07
GBP1,gene_expression,0.0
ZNF549,gene_expression,0.0
CASQ1,gene_expression,0.0
HCN3,gene_expression,7.2899655e-07
POLR3K,gene_expression,1.9582005e-06
PEX11G,gene_expression,0.0
TRMT2A,gene_expression,0.0
LRRC29,gene_expression,0.0
ZNF337,gene_expression,0.0
STX10,gene_expression,1.1531445e-05
UQCRFS1,gene_expression,0.0
TP53BP2,gene_expression,1.7699188e-07
EPHA1,gene_expression,3.9805215e-11
PCBP1,gene_expression,0.00020827417
ZIM3,gene_expression,0.0
ZFP91,gene_expression,0.0
IQGAP2,gene_expression,4.3669884e-06
WDR44,gene_expression,0.0
FANCI,gene_expression,1.0922165e-06
RFWD3,gene_expression,0.0
LARP1B,gene_expression,0.0
B4GALT5,gene_expression,1.9047851e-06
CEBPE,gene_expression,0.0
HPRT1,gene_expression,0.00010677243
ZNF596,gene_expression,0.0
ZFYVE26,gene_expression,0.0
USP47,gene_expression,2.011409e-09
SLC35E3,gene_expression,0.0
COX8A,gene_expression,5.231779e-08
CEP120,gene_expression,0.0
CSNK1G2,gene_expression,9.859872e-06
RBM28,gene_expression,0.0
PRKAG2,gene_expression,5.237096e-05
TRAPPC3,gene_expression,1.46168595e-05
CSAD,gene_expression,0.0
DNAJC19,gene_expression,3.4743846e-07
TMED9,gene_expression,1.7022375e-06
SLC25A17,gene_expression,2.3385426e-06
TRIM62,gene_expression,0.0
AMIGO1,gene_expression,0.0
CHCHD4,gene_expression,2.2423414e-09
DEFB114,gene_expression,1.967484e-09
RUNDC3A,gene_expression,0.0
ATF2,gene_expression,1.2134909e-05
RMND1,gene_expression,0.0
PDHA1,gene_expression,1.3027608e-06
B4GALT3,gene_expression,1.1488173e-05
AMZ2,gene_expression,0.0
AIF1L,gene_expression,0.0
TCL1A,gene_expression,0.0
GATA2,gene_expression,4.3570505e-08
KCND1,gene_expression,3.373722e-08
TEX30,gene_expression,0.0
TPM4,gene_expression,4.8364795e-06
NPLOC4,gene_expression,7.917406e-06
SUCLG2,gene_expression,1.0756274e-05
EIF5A2,gene_expression,5.04849e-07
TAS2R41,gene_expression,3.0014917e-09
CHMP6,gene_expression,8.40776e-06
UBE2R2,gene_expression,9.025694e-08
MCM7,gene_expression,0.00012563098
TTL,gene_expression,1.9152233e-07
DMXL2,gene_expression,0.0
FBLN7,gene_expression,0.0
HSFX2,gene_expression,0.0
CCDC127,gene_expression,0.0
WDFY2,gene_expression,0.0
RHOG,gene_expression,4.88473e-06
CEP85L,gene_expression,0.0
GATAD2A,gene_expression,7.705934e-05
FBXW2,gene_expression,1.4787901e-06
CCDC28A,gene_expression,0.0
MRPL9,gene_expression,1.117392e-06
TFPI,gene_expression,1.8755773e-07
LIPE,gene_expression,1.4219059e-07
MARK2,gene_expression,0.0
GOT2,gene_expression,2.1828628e-08
ARPC1B,gene_expression,3.457533e-05
LONRF1,gene_expression,4.6033957e-08
ARPIN,gene_expression,0.0
VPS33A,gene_expression,0.0
