,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
5-Phosphoribose 1-diphosphate biosynthesis,3.8311248e-09,2.0,3.8311248e-09,-0.19435601,0.26040715
A tetrasaccharide linker sequence is required for GAG synthesis,3.2115473e-05,8.0,3.2115473e-05,-0.10048613,0.057479694
ABC transporters in lipid homeostasis,3.584439e-06,9.0,3.584439e-06,-0.18388905,-0.05113523
ADP signalling through P2Y purinoceptor 1,0.0005116923,14.0,0.0005116923,1.3014299,0.8422924
ADP signalling through P2Y purinoceptor 12,3.572144e-05,13.0,3.572144e-05,-0.08994504,-0.16273633
AKT phosphorylates targets in the cytosol,5.9515038e-05,13.0,5.9515038e-05,-0.020390755,-0.110214055
AKT phosphorylates targets in the nucleus,6.5729596e-06,8.0,6.5729596e-06,-0.17515291,0.001096849
AKT-mediated inactivation of FOXO1A,1.9930091e-08,4.0,1.9930091e-08,-0.19430897,0.16917229
ALKBH2 mediated reversal of alkylation damage,5.2253e-10,2.0,5.2253e-10,-0.1943657,0.26039982
ALKBH3 mediated reversal of alkylation damage,7.3385667e-07,3.0,7.3385667e-07,-0.192222,0.2163834
AMPK inhibits chREBP transcriptional activation activity,1.4278557e-07,6.0,1.4278557e-07,-0.19394983,0.07817313
APC truncation mutants are not K63 polyubiquitinated,0.0,1.0,0.0,-0.19436722,0.30603385
APC truncation mutants have impaired AXIN binding,1.0268714e-05,10.0,1.0268714e-05,-0.16434936,-0.08201547
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,0.0001258929,42.0,0.0001258929,0.17364736,-1.2871108
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,3.557646e-09,6.0,3.557646e-09,-0.19435681,0.077865794
APOBEC3G mediated resistance to HIV-1 infection,9.923946e-09,4.0,9.923946e-09,-0.1943382,0.1691502
ARL13B-mediated ciliary trafficking of INPP5E,1.2337854e-08,3.0,1.2337854e-08,-0.19433115,0.21479072
ATF4 activates genes,2.739726e-10,2.0,2.739726e-10,-0.19436641,0.26039928
ATF6 (ATF6-alpha) activates chaperone genes,1.5364161e-07,6.0,1.5364161e-07,-0.1939181,0.07819709
ATP sensitive Potassium channels,4.0984173e-07,2.0,4.0984173e-07,-0.19316916,0.26130337
AUF1 (hnRNP D0) binds and destabilizes mRNA,1.9244833e-05,32.0,1.9244833e-05,-0.13811004,-1.0661752
AURKA Activation by TPX2,0.0008921761,48.0,0.0008921761,2.4136736,0.13058111
AXIN missense mutants destabilize the destruction complex,4.1788477e-05,10.0,4.1788477e-05,-0.07220966,-0.012438352
Abacavir metabolism,2.7235803e-06,3.0,2.7235803e-06,-0.18640555,0.22077557
Abacavir transmembrane transport,0.0,1.0,0.0,-0.19436722,0.30603385
Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,3.3741724e-06,2.0,3.3741724e-06,-0.18450372,0.26784688
