,,root
KIF2A,gene_expression,-0.030099386
CCDC77,gene_expression,0.030337399
FAM161A,gene_expression,0.00054743927
NR2F6,gene_expression,0.07694665
LPIN1,gene_expression,-0.10518464
STX12,gene_expression,-0.039507106
RP1,gene_expression,-0.023416543
HLA-DOA,gene_expression,-0.021406291
ATP6V1H,gene_expression,0.005801595
SLC25A36,gene_expression,-0.00478033
KLF3,gene_expression,0.027450182
QSER1,gene_expression,0.09712263
RIC8A,gene_expression,0.024013951
NOTUM,gene_expression,0.03775574
MRFAP1,gene_expression,0.011758048
RNF13,gene_expression,0.0005305228
ZNF562,gene_expression,0.06972402
PWP1,gene_expression,-0.008071623
CNIH2,gene_expression,-0.010816356
LRRC8B,gene_expression,-0.0018868451
NCOA2,gene_expression,-0.0060912995
NAPB,gene_expression,-0.029544657
DENND6B,gene_expression,-0.059540845
PEX2,gene_expression,-0.048998203
TMCO1,gene_expression,-2.5419522e-05
PTPRK,gene_expression,0.12419344
MED12,gene_expression,-0.009167232
SERP1,gene_expression,-0.025199391
ANXA5,gene_expression,-0.011196594
SLC30A7,gene_expression,-0.061995164
PTPN11,gene_expression,-0.013278676
FRAT1,gene_expression,-0.023888517
COMMD3,gene_expression,0.007488197
COQ9,gene_expression,0.063599624
PRF1,gene_expression,-0.0112927025
GPATCH4,gene_expression,-0.01517791
FAM174A,gene_expression,-0.01817011
ZNF689,gene_expression,-0.053206544
TRIML1,gene_expression,0.0051682745
SS18,gene_expression,0.0068969238
PDHX,gene_expression,-0.014243136
RNF11,gene_expression,0.002287791
KIF5B,gene_expression,0.010156898
EPDR1,gene_expression,-0.03054744
EMC1,gene_expression,-0.03167079
SF3B6,gene_expression,0.009068075
PRKCQ,gene_expression,-0.11007382
IL15RA,gene_expression,0.036759373
NOS2,gene_expression,0.0019926238
MET,gene_expression,0.032845285
KIAA2013,gene_expression,-0.1045629
HMGXB3,gene_expression,-0.0350974
ARID2,gene_expression,-0.025268044
THNSL1,gene_expression,-0.0031767646
ABHD16A,gene_expression,0.011842126
SLC15A4,gene_expression,0.0070072114
SLC35F5,gene_expression,-0.0032502534
TIPIN,gene_expression,0.009652588
VRK1,gene_expression,-0.00672988
DNAJA4,gene_expression,0.008556269
EXOC3,gene_expression,-0.0055926875
IRS1,gene_expression,-0.03356454
THOC5,gene_expression,0.008208814
NR2C2AP,gene_expression,-0.01211733
PIK3R1,gene_expression,-0.03325183
IPO4,gene_expression,-0.040008806
CD44,gene_expression,0.005315995
ZNF341,gene_expression,-0.065517046
ZNF830,gene_expression,-0.035858966
IRAK2,gene_expression,-0.039584167
OCRL,gene_expression,-0.02822451
LPAR6,gene_expression,0.0004279517
GPT2,gene_expression,-0.036922287
ORC3,gene_expression,-0.031297173
NQO1,gene_expression,0.041339297
HEATR5B,gene_expression,-0.042843983
GALNT4,gene_expression,0.016778255
ZBTB44,gene_expression,0.011253708
HMGCL,gene_expression,0.025003642
TJP1,gene_expression,0.0024976819
SULT1A1,gene_expression,-0.04353039
RASA2,gene_expression,0.0052875387
NBEAL2,gene_expression,0.0034658914
AGPAT3,gene_expression,-0.028944597
PEX13,gene_expression,0.041000955
RPL15,gene_expression,-0.024910308
SRA1,gene_expression,-0.011858535
TAF1B,gene_expression,0.0091146985
PHF12,gene_expression,-0.010037084
NGDN,gene_expression,-0.0004629715
TXK,gene_expression,-0.10913741
ATXN7L3B,gene_expression,-0.041727442
JMJD4,gene_expression,0.011291743
METTL7A,gene_expression,0.0003571566
ST7L,gene_expression,-0.060089674
PTCD2,gene_expression,0.011037348
DNAJA3,gene_expression,0.004163198
ABCA3,gene_expression,-0.03452195
RCAN3,gene_expression,-0.013140482
CADM4,gene_expression,-2.6638183e-05
DBNDD2,gene_expression,0.0035047797
RSRC1,gene_expression,0.018118918
SUMF2,gene_expression,-0.008458454
FAM219B,gene_expression,0.059728377
SLC9A3,gene_expression,-0.0076957713
GPRC5C,gene_expression,0.0031880923
TRAPPC2L,gene_expression,-0.07760075
SNX14,gene_expression,-0.04894434
IRF2BPL,gene_expression,0.011848807
NUMB,gene_expression,0.032829754
DNAH1,gene_expression,-0.011004892
POLH,gene_expression,-0.0341799
KNSTRN,gene_expression,0.0130667025
MCM4,gene_expression,-0.010694547
AOC3,gene_expression,0.040769476
NSRP1,gene_expression,-0.013192861
HOMEZ,gene_expression,-0.026932344
ARL17A,gene_expression,0.0792896
POU2AF1,gene_expression,-0.013480374
PAQR3,gene_expression,-0.014789828
DYSF,gene_expression,0.00851568
ZNF611,gene_expression,0.020906163
NID1,gene_expression,0.037468273
GBP1,gene_expression,-0.03190715
ZNF549,gene_expression,-0.010964991
CASQ1,gene_expression,-0.034018874
HCN3,gene_expression,0.028277246
POLR3K,gene_expression,-0.026504014
PEX11G,gene_expression,-0.012900996
TRMT2A,gene_expression,-0.17265457
LRRC29,gene_expression,0.053696956
ZNF337,gene_expression,0.034286577
STX10,gene_expression,0.15572552
UQCRFS1,gene_expression,-0.090468675
TP53BP2,gene_expression,-0.005576338
EPHA1,gene_expression,0.019180732
PCBP1,gene_expression,0.03890828
ZIM3,gene_expression,0.019256135
ZFP91,gene_expression,-0.03974844
IQGAP2,gene_expression,-0.0070199873
WDR44,gene_expression,-0.012403449
FANCI,gene_expression,-0.11448165
RFWD3,gene_expression,-0.01066933
LARP1B,gene_expression,0.01429015
B4GALT5,gene_expression,0.0013154069
CEBPE,gene_expression,0.00092888385
HPRT1,gene_expression,0.006637048
ZNF596,gene_expression,0.049563326
ZFYVE26,gene_expression,-0.035086177
USP47,gene_expression,0.0522436
SLC35E3,gene_expression,0.104239956
COX8A,gene_expression,0.007909103
CEP120,gene_expression,-0.03970339
CSNK1G2,gene_expression,-0.0056543564
RBM28,gene_expression,0.0004322052
PRKAG2,gene_expression,-0.031146843
TRAPPC3,gene_expression,0.0023802042
CSAD,gene_expression,0.0010517123
DNAJC19,gene_expression,0.04501303
TMED9,gene_expression,0.0039242343
SLC25A17,gene_expression,-0.013079661
TRIM62,gene_expression,-0.014714294
AMIGO1,gene_expression,-0.007672523
CHCHD4,gene_expression,0.023196794
DEFB114,gene_expression,-0.0073695336
RUNDC3A,gene_expression,0.050747395
ATF2,gene_expression,0.0099714445
RMND1,gene_expression,-0.0041978383
PDHA1,gene_expression,0.0032361897
B4GALT3,gene_expression,0.007044418
AMZ2,gene_expression,-0.0020246466
AIF1L,gene_expression,0.010929398
TCL1A,gene_expression,-0.03786975
GATA2,gene_expression,0.0060425643
KCND1,gene_expression,0.0074246493
TEX30,gene_expression,0.0064123385
TPM4,gene_expression,0.051947292
NPLOC4,gene_expression,0.11878427
SUCLG2,gene_expression,-0.0405602
EIF5A2,gene_expression,-0.0201885
TAS2R41,gene_expression,0.009966534
CHMP6,gene_expression,-0.030511964
UBE2R2,gene_expression,0.01129242
MCM7,gene_expression,0.019339738
TTL,gene_expression,-0.027522987
DMXL2,gene_expression,0.0069791777
FBLN7,gene_expression,0.0014138436
HSFX2,gene_expression,-0.028013827
CCDC127,gene_expression,-0.012367053
WDFY2,gene_expression,-0.018560637
RHOG,gene_expression,-0.029698782
CEP85L,gene_expression,0.017481633
GATAD2A,gene_expression,0.022093195
FBXW2,gene_expression,0.06804446
CCDC28A,gene_expression,0.01263331
MRPL9,gene_expression,0.008493893
TFPI,gene_expression,-0.0030215203
LIPE,gene_expression,-0.0019633444
MARK2,gene_expression,0.12326248
GOT2,gene_expression,0.008492095
ARPC1B,gene_expression,0.008365972
LONRF1,gene_expression,0.035978604
ARPIN,gene_expression,-0.010160141
VPS33A,gene_expression,0.00787271
FKBP15,gene_expression,-0.002664304
MDH1,gene_expression,0.0034047794
MCHR2,gene_expression,-0.074359685
ZBTB45,gene_expression,0.03266897
ARSB,gene_expression,-0.012684694
RPL7,gene_expression,-0.020104494
SLC4A5,gene_expression,0.005568388
RAPGEF6,gene_expression,-0.024801124
CMPK2,gene_expression,0.03631629
MICA,gene_expression,-0.14419726
PIP5K1C,gene_expression,-0.008626353
BCAT1,gene_expression,-0.0103196865
HABP4,gene_expression,0.03329632
TMEM183A,gene_expression,-0.0064888624
SBNO2,gene_expression,-0.023394631
WDR83OS,gene_expression,-0.009843928
SLC27A2,gene_expression,0.028637996
RAB4B,gene_expression,-0.1491524
POMC,gene_expression,-0.008451985
HECTD1,gene_expression,-0.0059742257
DNPH1,gene_expression,-0.113557726
RAB3IP,gene_expression,-0.004386355
RBM45,gene_expression,-0.14708182
USP24,gene_expression,-0.009832434
TMEM254,gene_expression,0.050397318
PARS2,gene_expression,0.15044788
NSUN2,gene_expression,-0.01176659
HADH,gene_expression,-0.0054956195
ZC3HC1,gene_expression,-0.092567846
CLEC17A,gene_expression,0.0116249705
SORT1,gene_expression,0.003392738
RINL,gene_expression,-0.0096835755
PATE3,gene_expression,-0.008705871
IGBP1,gene_expression,0.0072417655
PPP6C,gene_expression,-0.07940569
CERK,gene_expression,-0.008513365
EPM2AIP1,gene_expression,-0.008938683
ABCE1,gene_expression,-0.014573983
CARNS1,gene_expression,0.029133523
ABHD8,gene_expression,-0.008921626
PCMTD1,gene_expression,-0.021365775
MPHOSPH8,gene_expression,0.037540365
RASSF9,gene_expression,-0.01696004
SIRT7,gene_expression,-0.010285075
ZNF513,gene_expression,-0.05549884
LRP8,gene_expression,-0.05553216
QSOX1,gene_expression,0.07496207
BTBD2,gene_expression,0.02941644
PFKP,gene_expression,-0.007437247
DLEU7,gene_expression,-0.008875738
SLC9A4,gene_expression,0.0016152186
DIP2B,gene_expression,-0.0064879386
RBBP4,gene_expression,0.00031491206
PSMC3,gene_expression,0.00060267805
RPS8,gene_expression,0.06453946
NOP2,gene_expression,0.0102809565
ZNF16,gene_expression,0.033200413
RBM19,gene_expression,0.16143869
SNX17,gene_expression,-0.015167888
URM1,gene_expression,-0.024003366
XPO7,gene_expression,0.026824806
FHL1,gene_expression,0.06516159
DLX4,gene_expression,-0.020011079
PRKRIP1,gene_expression,-0.05659599
PIAS4,gene_expression,-0.028158858
TANGO2,gene_expression,0.027500425
SNX1,gene_expression,-0.009946401
BSCL2,gene_expression,-0.0070354994
POU6F1,gene_expression,0.0009221376
NCOA3,gene_expression,-0.058711726
UBQLN1,gene_expression,-0.12501979
TMEM169,gene_expression,-0.04455145
ERCC5,gene_expression,0.028549507
SCARB2,gene_expression,-0.0075344597
SNIP1,gene_expression,0.0314048
SYNGR1,gene_expression,0.040870644
RNF32,gene_expression,0.021110265
ATG16L2,gene_expression,0.0813265
FBXO8,gene_expression,0.006504486
STX4,gene_expression,-0.0154973
TMEM186,gene_expression,-0.0052932412
ST8SIA4,gene_expression,-0.05369381
ACRBP,gene_expression,-0.0094653
VPS18,gene_expression,-0.009374519
STOM,gene_expression,0.0045724763
RBM34,gene_expression,0.057374172
CAPNS1,gene_expression,0.031287696
OR5K4,gene_expression,0.017581964
SLC25A43,gene_expression,-0.03541748
PSMD3,gene_expression,-0.0049577393
DEDD,gene_expression,0.0052131424
POLE3,gene_expression,-0.007960514
ANKRD34A,gene_expression,0.022784868
ZNF266,gene_expression,-0.03268793
ARL6IP5,gene_expression,0.0033507661
AP3B1,gene_expression,-0.006901396
TNFRSF10D,gene_expression,0.0076064738
TEX19,gene_expression,-0.058572654
CPSF2,gene_expression,0.0144662615
MACF1,gene_expression,0.012957546
NFE2L2,gene_expression,-0.07525543
LUC7L,gene_expression,0.050172433
GALNT2,gene_expression,-0.038204577
LAIR1,gene_expression,0.055924457
TSPYL1,gene_expression,-5.8136055e-05
YTHDF2,gene_expression,0.002175553
FZR1,gene_expression,-6.1515624e-05
PPFIBP2,gene_expression,-0.0053181634
KLF9,gene_expression,-0.031026358
BRD3,gene_expression,0.030238565
SKAP2,gene_expression,7.561747e-05
SYNCRIP,gene_expression,0.034961775
MOAP1,gene_expression,-0.007204644
CAMK2G,gene_expression,0.046756074
CEP68,gene_expression,0.09228383
ZFP82,gene_expression,-0.027235562
OR2T6,gene_expression,0.0499445
ACSL3,gene_expression,-0.022015799
ASPRV1,gene_expression,0.010022214
FOXR1,gene_expression,-0.0058153695
RNF213,gene_expression,-0.007182187
TRMT10A,gene_expression,0.015430658
RBBP5,gene_expression,0.03907318
KLHL3,gene_expression,0.007991693
ETFA,gene_expression,0.005455274
THG1L,gene_expression,0.0078758495
DNAJC14,gene_expression,-0.05372675
CSNK1G3,gene_expression,-0.026971132
UBE3A,gene_expression,-0.011998458
ACOT4,gene_expression,-0.0046093017
CHAF1B,gene_expression,-0.0032351683
ATP13A3,gene_expression,0.022397295
MBD2,gene_expression,0.03170282
LRRC6,gene_expression,-0.009479969
EPC1,gene_expression,-0.018420074
GCSH,gene_expression,0.05695547
NOL9,gene_expression,0.01009878
RNASEH1,gene_expression,0.015325026
ZNF419,gene_expression,-0.025561327
SLC16A14,gene_expression,0.033024732
AKT3,gene_expression,-0.007305882
RREB1,gene_expression,-0.007399834
PSMD5,gene_expression,-0.0031057931
PIAS3,gene_expression,-0.03071481
GPR65,gene_expression,0.044467792
VPS45,gene_expression,-0.012886439
HSH2D,gene_expression,-0.046609353
GAS7,gene_expression,-0.016620597
CHERP,gene_expression,0.037046917
BAZ2B,gene_expression,0.064241126
PSRC1,gene_expression,0.0021629662
PROCR,gene_expression,0.0011721611
MEGF9,gene_expression,-0.05779279
SAPCD2,gene_expression,0.01542982
HOXA2,gene_expression,0.006238597
MAPK13,gene_expression,-0.0042408607
TMEM202,gene_expression,0.0028884585
FZD5,gene_expression,0.024400933
SMIM12,gene_expression,-0.011198415
KDSR,gene_expression,-0.043870464
YTHDF1,gene_expression,-0.04213697
KDM1B,gene_expression,-0.07829565
HNRNPA1L2,gene_expression,-0.0019917595
RRAS2,gene_expression,-0.0041302256
ATP2B1,gene_expression,0.09451555
PTPRS,gene_expression,0.096839614
SLC39A14,gene_expression,-0.0007501397
MYNN,gene_expression,0.004778885
PHKG2,gene_expression,0.00013842108
ERH,gene_expression,-0.054959748
MORF4L1,gene_expression,0.017993666
STARD3,gene_expression,0.0393532
ZBTB7B,gene_expression,-0.10231979
CASP3,gene_expression,-0.009975795
SLC25A11,gene_expression,0.0037495666
CMTM2,gene_expression,0.0024094223
ALG5,gene_expression,-0.029424127
FASTKD3,gene_expression,-0.00066044723
C11orf1,gene_expression,-0.05037976
MED14,gene_expression,-0.016906131
NAPA,gene_expression,0.020202404
ZNF470,gene_expression,-0.026957568
CACTIN,gene_expression,0.009306336
VAT1L,gene_expression,-0.010692773
CABS1,gene_expression,0.009590245
AP5Z1,gene_expression,0.010445834
TIMM10B,gene_expression,-0.18448535
CASS4,gene_expression,-0.0075998907
ZNF184,gene_expression,0.048654873
ATXN7L2,gene_expression,-0.18720077
ANKRD6,gene_expression,0.011742755
RNMT,gene_expression,-0.010876862
ADARB1,gene_expression,-0.00021834728
CLP1,gene_expression,0.0075029493
ETNK1,gene_expression,0.0034477348
CRCP,gene_expression,0.0014826499
CBFA2T2,gene_expression,-0.005944205
MTF1,gene_expression,-0.0022622044
SEMA4B,gene_expression,-0.037224248
CA6,gene_expression,-0.028858116
RNF7,gene_expression,-0.006175251
NECAB2,gene_expression,0.030069469
DYNLT3,gene_expression,0.0023443669
POLR3A,gene_expression,0.035069853
IDE,gene_expression,0.0052347477
FSD1,gene_expression,-0.01774623
CEP97,gene_expression,-0.14325713
BIRC2,gene_expression,0.02219179
DGKA,gene_expression,-0.13664983
CCDC90B,gene_expression,0.1188522
TOB1,gene_expression,0.008490316
ANKFY1,gene_expression,-0.0021509184
PTX4,gene_expression,-0.034406256
FAM214B,gene_expression,-0.009292893
VAV2,gene_expression,-0.057989947
ENKD1,gene_expression,-0.021195676
PLEKHB2,gene_expression,-0.0046775374
GLUD1,gene_expression,-0.0015030893
CFL1,gene_expression,-0.013023112
TMEM60,gene_expression,0.0063627665
KHDC1,gene_expression,0.047566086
ACP1,gene_expression,0.0013212946
DDX1,gene_expression,-0.048711155
PRKCB,gene_expression,-0.022718638
ATM,gene_expression,-0.0316164
CDK5R2,gene_expression,-0.080946065
EPB41L3,gene_expression,0.012689543
GEMIN8,gene_expression,-0.015784882
