,,root
TDRD7,gene_expression,-0.0042828247
RPL13,gene_expression,0.009306015
YES1,gene_expression,-0.008994385
FAM3A,gene_expression,0.041944925
TMEM14B,gene_expression,-0.0053351787
P2RY8,gene_expression,-0.0049877902
IFITM3,gene_expression,0.010005808
CUL7,gene_expression,-0.013006703
GATC,gene_expression,-0.011883508
PDCD2,gene_expression,-0.013054498
SNRNP48,gene_expression,-0.004816331
CDKL1,gene_expression,0.017629331
RHOBTB1,gene_expression,0.0018172939
THAP5,gene_expression,-0.0058763917
VTA1,gene_expression,0.017951516
FARS2,gene_expression,0.011868493
GMEB2,gene_expression,0.0066594766
APP,gene_expression,-0.008322122
KLHL1,gene_expression,0.012751158
CUL4A,gene_expression,-0.005801427
LRBA,gene_expression,0.008914413
RPS25,gene_expression,-0.011375759
SPTY2D1,gene_expression,-0.03236229
CDIP1,gene_expression,0.011452243
INTS4,gene_expression,-0.015789537
AGBL5,gene_expression,0.017774312
CBWD3,gene_expression,-0.004386293
ZCWPW1,gene_expression,-0.009654227
RNH1,gene_expression,-0.021559685
SLC43A1,gene_expression,-0.005682475
ZNF768,gene_expression,0.17294513
CAPN10,gene_expression,0.007726445
OR5AP2,gene_expression,-0.0044507883
ARL17A,gene_expression,-0.0988828
COX17,gene_expression,-0.0061916816
LACTB,gene_expression,0.0046755387
FLAD1,gene_expression,0.005957005
NMRK1,gene_expression,0.009568142
PANX1,gene_expression,-0.0070573105
TMEM147,gene_expression,-0.0016020556
TTC33,gene_expression,0.007360839
DIS3,gene_expression,-0.00573758
CARD11,gene_expression,0.008802181
PKN2,gene_expression,-0.0063175387
GRB7,gene_expression,-0.015970513
GATAD2B,gene_expression,0.09670058
FAM136A,gene_expression,0.01645447
PYGB,gene_expression,0.015410218
MYC,gene_expression,0.0540587
RMND1,gene_expression,-0.00310752
LYAR,gene_expression,-0.0065517644
ARMC1,gene_expression,0.031963293
TMEM79,gene_expression,-0.0073269145
ZNF266,gene_expression,0.01610624
HIST1H3B,gene_expression,-0.015472077
DEFB114,gene_expression,0.004102581
FAM209B,gene_expression,0.0060277428
DNASE1L1,gene_expression,0.0076817423
SORBS3,gene_expression,0.009495857
TSPYL2,gene_expression,0.011867776
ANKRD10,gene_expression,-0.007413043
SCRIB,gene_expression,-0.03298583
INTS7,gene_expression,-0.010731363
EIF2AK1,gene_expression,-0.018083517
SERINC2,gene_expression,-0.0072249514
TRAPPC12,gene_expression,0.0004973372
ELP5,gene_expression,-0.009952462
BRIX1,gene_expression,0.0016270288
CLIP1,gene_expression,0.003905476
PM20D2,gene_expression,0.004486424
TRAPPC6B,gene_expression,-0.02172382
SIDT2,gene_expression,-0.00020622808
PRDM10,gene_expression,0.007978004
ALDOC,gene_expression,0.03363943
RAB3IL1,gene_expression,-0.010879596
HYAL4,gene_expression,0.012278204
ALKBH6,gene_expression,-0.009744161
MPL,gene_expression,-0.0036578954
DND1,gene_expression,-0.0149355
JAZF1,gene_expression,-0.019607455
KLHL29,gene_expression,0.009407331
RNF111,gene_expression,0.0126174465
TPST2,gene_expression,0.010732218
SULT1A1,gene_expression,-0.01614801
NAGA,gene_expression,-0.02762246
HSPA5,gene_expression,0.0055480776
ZNF687,gene_expression,-0.0015671271
ABR,gene_expression,0.0131616555
SUPT6H,gene_expression,0.007204199
EIF2D,gene_expression,-0.010612471
CSF1R,gene_expression,-0.018714977
TVP23C,gene_expression,-0.0068176095
DUSP28,gene_expression,-0.0015120746
DEF8,gene_expression,-0.07082746
SCLY,gene_expression,0.0074907197
TMEM18,gene_expression,-0.1376236
SLC46A1,gene_expression,0.010094341
FANCA,gene_expression,-0.009994281
ZBTB5,gene_expression,0.017071407
ARRDC4,gene_expression,-0.071593195
LIG3,gene_expression,0.008480556
ZFAND1,gene_expression,0.0042532696
CCDC34,gene_expression,0.007305576
IMPAD1,gene_expression,0.012475013
FXR1,gene_expression,0.00749397
RBM41,gene_expression,-0.011041546
HACD3,gene_expression,-0.16994074
ACVRL1,gene_expression,-0.14259188
ARL13B,gene_expression,-0.086024515
POLR2G,gene_expression,-0.0080128
OR7E24,gene_expression,-0.007584587
MAP1S,gene_expression,0.13986069
OTUB1,gene_expression,-0.02881152
CLUAP1,gene_expression,-0.0062280446
PRPF4,gene_expression,-0.09614888
NUP85,gene_expression,-0.010633304
ATP13A3,gene_expression,-0.007925158
MED16,gene_expression,-0.009472386
DLAT,gene_expression,-0.007854663
PLCXD2,gene_expression,0.027114324
GLYCTK,gene_expression,-0.011164959
NR1I2,gene_expression,-0.009040153
ANGEL1,gene_expression,-0.017518662
GTF2H1,gene_expression,0.028020792
IPO4,gene_expression,0.030493619
WRAP53,gene_expression,0.10798892
HBE1,gene_expression,-0.033359945
ZNF250,gene_expression,0.007119253
ARPC3,gene_expression,-0.005855689
TADA1,gene_expression,-0.018859958
INO80B,gene_expression,-0.02114086
STAG3,gene_expression,0.010649206
DMC1,gene_expression,0.026200745
PSEN2,gene_expression,-0.030957468
TCHP,gene_expression,0.015131528
CREB3L2,gene_expression,0.027328549
PTPN13,gene_expression,0.010320351
ARMC6,gene_expression,-0.1039307
GTPBP3,gene_expression,-0.034980927
SERPINI1,gene_expression,-0.009333932
CAPN1,gene_expression,-0.0044163545
ST8SIA2,gene_expression,-0.0069513465
CCDC28A,gene_expression,-0.010695596
SUGP2,gene_expression,0.0060990704
NPC1,gene_expression,4.5346227e-05
DUSP19,gene_expression,0.0026883516
OR4C45,gene_expression,0.0040778494
PIP5KL1,gene_expression,0.01782945
PLD1,gene_expression,0.014842296
RORC,gene_expression,-0.018910266
IGF2BP2,gene_expression,0.012084195
TBC1D9B,gene_expression,-0.010067051
OR5AS1,gene_expression,0.007081147
AKIRIN2,gene_expression,0.015175827
CNOT7,gene_expression,-0.011730995
